 	malgré	tout	le	bien	que	j'	ai	fait	pour	vous	c'	est	vraiment	vous	mes	envahisseurs	</S>
m	0.549415	0.229012	0.0665316	0.0572508	0.025499	0.00300427	0.00366593	0.00648538	0.0145209	0.0085003	0.00775056	0.00767266	0.00851986	0.00444144	0.00564665	0.0019104	0.000172924
o	0.231283	0.121365	0.0910495	0.0440427	0.0301517	0.0104337	0.158439	0.0489272	0.0577023	0.0269501	0.00927379	0.00552083	0.00344138	0.0945947	0.0382673	0.00310654	0.0254506
b	0.674588	0.126279	0.0570685	0.0127311	0.0213558	0.00157094	0.00487353	0.0193179	0.0201228	0.0058507	0.0102713	0.00824941	0.00188945	0.00279892	0.00224418	0.00435481	0.026434
v	0.0915219	0.0814945	0.0954988	0.251929	0.0261468	0.00418605	0.0203438	0.0416561	0.0720816	0.146722	0.047029	0.023429	0.0304831	0.0415125	0.0128236	0.00566831	0.00747474
έ	0.23289	0.063004	0.0541304	0.26472	0.0443406	0.00716028	0.00685617	0.0339185	0.0592957	0.0730646	0.0177251	0.0142992	0.0188023	0.0574529	0.0147782	0.00855387	0.0290085
m	0.141349	0.243265	0.26773	0.112691	0.0521857	0.00790269	0.0179637	0.0183601	0.0178578	0.0149549	0.00930829	0.00456838	0.00590357	0.0248297	0.00395726	0.00330537	0.0538675
á	0.146356	0.0928367	0.112207	0.155677	0.26741	0.0208446	0.0393628	0.0296229	0.0452101	0.0178882	0.0264311	0.00914972	0.00578907	0.0109218	0.0101185	0.0016378	0.00853824
á	0.0451587	0.0710108	0.13425	0.155111	0.124287	0.0367979	0.095777	0.0559627	0.0536446	0.065423	0.0320202	0.0153689	0.0177584	0.0431448	0.017185	0.00308422	0.0340161
k	0.0126966	0.0258142	0.115915	0.122226	0.0622489	0.0178394	0.0831073	0.270287	0.0670019	0.0240508	0.0309274	0.025428	0.0238189	0.0316609	0.0302054	0.00498305	0.0517892
y	0.00403179	0.0113974	0.0283888	0.100612	0.0252745	0.00204843	0.0239843	0.296687	0.164768	0.0945755	0.0629915	0.0523146	0.0372904	0.0289628	0.0179506	0.0162109	0.0325105
a	0.00993243	0.0242143	0.0470773	0.0960519	0.0303268	0.00353992	0.0405844	0.275855	0.147223	0.124627	0.0746623	0.0362151	0.0355303	0.0231807	0.0126159	0.0027377	0.015626
