 	mon	cadet	a	tué	un	souriceau	</S>
o	0.722387	0.187967	0.0397313	0.00255549	0.0271176	0.0192225	0.00101914
d	0.0560763	0.93902	0.00385032	0.000523995	0.000254381	0.00013056	0.000144074
i	0.215062	0.782516	0.000925937	0.000670555	0.000128553	8.44672e-05	0.000612816
m	0.268348	0.72165	0.00190634	0.00158133	0.000266121	2.46761e-05	0.00622363
í	0.0480204	0.915863	0.012817	0.00212259	0.00272479	0.000270476	0.0181815
y	0.200348	0.219896	0.517436	0.00790416	0.0093729	0.00129773	0.0437459
a	0.583476	0.260612	0.104703	0.0120406	0.00831907	0.000416142	0.0304328
n	0.788779	0.0336188	0.147166	0.00480427	0.00380801	0.000251702	0.0215729
g	0.974719	0.0100469	0.0121188	0.000757546	0.00116466	2.07805e-05	0.00117249
á	0.444728	0.0984314	0.318014	0.0818177	0.0188396	0.00171669	0.0364527
á	0.0261399	0.0226211	0.882793	0.0162879	0.0261408	0.00532388	0.0206937
b	0.00486146	0.0165119	0.157846	0.781663	0.0164418	0.0027744	0.0199014
o	0.00496606	0.0164355	0.234174	0.70817	0.0180687	0.00341427	0.0147708
m	0.0668652	0.00791586	0.191816	0.622766	0.0609906	0.0211631	0.0284834
i	0.340155	0.0290539	0.145773	0.127938	0.219768	0.0115682	0.125745
k	0.0460669	0.00339498	0.0683285	0.0723139	0.307367	0.358077	0.144451
a	0.00353016	0.000221191	0.00360046	0.012424	0.0919509	0.868436	0.0198369
k	0.000631523	8.73422e-05	0.00582711	0.00765748	0.0507547	0.860998	0.0740438
a	0.00160674	3.86467e-05	0.00251422	0.000743649	0.106262	0.782506	0.106329
l	0.00230522	6.12974e-05	0.00290886	0.00117033	0.0867239	0.680739	0.226092
a	0.017298	0.000752815	0.0122082	0.0233179	0.18092	0.526516	0.238987
</S>	0.0209297	0.00162961	0.0231977	0.00485032	0.265526	0.0613841	0.622482
