 	le	poisson	est	dans	la	cachette	</S>
s	0.374655	0.56211	0.0448137	0.0126455	0.0055722	8.9075e-05	0.000114593
w	0.461923	0.385599	0.054358	0.0140172	0.0654711	0.00079265	0.0178392
é	0.363178	0.56793	0.0191289	0.0182768	0.0228386	0.00440755	0.00424035
a	0.0971209	0.240965	0.134843	0.113159	0.139101	0.0571851	0.217626
d	0.0600404	0.0537487	0.495386	0.23923	0.060742	0.0102163	0.0806372
i	0.0876901	0.123226	0.286423	0.208417	0.128728	0.00656957	0.158946
s	0.0438601	0.0511631	0.154986	0.291676	0.250099	0.0870302	0.121185
í	0.123077	0.160277	0.131737	0.222281	0.171351	0.0303384	0.160938
d	0.037126	0.0481575	0.0297005	0.0345323	0.0961246	0.724208	0.030151
u	0.032774	0.0344742	0.0283953	0.191398	0.257317	0.335871	0.11977
u	0.0191435	0.00637367	0.00748029	0.0217016	0.0513872	0.826708	0.0672057
</S>	0.00253686	0.00095687	0.0555287	0.0997488	0.219324	0.303156	0.31875
