 	il	construit	un	abri	en	brousse	pour	la	récolte	du	vin	</S>
w	0.73167	0.137824	0.0242504	0.00906072	0.0116469	0.0301477	0.0200268	0.0265909	0.00194699	0.00658071	0.000227831	2.6944e-05
a	0.71844	0.147332	0.0457505	0.00275768	0.0168971	0.00543012	0.0084594	0.0308866	0.00947971	0.00613169	0.00835297	8.15794e-05
l	0.390616	0.481652	0.0644188	0.00314611	0.0111149	0.00512569	0.00721093	0.0127174	0.00165821	0.00729154	0.0109667	0.0040824
á	0.147126	0.284853	0.195748	0.0154794	0.0455141	0.0084981	0.0170883	0.0146084	0.00144808	0.0277674	0.0195265	0.222343
a	0.290321	0.230207	0.217253	0.0187375	0.0255657	0.0127691	0.0207485	0.0249216	0.00446109	0.0173848	0.0708703	0.0667606
t	0.0188155	0.534961	0.261577	0.138047	0.00646488	0.00617146	0.00128426	0.000626762	0.00143821	0.00312144	0.00318235	0.0243105
ó	0.0166877	0.362846	0.281268	0.294769	0.00956428	0.00875268	0.00142214	0.00065962	0.00154133	0.00206597	0.00137567	0.0190469
n	0.0176328	0.352703	0.321259	0.249512	0.0143706	0.019522	0.00195706	0.000970986	0.000336571	0.00249493	0.00142798	0.0178133
g	0.0597658	0.250171	0.495029	0.115589	0.0309727	0.0101175	0.00645266	0.00337549	0.00105288	0.00347433	0.000534892	0.0234646
á	0.161023	0.395663	0.281012	0.0545196	0.0210015	0.0214763	0.00963751	0.00822512	0.000713469	0.00236806	0.00313039	0.0412308
k	0.0658561	0.0380913	0.245382	0.224249	0.21439	0.0829701	0.0426453	0.0414721	0.00835803	0.0241744	0.00601724	0.00639387
i	0.00679219	0.00814159	0.0389348	0.745046	0.0175457	0.157154	0.0128876	0.00282236	0.0043843	0.00257561	0.00127085	0.00244509
l	0.00152811	0.00437064	0.0338672	0.525621	0.0339732	0.330069	0.0169935	0.00366646	0.00947746	0.00756906	0.00398985	0.0288749
i	0.00203246	0.00802834	0.0610184	0.507408	0.0744498	0.234274	0.0318848	0.0126115	0.0015322	0.0148534	0.00193975	0.0499678
</S>	0.00388914	0.00526069	0.105981	0.0727962	0.51423	0.155527	0.0595557	0.0342399	0.0108394	0.0178288	0.00124632	0.0186054
