 	l'	esondo	est	un	fruit	rouge	avec	des	pepins	noirs	</S>
e	0.853935	0.069563	0.048582	0.0082259	0.00453366	0.00339731	0.00562462	0.00414103	0.000618147	0.00134593	3.30785e-05
s	0.155177	0.663729	0.0878091	0.0154175	0.00302619	0.00234806	0.00148038	0.00255661	0.0461182	0.0212581	0.00108013
ó	0.0109585	0.935599	0.022867	0.00831671	0.00349687	0.00896952	0.00281261	0.000774775	0.00452091	0.000330514	0.00135376
n	0.0300714	0.798561	0.0846247	0.0111267	0.0042408	0.00448185	0.00578318	0.00347392	0.00835101	0.0109853	0.0383008
d	0.138416	0.57011	0.0831321	0.0364998	0.0125141	0.0213568	0.0273795	0.0258692	0.00822366	0.025575	0.050924
ó	0.152867	0.666442	0.016802	0.0230707	0.00992854	0.0194305	0.0127579	0.00626889	0.00150004	0.012476	0.0784564
é	0.205743	0.197844	0.231948	0.0651478	0.0375208	0.0375532	0.053635	0.0434922	0.0188283	0.00855214	0.0997352
d	0.0596315	0.13427	0.338736	0.296643	0.0809294	0.0358674	0.00853321	0.0134777	0.0152419	0.00142221	0.0152478
i	0.0406665	0.059785	0.30361	0.304884	0.145562	0.0179662	0.00473567	0.00898994	0.0175196	0.000735452	0.0955452
e	0.0145607	0.0506258	0.307531	0.342439	0.210182	0.0210916	0.00372579	0.0090717	0.0158252	0.000875757	0.024071
b	0.0021195	0.0167113	0.076139	0.574343	0.209792	0.0652773	0.0108091	0.011377	0.0122827	0.00289421	0.0182542
v	0.00349307	0.00795092	0.0919235	0.386734	0.148639	0.0491975	0.0996371	0.134921	0.0122119	0.0379878	0.0273045
u	0.00124794	0.00694295	0.100578	0.37619	0.215898	0.0679374	0.0983844	0.0924469	0.0106779	0.0195032	0.0101933
m	0.00205219	0.00247913	0.0251493	0.243164	0.365666	0.218405	0.0726651	0.0443501	0.0104153	0.00704905	0.008606
á	0.0125947	0.000448427	0.0276939	0.0761399	0.256677	0.0853344	0.222116	0.251464	0.0118547	0.00708509	0.0485925
y	0.00522164	0.00414831	0.0315564	0.0667893	0.237398	0.28177	0.216354	0.101566	0.0368725	0.00783232	0.0104907
á	0.00525398	0.0173544	0.0108528	0.036521	0.125026	0.460811	0.189446	0.0559817	0.071294	0.00354689	0.0239118
t	0.00336579	0.00365182	0.00289024	0.00938478	0.0398277	0.458267	0.325418	0.0767588	0.0496557	0.0235206	0.00725974
s	0.000198217	0.00132645	0.00211945	0.011336	0.0241991	0.181536	0.29451	0.164386	0.196436	0.111721	0.0122311
ω	3.11671e-05	0.00112275	0.000695873	0.00825843	0.0244359	0.175244	0.16866	0.180209	0.256295	0.158022	0.0270255
l	5.53503e-05	0.000804234	0.00121789	0.012453	0.0439378	0.228196	0.299966	0.282852	0.0680287	0.0451045	0.0173841
a	0.000144269	0.00153934	0.00132531	0.0115807	0.0579332	0.179985	0.216247	0.212814	0.110514	0.0919492	0.115967
m	0.00176055	0.00340142	0.00842453	0.00772856	0.0430843	0.0597583	0.158822	0.325761	0.229207	0.0552239	0.106828
b	0.00221764	0.00190636	0.0112372	0.00421469	0.018743	0.00462017	0.0409437	0.285847	0.289865	0.0376971	0.302708
v	0.00215125	0.00229803	0.00658839	0.00918528	0.0146673	0.0116843	0.0471198	0.521267	0.111828	0.194205	0.079006
u	0.000490562	0.00124014	0.00142714	0.00399099	0.00512667	0.0107277	0.0762507	0.146731	0.0291675	0.57821	0.146637
m	0.00164274	0.00200051	0.000649538	0.00713278	0.0260133	0.0710969	0.121872	0.197838	0.206764	0.262728	0.102262
a	0.0147528	0.000919271	0.00266543	0.00352108	0.0179324	0.035412	0.219791	0.231649	0.112222	0.160959	0.200176
b	0.00401276	0.00140475	0.00233965	0.00153824	0.00996231	0.0142609	0.0380168	0.114896	0.144731	0.0772272	0.59161
á	0.000413574	0.000840162	0.00563917	0.00559727	0.0218521	0.0120386	0.10705	0.374842	0.171635	0.213353	0.086739
p	0.00155902	0.000979615	0.00287653	0.00185881	0.00959646	0.015082	0.0781424	0.183007	0.182014	0.362487	0.162397
i	7.63159e-05	0.000720273	0.0010457	0.00150259	0.00326275	0.00905727	0.0287866	0.0905363	0.401135	0.345429	0.118448
p	1.24419e-05	0.000251246	0.000176486	0.000495317	0.00127065	0.00529713	0.0148819	0.0491802	0.311009	0.250624	0.366802
i	0.000545099	0.00194799	0.00169585	0.00302428	0.00603113	0.0165792	0.0221735	0.0739038	0.364882	0.244947	0.264271
s	0.00051306	0.000963833	0.00161056	0.00241465	0.00634128	0.013344	0.027368	0.111315	0.201145	0.10395	0.531034
á	6.29117e-05	0.0013047	0.000600454	0.00122792	0.00273872	0.0146763	0.0189922	0.0345653	0.266124	0.476222	0.183485
m	0.0131048	0.00189001	0.00411772	0.00311433	0.00720702	0.0287561	0.0449978	0.0633117	0.16738	0.414115	0.252006
w	0.00106332	0.000307907	0.00376571	0.0025616	0.0073272	0.00208389	0.0122002	0.156391	0.237485	0.157737	0.419078
ε	0.0118113	0.00284273	0.00402867	0.00357988	0.00555161	0.00351581	0.0134402	0.122232	0.0972001	0.607796	0.128002
</S>	2.45366e-05	0.000222165	0.000106202	0.000489569	0.00111023	0.00094088	0.00207001	0.0717213	0.166814	0.129844	0.626657
