 	j'	ai	besoin	du	sel	pour	préparer	la	nourriture	</S>
n	0.929232	0.044619	0.00589252	0.0175789	0.00132781	0.0007913	0.000182768	0.000214335	0.000116103	4.52689e-05
g	0.985889	0.0130275	0.00011987	0.000922948	2.3997e-06	1.76942e-05	1.03332e-05	7.3356e-06	1.88718e-06	9.9586e-07
á	0.940413	0.0555221	0.00190518	0.00177056	3.74392e-05	3.25204e-05	0.000216069	6.60077e-05	3.08058e-05	6.22158e-06
i	0.20188	0.358995	0.0700678	0.0579793	0.00670504	0.0140125	0.0190482	0.00933988	0.00120635	0.260766
d	0.044715	0.2345	0.621185	0.0153845	0.0502696	0.0051689	0.00531047	0.0036262	0.00555367	0.0142869
i	0.0797958	0.675812	0.221274	0.00531677	0.0011213	0.00180739	0.0030765	0.00074097	0.000585113	0.0104702
l	0.0220247	0.192706	0.709291	0.0302673	0.00181676	0.00483158	0.00653615	0.00393042	0.00142551	0.0271706
i	0.0264581	0.232031	0.352051	0.218778	0.00608979	0.0309535	0.0306667	0.0121375	0.00252326	0.0883097
k	0.00762782	0.0444279	0.683616	0.151771	0.0271612	0.00929501	0.0135988	0.00366815	0.00120865	0.0576259
á	0.000540332	0.00347375	0.874373	0.0328614	0.0810027	0.00106601	0.00222472	0.000468929	0.00171195	0.00227697
m	0.00329737	0.010607	0.580811	0.0809616	0.283415	0.00855105	0.00880588	0.0013844	0.00236061	0.0198063
b	0.00533784	0.0241461	0.575849	0.176029	0.130655	0.053437	0.00984713	0.0052395	0.00512127	0.0143381
í	0.0041363	0.0102601	0.26335	0.122369	0.349657	0.127131	0.0196085	0.00878356	0.00495833	0.0897453
l	0.00259869	0.0459342	0.0966743	0.305041	0.0889636	0.28033	0.0505344	0.0163254	0.00393769	0.10966
ó	0.0167417	0.0347134	0.0808139	0.106225	0.0392466	0.130392	0.191401	0.0429191	0.00101953	0.356528
k	0.0115297	0.0143194	0.0288947	0.125041	0.0712058	0.202229	0.366352	0.0555567	0.00325309	0.12162
w	0.000361822	0.000840289	0.0212756	0.0209896	0.868087	0.0280874	0.0413354	0.0046585	0.0091559	0.00520868
á	0.00135894	0.000867284	0.0267224	0.0381018	0.620815	0.0999182	0.134266	0.0148585	0.037485	0.0256065
m	0.00068736	0.00192275	0.0217296	0.0248796	0.208476	0.215673	0.116321	0.0276076	0.0409525	0.341751
í	0.00033781	0.00130013	0.0329031	0.0161929	0.0949823	0.331487	0.183144	0.106628	0.0278884	0.205136
l	0.00185137	0.00650673	0.0103077	0.0235073	0.00440105	0.202995	0.366713	0.23545	0.0565855	0.0916831
á	0.00348976	0.00950435	0.0328842	0.00832368	0.00166512	0.0583711	0.319943	0.157804	0.010828	0.397188
m	0.00639327	0.018524	0.00344273	0.0396342	0.00292647	0.0844962	0.317952	0.313163	0.0505366	0.162931
b	0.000664165	0.00752259	0.00798882	0.0102193	0.00722462	0.072312	0.123181	0.343525	0.0646771	0.362686
a	0.000716549	0.00234151	0.0101364	0.0143053	0.00405579	0.135139	0.276244	0.228531	0.196752	0.131779
</S>	0.000194837	0.000660791	0.00571884	0.00694963	0.00935912	0.0770684	0.108314	0.106592	0.503285	0.181858
