 	le	pangolin	géant	se	nourrit	de	fourmis	noires	</S>
l	0.454294	0.482508	0.0346763	0.0196655	0.000758723	0.00577703	0.00221841	7.76816e-05	2.50301e-05
e	0.404384	0.535051	0.0320248	0.0168423	0.00256969	0.00442015	0.0037227	0.00022839	0.000756833
k	0.0472389	0.756996	0.0969003	0.0275906	0.0510456	0.0112815	0.00231834	0.00169581	0.00493282
á	0.00841191	0.933582	0.0153628	0.0082728	0.0129849	0.00700891	0.00261345	0.00193711	0.00982625
á	0.0314178	0.776469	0.0229637	0.0166869	0.0897386	0.0187715	0.00615419	0.0104807	0.0273173
l	0.354312	0.0606719	0.258193	0.233767	0.0367816	0.0359203	0.00796389	0.00218779	0.0102019
í	0.11806	0.0181132	0.353098	0.193467	0.0594677	0.0457223	0.0195057	0.00512748	0.18744
i	0.282509	0.034951	0.237138	0.349772	0.0428411	0.0298757	0.00658367	0.00341283	0.0129173
d	0.0111995	0.0164103	0.318851	0.259791	0.34863	0.0207749	0.00748675	0.00723377	0.00962206
z	0.00135487	0.00539467	0.0646824	0.020821	0.892935	0.0050152	0.00052553	0.00356421	0.00570715
á	0.00666905	0.00984966	0.0485292	0.0309612	0.879152	0.0100909	0.000964043	0.00872529	0.00505908
á	0.00745312	0.00622608	0.0629507	0.114539	0.467188	0.11216	0.0209567	0.0473785	0.161149
m	0.0272181	0.00543533	0.202568	0.263639	0.173347	0.20658	0.0875417	0.00903346	0.0246369
á	0.0120036	0.000228905	0.122414	0.304932	0.206557	0.209679	0.0151413	0.0273854	0.101658
m	0.035146	0.00624538	0.152816	0.326856	0.132871	0.20283	0.0667281	0.052004	0.0245042
b	0.00629644	0.000490124	0.0910384	0.326527	0.0988624	0.308797	0.0206921	0.03174	0.115557
ω	0.00159297	0.00193872	0.105845	0.616793	0.0640588	0.170831	0.0047045	0.0123745	0.0218621
n	0.00339379	0.00177171	0.133891	0.486296	0.0551726	0.249655	0.0120912	0.00652476	0.0512042
y	0.0493315	0.0286297	0.194775	0.161419	0.0476264	0.263358	0.0627953	0.0228296	0.169235
í	0.00658328	0.0141679	0.0313681	0.0255109	0.0493538	0.284706	0.0709239	0.117905	0.399481
i	0.00893942	0.000677623	0.0174721	0.0150266	0.0402232	0.31934	0.142452	0.0944823	0.361387
b	0.00428583	0.00262348	0.01775	0.0143932	0.00867727	0.130989	0.456842	0.164009	0.200431
á	0.0209892	0.00761078	0.0664599	0.0723503	0.00824605	0.145885	0.426914	0.142735	0.108809
p	0.0125489	0.00365554	0.0358358	0.0620082	0.0108599	0.141165	0.361027	0.227645	0.145255
i	0.0015729	0.00233425	0.000788529	0.000737602	0.00219753	0.0111357	0.0735134	0.886217	0.0215027
p	0.000148877	0.00186853	0.000352065	0.0004998	0.00448046	0.0172423	0.097696	0.736573	0.141139
i	0.00268792	0.00590717	0.000526308	0.000648109	0.00152275	0.00778844	0.0304531	0.846827	0.103639
</S>	0.00783539	0.0152724	0.00601865	0.00973522	0.00287985	0.0471184	0.0982324	0.235139	0.577769
