 	j'	irai	chez	lui	l'	an	prochain	</S>
n	0.935586	0.00375921	0.0317609	0.0126659	0.00857868	0.00737485	0.000123868	0.000150537
g	0.999343	2.4226e-05	0.000335622	0.000183402	9.15057e-05	4.02217e-06	1.01851e-05	7.57091e-06
á	0.994083	0.00162447	0.000737938	0.000915734	0.000624212	0.000215144	0.00159616	0.00020389
l	0.244446	0.0466167	0.132826	0.0654164	0.095888	0.0507934	0.128544	0.235469
í	0.595539	0.144188	0.0370254	0.0328561	0.0348808	0.018024	0.0369636	0.100523
i	0.119874	0.133944	0.0980887	0.121667	0.0965378	0.0441049	0.151612	0.234173
d	0.0028222	0.983637	0.00577776	0.0016485	0.00054236	0.00156748	0.000483466	0.00352142
z	0.000967692	0.990563	0.00622646	0.000583596	0.000131678	0.000358806	2.93438e-05	0.00113979
w	0.0337796	0.965089	0.000470706	0.000344837	5.91764e-05	2.27302e-05	8.81136e-06	0.000225319
a	0.00683269	0.295124	0.171857	0.23383	0.0562719	0.0107823	0.00529574	0.220006
m	0.00211829	0.0327387	0.713382	0.154868	0.058618	0.00748476	0.00876107	0.0220298
b	0.00358376	0.0177687	0.860926	0.0726526	0.0325485	0.00618215	0.00074581	0.0055926
v	0.000221558	0.000799577	0.946685	0.0210803	0.0170389	0.0129835	0.000108222	0.00108258
á	0.00042436	0.0132174	0.873402	0.034635	0.0318228	0.0336591	0.000608319	0.0122311
a	0.00390855	0.0139158	0.611534	0.190585	0.057224	0.0566807	0.00095824	0.0651937
w	0.000585657	0.00286793	0.236598	0.538268	0.126419	0.066336	0.00679519	0.0221297
a	0.00487753	0.00567952	0.149898	0.41428	0.255643	0.101963	0.0316989	0.03596
ε	0.0040318	0.00129442	0.0820637	0.490496	0.323458	0.0398129	0.0272844	0.0315584
b	0.000773241	0.0202282	0.0275738	0.409914	0.250628	0.154164	0.0561078	0.0806106
h	0.00012086	0.00522111	0.122698	0.12522	0.12818	0.557902	0.0244071	0.0362503
a	6.0643e-05	0.00723366	0.236308	0.14196	0.0715009	0.463481	0.0207454	0.0587104
n	0.000714927	0.000572672	0.0318695	0.111151	0.126193	0.388838	0.0178738	0.322787
á	0.00155536	0.00417702	0.0609357	0.249318	0.155071	0.0978575	0.0573676	0.373718
a	0.00778564	0.000927296	0.0129494	0.184243	0.227755	0.0568415	0.431121	0.0783778
y	0.0141545	0.00352692	0.0311111	0.0915688	0.0980488	0.0839275	0.576121	0.101541
έ	0.000448168	0.0213536	0.00570116	0.0601112	0.0532024	0.0130311	0.577957	0.268196
έ	0.00169511	0.000376827	0.00503397	0.0409229	0.0812082	0.0236832	0.3911	0.45598
y	0.000720203	0.00266897	0.00401422	0.0420933	0.0448457	0.064066	0.436178	0.405413
a	0.000100426	0.00339252	0.00120034	0.0182697	0.0163808	0.00796584	0.570541	0.38215
a	0.000490212	0.000315265	0.00304729	0.0313656	0.0552923	0.0111982	0.276207	0.622084
</S>	0.00335327	0.00542832	0.0242728	0.0445984	0.0640723	0.0515911	0.418019	0.388665
