 	ce	masque	qu'	il	est	en	train	de	tailler	présente	encore	des	défectuosités	</S>
i	0.337832	0.381243	0.116508	0.0800962	0.0185121	0.020324	0.012593	0.0264806	0.00258714	0.00115929	0.000651076	0.00175997	0.000146108	0.000107824
f	0.00358735	0.980545	0.00487944	0.00506542	0.00157221	0.000655416	0.00101205	0.000254211	0.000114595	9.57697e-05	0.000286079	0.000148651	0.00165979	0.000123874
i	0.00203926	0.802924	0.0226767	0.0570075	0.0258711	0.0141736	0.0323685	0.00376239	0.00202521	0.00302872	0.00069594	0.000994733	0.0314261	0.00100615
a	0.0176694	0.414284	0.133412	0.230632	0.0488537	0.0271826	0.0519833	0.013763	0.0228257	0.00939155	0.00290937	0.00338951	0.00828878	0.015416
l	0.269812	0.0154422	0.303281	0.195353	0.0210661	0.015499	0.00439395	0.108263	0.0164609	0.0236282	0.00600156	0.00515706	0.000367365	0.0152746
í	0.0862918	0.00840849	0.0767457	0.0738025	0.0264882	0.0445126	0.00895914	0.0643743	0.0595025	0.0927214	0.0911336	0.0207429	0.0114225	0.334894
í	0.145956	0.00595561	0.151971	0.0520367	0.00854122	0.051724	0.0253738	0.262602	0.158133	0.0938088	0.0168277	0.0106219	0.00107114	0.0153773
p	0.00989518	0.00288019	0.0381029	0.0652368	0.0409219	0.0154784	0.00129414	0.0666337	0.0609934	0.313148	0.310454	0.0374377	0.0233532	0.0141695
á	0.00220285	0.0105824	0.051836	0.189004	0.139491	0.0435718	0.0145677	0.0395383	0.0367629	0.342928	0.0841272	0.0107759	0.0229629	0.0116491
á	0.00502705	0.0203085	0.0656025	0.0939755	0.17104	0.0662113	0.0243968	0.0596719	0.0293908	0.336747	0.021537	0.0123485	0.0482759	0.0454673
w	0.0134717	0.00133482	0.0513396	0.0422748	0.0334195	0.0401287	0.00206105	0.2408	0.167352	0.350613	0.0305792	0.0138926	0.00355759	0.00917561
a	0.00769618	0.00271351	0.0994496	0.115891	0.0770058	0.11937	0.00855549	0.0830211	0.103743	0.228958	0.0501867	0.0363063	0.00865842	0.0584442
d	0.00376835	0.000791729	0.0344915	0.0200476	0.0117043	0.0352151	0.00338567	0.164933	0.246935	0.387199	0.0576684	0.0166834	0.00586525	0.0113112
í	0.0153474	0.00115002	0.00384736	0.00636969	0.0163017	0.0118091	0.00019298	0.0170905	0.0374004	0.513934	0.128383	0.0213369	0.107755	0.119082
í	0.00725715	0.00288489	0.0292769	0.0102112	0.00875774	0.00817087	0.000773968	0.0376687	0.0505128	0.492071	0.186486	0.0846623	0.0561434	0.0251234
s	0.0032429	0.00234468	0.00778087	0.00476573	0.00347107	0.000894258	9.48547e-05	0.00209696	0.00269465	0.0605595	0.670377	0.131877	0.0993949	0.0104058
á	0.00108077	5.12512e-05	0.000302403	0.000316578	0.000331105	0.000295865	5.76156e-06	0.00061561	0.00276402	0.0716597	0.849799	0.0337069	0.0292948	0.00977575
a	0.00536765	0.000354382	0.00348712	0.00242415	0.00267261	0.00335879	5.39618e-05	0.0079168	0.0250896	0.0986376	0.46204	0.174971	0.132603	0.0810231
l	0.0016724	0.000426786	0.00385819	0.00207371	0.00160691	0.00142365	0.000124122	0.00493873	0.00635914	0.0277736	0.182226	0.41335	0.237257	0.116911
i	0.00740989	0.00113386	0.00281997	0.00211972	0.00272525	0.00193548	0.000230376	0.00199303	0.0017196	0.0228106	0.212696	0.127897	0.384066	0.230444
l	0.00622748	0.000734707	0.00321351	0.00183395	0.00138355	0.0023181	0.00014149	0.00433297	0.00405779	0.0133093	0.0698337	0.242808	0.482686	0.167119
έ	0.00382327	0.000943338	0.00200217	0.00120998	0.00168684	0.000930304	0.000136562	0.000851451	0.000632002	0.00797854	0.0666965	0.154066	0.681898	0.0771449
l	0.000949044	0.000193124	0.000823699	0.000541213	0.000972933	0.000993358	6.13493e-05	0.000366815	0.00108269	0.00249114	0.0176752	0.0993213	0.774067	0.100461
έ	0.00126895	0.000855374	0.000910202	0.00101265	0.00255647	0.00159208	9.83796e-05	0.000688154	0.00108776	0.00548318	0.0427457	0.178776	0.646927	0.115999
</S>	0.000441865	7.1081e-05	0.000499618	0.000228992	0.000349812	0.000287715	3.84302e-05	0.000296842	0.000267206	0.0019186	0.0149143	0.095489	0.756441	0.128755
