 	les	animaux	barrent	la	route	</S>
a	0.76548	0.218554	0.00676064	0.00754839	0.00160415	5.28915e-05
n	0.13009	0.716498	0.124534	0.015817	0.0106808	0.00237953
y	0.0267308	0.943875	0.0272315	0.000889985	1.22884e-05	0.00126052
a	0.00880579	0.972982	0.0163742	0.000577878	6.63126e-05	0.00119369
m	0.0734891	0.510468	0.339047	0.0259773	0.00121502	0.0498042
a	0.362045	0.274375	0.176031	0.0653906	0.00115347	0.121006
b	0.288135	0.0807839	0.452275	0.100402	0.00805366	0.0703497
á	0.153104	0.0481619	0.0801882	0.653991	0.00922193	0.0553327
a	0.479765	0.122445	0.196739	0.158591	0.0177348	0.0247249
k	0.0495719	0.0281599	0.646386	0.164795	0.0449586	0.0661288
a	0.0087572	0.0113809	0.845551	0.0543324	0.0321202	0.0478586
n	0.00976223	0.0206978	0.713661	0.120309	0.043461	0.0921087
g	0.0683176	0.0734084	0.536946	0.127683	0.0343733	0.159272
á	0.196545	0.176763	0.200813	0.149901	0.0100053	0.265973
k	0.026155	0.0126812	0.0215735	0.364388	0.505026	0.0701766
ó	0.000891417	0.00179155	0.0267972	0.0171644	0.945389	0.00796673
ó	0.000126453	0.000320719	0.0123925	0.0279904	0.898611	0.0605592
</S>	0.0143267	0.00128882	0.00874316	0.150172	0.11245	0.713018
