 	sa	manière	de	t	'	'	attendre	montre	qu'	il	a	un	problème	</S>
e	0.490342	0.328671	0.123547	0.0295271	0.0130125	0.00470448	0.000737478	0.00157625	0.00129501	0.00109172	0.00078142	0.00316476	0.00115567	0.000392424
k	0.00450633	0.00371924	0.00382851	0.756881	0.0466161	0.000913506	0.000684743	0.00165212	0.00380646	0.00656265	0.0667057	0.0711539	0.0323152	0.000654843
o	0.00486445	0.00639692	0.00700626	0.796045	0.0449914	0.00194782	0.00414305	0.0060781	0.0188258	0.0137196	0.0213771	0.0157564	0.0520435	0.00680457
n	0.00458728	0.0151509	0.0252045	0.733222	0.108993	0.00108251	0.000933456	0.00341451	0.006516	0.0126519	0.0262508	0.05401	0.00450168	0.00348172
g	0.150085	0.0318108	0.0148246	0.489387	0.112312	0.00311635	0.00325427	0.0123561	0.0279962	0.0220782	0.0468729	0.0313739	0.00918612	0.045347
í	0.0943345	0.103055	0.0689895	0.136712	0.285386	0.0452359	0.0300843	0.0350472	0.0322949	0.0352607	0.0316718	0.0399975	0.0130249	0.0489058
í	0.0140795	0.00760158	0.0519743	0.0194837	0.0901963	0.0547108	0.0366116	0.0693305	0.0875227	0.171928	0.117549	0.0663151	0.0313277	0.181369
l	0.074852	0.0308847	0.057532	0.233413	0.0591004	0.0221333	0.034972	0.0700017	0.0667426	0.0819601	0.134352	0.0467715	0.0112689	0.076015
í	0.159144	0.08048	0.287862	0.137483	0.064334	0.0140817	0.0203815	0.0427759	0.0193987	0.0201791	0.044136	0.0292001	0.00643912	0.0741042
y	0.0979789	0.120473	0.284165	0.0637177	0.0819718	0.0473061	0.0184432	0.0300362	0.0250199	0.0245407	0.0213097	0.0203442	0.010387	0.154307
é	0.0388417	0.0395771	0.154737	0.376026	0.0911344	0.049997	0.0128764	0.0704741	0.0601544	0.0177637	0.013476	0.018661	0.00630813	0.0499736
é	0.0226606	0.0153904	0.26009	0.0501866	0.200718	0.153179	0.0492605	0.081445	0.0365147	0.0236535	0.0125682	0.0147897	0.00635814	0.0731851
k	0.0055401	0.00466536	0.0563187	0.0703419	0.135503	0.0765703	0.175715	0.181996	0.10699	0.0689504	0.047947	0.0318323	0.0116345	0.0259954
o	0.00229544	0.000832552	0.0102124	0.507152	0.0697387	0.00346772	0.00597128	0.0187955	0.050749	0.0852536	0.0766055	0.0434173	0.0873156	0.0381938
n	0.00166135	0.000406083	0.0144142	0.474791	0.0907013	0.00626501	0.00523044	0.0380691	0.0569072	0.0811177	0.0673459	0.0720313	0.0354793	0.0555805
g	0.0105551	0.00385068	0.0162617	0.337578	0.17698	0.0303708	0.0192335	0.0774669	0.078117	0.0514661	0.0478177	0.0244878	0.0110736	0.114741
á	0.0177055	0.0443954	0.0962352	0.0919606	0.220174	0.145311	0.0928714	0.103199	0.0722752	0.0205679	0.0032269	0.00272323	0.00676677	0.082587
á	0.00982483	0.00218384	0.0543011	0.00926759	0.0429748	0.0832195	0.156747	0.164526	0.190392	0.161025	0.0472331	0.0439576	0.0111794	0.0231682
w	0.00692791	0.00515481	0.0397447	0.0159499	0.0286975	0.0212023	0.150447	0.146125	0.104577	0.154893	0.158232	0.125797	0.0225316	0.0197194
á	0.00230234	0.00231687	0.0130431	0.027152	0.0382557	0.0153341	0.0914238	0.0892536	0.170693	0.159083	0.122896	0.100594	0.102116	0.0655357
n	0.00171616	0.000853882	0.0143035	0.00250703	0.0173256	0.0609152	0.107917	0.0770237	0.193879	0.294454	0.0992189	0.0335787	0.022862	0.0734454
ω	0.00222605	0.00295497	0.0123972	0.00136563	0.0137248	0.0822977	0.565333	0.115357	0.116531	0.050994	0.00967998	0.00760717	0.00807877	0.0114524
y	0.000150829	0.000626518	0.0126918	0.00767468	0.0194985	0.0241645	0.049464	0.0632548	0.105403	0.178501	0.259029	0.205927	0.0497915	0.0238231
é	0.105999	0.0574559	0.0653472	0.0243582	0.0402829	0.0683391	0.0403987	0.14332	0.179566	0.101302	0.0479299	0.0515999	0.0397264	0.0343753
a	0.0244672	0.00988846	0.0382422	0.00431547	0.0140596	0.0359731	0.0824012	0.0923687	0.120795	0.0981846	0.0678294	0.205278	0.132067	0.0741299
d	0.00212324	0.00225542	0.0109243	0.014629	0.011016	0.00120925	0.00670388	0.00928957	0.0112164	0.0235166	0.21423	0.419013	0.199385	0.0744882
í	0.000491393	0.000726395	0.00356611	0.00216143	0.00648261	0.000816179	0.00225211	0.00446824	0.0044714	0.0151838	0.245787	0.334675	0.0636534	0.315265
l	0.00632841	0.00170549	0.00639628	0.00125377	0.00451017	0.00296223	0.00821642	0.0130813	0.0171876	0.019993	0.148041	0.484423	0.105121	0.18078
i	0.00588785	0.00174531	0.00861758	0.00439688	0.00881709	0.00254097	0.0167452	0.0109989	0.0202114	0.0218034	0.132347	0.171316	0.145379	0.449194
b	0.000844958	0.000696075	0.00145459	0.00101119	0.00155676	0.000673528	0.00348767	0.00230108	0.0057501	0.00596574	0.0419364	0.113644	0.599871	0.220807
h	0.00301064	0.00286389	0.00960008	0.0020547	0.0206221	0.00365218	0.0175023	0.00591721	0.0160646	0.0344522	0.062443	0.107785	0.686121	0.027911
ώ	0.000407217	7.75932e-05	0.000283474	0.000646127	0.00147989	7.59414e-05	0.000499162	0.000562837	0.00316783	0.00518471	0.0281098	0.0706225	0.826795	0.0620883
ω	0.000209792	7.025e-05	0.000198344	0.000929382	0.00145578	0.000867067	0.00240564	0.0058562	0.0204054	0.0144087	0.044013	0.159648	0.503881	0.245652
</S>	0.00287529	0.000415086	0.00129504	0.00162578	0.00348964	0.00162163	0.00288013	0.00545681	0.00709949	0.00663828	0.0825645	0.335644	0.147326	0.401069
