 	elle	a	un	pagne	neuf	</S>
w	0.924845	0.0672538	0.00661362	0.000905703	0.000327741	5.37972e-05
a	0.883715	0.104881	0.00978773	0.00097373	0.000615177	2.70235e-05
a	0.218118	0.666405	0.0925004	0.00812851	0.00197953	0.0128684
d	0.0996581	0.640242	0.190224	0.0224482	0.0133134	0.034114
í	0.0530557	0.76435	0.122043	0.00797402	0.000562793	0.0520149
l	0.0243524	0.198165	0.339839	0.0620271	0.0275939	0.348023
a	0.120411	0.281905	0.470822	0.0229509	0.00415312	0.0997576
i	0.0638738	0.272779	0.449067	0.170487	0.00718074	0.0366131
p	0.00145675	0.0189358	0.185179	0.731923	0.0516644	0.0108409
ú	0.000685343	0.00321874	0.0239394	0.896877	0.0705891	0.0046905
t	0.000606365	0.00363821	0.0407998	0.919231	0.0220863	0.0136389
a	0.0148598	0.0124294	0.023558	0.733437	0.171235	0.0444802
l	0.00889094	0.0192353	0.134682	0.161663	0.350557	0.324972
á	0.00538486	0.0118731	0.0779781	0.114122	0.274259	0.516383
p	0.0235957	0.0506959	0.0967805	0.100817	0.472349	0.255762
á	0.00848396	0.0064157	0.00772154	0.12738	0.801704	0.0482955
r	0.00178609	0.00287643	0.00773126	0.087159	0.744651	0.155796
á	0.00533409	0.00706946	0.0518994	0.251707	0.289152	0.394838
a	0.00397203	0.00724226	0.0326913	0.0310345	0.105695	0.819365
d	0.0174471	0.122735	0.252898	0.0504566	0.18679	0.369673
í	0.00217549	0.0805077	0.1999	0.0256176	0.0437618	0.648037
</S>	0.00206807	0.016293	0.0616106	0.0240947	0.176611	0.719322
