 	il	confectionne	une	brosse	</S>
w	0.851327	0.141584	0.00610094	0.000620104	0.000367434
a	0.85146	0.113975	0.0297843	0.004234	0.000546382
l	0.675274	0.150769	0.131207	0.0175229	0.0252276
á	0.0949398	0.139482	0.207405	0.049271	0.508902
a	0.394465	0.0684989	0.178463	0.0811671	0.277406
b	0.0848095	0.354738	0.404989	0.0917352	0.0637282
ω	0.054109	0.849362	0.0547246	0.0339399	0.00786436
n	0.00449848	0.740134	0.080539	0.124221	0.0506071
g	0.0965211	0.278574	0.391196	0.0909588	0.14275
ώ	0.182147	0.217037	0.243288	0.0862172	0.271312
e	0.0530673	0.0476105	0.531855	0.316457	0.0510107
w	0.00965705	0.0204058	0.182876	0.726294	0.0607664
ώ	0.00702813	0.0204793	0.070023	0.884072	0.0183974
m	0.000903481	0.0170936	0.0828384	0.832622	0.066543
b	0.014493	0.0102204	0.0964559	0.682002	0.196828
ω	0.0167039	0.0372421	0.0411133	0.621315	0.283626
</S>	0.0349657	0.0151592	0.180555	0.175315	0.594005
