 	les	clefs	sont	accrochées	sur	la	porte	de	la	maison	</S>
a	0.918757	0.0367854	0.0267399	0.00681908	0.00528218	0.00253738	0.000471401	0.00063344	0.00193986	2.22319e-05	1.15427e-05
f	0.109596	0.873203	0.0108284	0.0029642	0.000687075	0.000373622	0.000650037	0.000558995	0.000630545	0.00020051	0.000307857
u	0.0344405	0.835121	0.0745849	0.0227964	0.0102775	0.00531832	0.00526377	0.00332497	0.00201334	0.00074334	0.0061163
n	0.0118854	0.977275	0.00199786	0.00246126	0.00117599	0.000435604	0.00140835	0.00133612	0.00058597	0.00015487	0.00128358
g	0.181806	0.720358	0.0371387	0.0217202	0.0116739	0.0035421	0.0033801	0.00838194	0.00314243	0.00146261	0.00739432
ú	0.246698	0.686193	0.0126773	0.0154256	0.00627426	0.00364906	0.00566531	0.00545091	0.00257257	0.00436744	0.0110267
l	0.12145	0.0510793	0.696168	0.0515726	0.018002	0.00869931	0.00517495	0.0095102	0.00129706	0.000485119	0.0365612
a	0.346291	0.0315501	0.34903	0.136956	0.0284294	0.0135931	0.0088815	0.016834	0.00892502	0.00193078	0.0575793
á	0.305456	0.00740147	0.310736	0.250443	0.0726847	0.0128762	0.00468928	0.0042253	0.00488744	0.0038867	0.0227135
d	0.0294521	0.0173054	0.33119	0.304356	0.156007	0.0433301	0.0283949	0.0357257	0.00745303	0.00335064	0.0434355
í	0.00867188	0.0130883	0.181065	0.4637	0.208685	0.0340593	0.0137899	0.0296031	0.00382732	0.00358616	0.0399231
p	0.0185957	0.00241547	0.070315	0.485109	0.19473	0.0442323	0.0111205	0.0379823	0.00861548	0.00110599	0.125778
a	0.0013317	0.00309169	0.07284	0.548592	0.279058	0.051885	0.0261608	0.00888745	0.00125109	0.00132705	0.00557577
n	0.000942984	0.0033425	0.0921157	0.356808	0.374699	0.0927071	0.00798188	0.0209877	0.00290691	0.00258737	0.0449206
y	0.00859825	0.0160679	0.0326798	0.519752	0.324937	0.0531153	0.0120377	0.00957653	0.00376431	0.00477439	0.0146972
á	0.00233125	0.00974307	0.0265092	0.305889	0.45773	0.0896221	0.0159206	0.0202527	0.0044973	0.00459033	0.0629139
m	0.01134	0.00123131	0.0328253	0.223891	0.351112	0.288148	0.0302239	0.022524	0.0240283	0.00546456	0.00921125
é	0.00877688	0.000518561	0.00800102	0.0553238	0.290215	0.323568	0.0300966	0.0524593	0.0285487	0.0599225	0.142569
k	0.00829649	0.00117584	0.0122141	0.0483037	0.0817653	0.273412	0.270471	0.120948	0.067151	0.0696736	0.0465886
u	0.000318047	0.00203123	0.00361268	0.00764079	0.0131555	0.116923	0.552044	0.215511	0.0131613	0.00281775	0.0727848
u	0.00369232	0.00258899	0.00658108	0.017554	0.0280221	0.161343	0.214412	0.341384	0.0636866	0.0149012	0.145835
y	0.00113314	0.000583323	0.00539692	0.0200045	0.0184122	0.0915781	0.210961	0.397879	0.18438	0.00555683	0.0641148
á	0.00524436	0.00580626	0.0120234	0.0414802	0.071859	0.145025	0.240514	0.195621	0.202316	0.0122699	0.0678418
n	0.00522171	0.000970903	0.00598025	0.0232499	0.0151231	0.0351631	0.0847563	0.0838901	0.416707	0.299091	0.0298471
d	0.00100882	0.00202152	0.00139137	0.0173718	0.0107998	0.0133922	0.11974	0.039332	0.157905	0.62349	0.0135465
é	0.000277349	0.00755858	0.000971854	0.00711576	0.00441423	0.00454425	0.102203	0.0196905	0.0470854	0.79192	0.0142193
e	4.04631e-05	0.00110139	0.00095376	0.0134891	0.0097787	0.0409735	0.238117	0.11611	0.075401	0.196552	0.307483
</S>	0.00227787	0.000808893	0.0131807	0.0145157	0.0094583	0.0393771	0.106975	0.249847	0.162159	0.0396994	0.361701
