 	le	chef	traditionnel	se	promène	avec	son	sceptre	à	la	main	</S>
m	0.568903	0.375652	0.0493623	0.0022053	0.000519455	0.00180131	0.000518182	0.000102631	0.000341548	0.000562413	1.30977e-05	1.88925e-05
w	0.0479743	0.25362	0.614699	0.0384167	0.0117178	0.00506962	0.00591619	0.000825722	0.00456887	0.00635358	0.000531375	0.0103078
ε	0.0124001	0.204226	0.781645	0.000231637	0.000888705	9.95818e-05	0.000128105	9.03317e-05	3.26754e-05	3.00138e-05	0.000208414	1.90122e-05
n	0.127025	0.557121	0.254409	0.0129142	0.0227027	0.00383669	0.00544683	0.00602411	0.00142343	0.0011005	0.00128975	0.00670605
έ	0.214503	0.525434	0.243577	0.00419569	0.00195765	0.00103013	0.00219078	0.00223076	0.000970378	0.000258582	7.52549e-05	0.00357666
l	0.157926	0.0290072	0.0871511	0.472799	0.0464244	0.0460041	0.0152063	0.00598032	0.0249155	0.00387938	0.00131026	0.109396
á	0.250382	0.0210427	0.0416759	0.250761	0.0234069	0.0904626	0.0550261	0.00502175	0.0348544	0.0193391	0.00522936	0.202798
a	0.72956	0.0067543	0.0569255	0.150549	0.013448	0.0190015	0.011673	0.000644082	0.00333197	0.00324289	0.000835287	0.00403394
b	0.0423491	0.0168487	0.051544	0.281315	0.518036	0.0428962	0.0180912	0.0156251	0.00241804	0.00172407	0.00196022	0.00719223
h	0.00151687	0.00116094	0.00447583	0.0116082	0.973246	0.00458964	0.000824859	0.000655416	0.000203624	8.20209e-05	0.000827677	0.000808662
é	0.00130336	0.00077887	0.00222362	0.000956115	0.993359	0.000510788	0.000161186	0.000293008	6.32922e-05	2.70468e-05	0.000105355	0.000218695
m	0.0111707	0.0152641	0.0987851	0.0544954	0.690174	0.0185909	0.0107618	0.0809327	0.00466826	0.00148857	0.000747849	0.0129203
b	0.0170574	0.000826509	0.0156213	0.179675	0.342086	0.234337	0.108607	0.0358331	0.0347619	0.00609128	0.00144676	0.0236572
á	0.0131612	0.00532425	0.0813578	0.0732971	0.57791	0.113001	0.0685733	0.0294829	0.010035	0.00371889	0.00281744	0.0213215
á	0.00506185	0.00024985	0.00933808	0.0949583	0.0612933	0.439118	0.31764	0.0255786	0.0249171	0.0139705	0.0027765	0.00509811
l	0.0181368	0.00139201	0.00321382	0.0471547	0.0297067	0.33356	0.372009	0.086224	0.0497693	0.0356134	0.0134145	0.0098054
e	0.00481721	0.000727175	0.00109801	0.0218312	0.0151402	0.115999	0.533232	0.162915	0.0573525	0.0220292	0.01987	0.0449881
p	0.00184386	0.000175052	0.000599856	0.0128479	0.00575498	0.110735	0.52239	0.186825	0.0863772	0.0351699	0.0149936	0.0222883
f	0.00115529	0.000352058	0.00106826	0.00253682	0.00153655	0.0113447	0.142699	0.785336	0.0372125	0.00541563	0.00404135	0.00730178
u	0.000560902	0.000842448	0.000827639	0.000579508	0.00320748	0.00694449	0.0725865	0.870637	0.0318003	0.00250684	0.00226385	0.00724329
m	0.000685484	0.000262209	0.000573159	0.00113742	0.000797837	0.00653932	0.030738	0.894671	0.0452301	0.00407663	0.00147485	0.0138136
b	0.0052084	0.000735512	0.00158358	0.00190166	0.00110959	0.0350531	0.29933	0.324002	0.21386	0.0545953	0.0147395	0.047882
u	0.00429938	0.00046356	0.00540904	0.00124921	0.000906721	0.0129059	0.0892871	0.81387	0.0467366	0.00510707	0.00394568	0.0158196
s	0.000903902	0.000147916	0.000118979	0.00363389	0.000269458	0.0327926	0.0835311	0.0374361	0.376248	0.245894	0.100559	0.118465
á	0.0025104	0.000171432	0.000225245	0.00677658	0.000259891	0.0217988	0.164451	0.109871	0.214912	0.248835	0.124541	0.105647
b	0.0083945	0.00185001	0.00191452	0.00839709	0.000837694	0.0134656	0.042318	0.0545903	0.112805	0.328913	0.387504	0.0390098
ώ	0.00597441	0.00106854	0.0107432	0.0284838	0.00182753	0.0224736	0.0361409	0.00443373	0.0576401	0.209538	0.602401	0.0192748
ω	0.000363202	6.78921e-05	0.000412456	0.00161468	0.00133607	0.00657651	0.0130426	0.025978	0.0395856	0.0493532	0.697043	0.164627
</S>	0.0021574	6.68345e-05	0.000236222	0.0017633	0.000202116	0.00554702	0.0155161	0.00477941	0.11994	0.174495	0.195493	0.479803
