 	son	aîné	lui	a	flanqué	une	taloche	sur	la	tête	</S>
o	0.542438	0.254545	0.168617	0.0223081	0.00624541	0.00343292	0.000263462	0.00129744	0.000552137	0.000207848	9.27469e-05
n	0.0220733	0.950957	0.00651249	0.00577083	0.00682257	0.00137172	0.00536989	0.000491118	0.000390689	0.000101357	0.000139287
y	0.00437902	0.965083	0.00156379	0.00502382	0.0192893	0.00305668	0.000442271	0.000239721	0.000166229	2.6961e-05	0.000728855
ε	0.0023195	0.991134	0.000662101	0.000450205	0.00387051	0.000563139	0.000571035	0.000178248	0.000101662	4.49644e-05	0.000105122
b	0.00668098	0.938144	0.00140398	0.00171836	0.0347959	0.00370992	0.00439638	0.000980059	0.00121094	0.000204864	0.00675495
h	0.192142	0.578216	0.0141097	0.00766172	0.0328842	0.00654272	0.0271915	0.00874327	0.00699842	0.00134207	0.124168
í	0.0453918	0.319563	0.023828	0.00861638	0.0300363	0.00625053	0.0198433	0.0178226	0.0117603	0.00348057	0.513407
á	0.107407	0.0112946	0.341073	0.430763	0.0514331	0.0505506	0.00112046	0.0016998	0.000977346	0.000184111	0.00349691
y	0.0105292	0.00159093	0.0333727	0.291653	0.309856	0.263344	0.0555608	0.0113715	0.00465537	0.000615759	0.017451
a	0.00237841	0.00179583	0.00295162	0.039538	0.85476	0.0925182	0.00212932	0.000692118	0.000332028	1.63101e-05	0.00288823
n	0.0150833	0.00602024	0.00240721	0.0830245	0.581819	0.238256	0.0394194	0.00735084	0.00295604	0.000119483	0.0235437
d	0.0104082	0.00873992	0.0493759	0.113764	0.531869	0.260821	0.00998325	0.00671387	0.00273671	0.000358282	0.00522927
z	0.0195292	0.012618	0.0307762	0.0780037	0.563945	0.242157	0.0303311	0.00605446	0.00344356	0.000137649	0.0130031
i	0.0369	0.0319866	0.0265184	0.0545824	0.579813	0.166277	0.052738	0.0109272	0.00625083	0.000711735	0.0332954
w	0.0678055	0.00139716	0.391118	0.166008	0.0610798	0.274897	0.00327629	0.0138892	0.00435456	0.000967989	0.0152074
á	0.131333	0.0109008	0.25649	0.138746	0.0183485	0.247842	0.0114111	0.0971486	0.0273371	0.00475399	0.0556881
o	0.103747	0.00273285	0.0881564	0.0609577	0.0380661	0.278257	0.0774744	0.16884	0.0726413	0.0226158	0.0865119
k	0.00130684	0.00271832	0.000347735	0.00224077	0.015396	0.058587	0.870956	0.0318414	0.00620954	0.00812198	0.00227437
o	1.01683e-05	0.000531892	4.65436e-06	0.000108605	0.00161158	0.00650145	0.975285	0.0107961	0.00239417	0.00178066	0.000975968
n	2.68852e-05	0.00104186	7.56751e-06	0.000352489	0.00579572	0.0143467	0.957275	0.0134035	0.00390989	0.00174916	0.00209102
o	0.000579391	0.00117412	9.34027e-05	0.00103873	0.00583841	0.0088891	0.953464	0.00702996	0.00188673	0.000915577	0.0190909
o	0.00404733	0.00598951	0.013052	0.0133632	0.0181674	0.149696	0.107401	0.52511	0.079601	0.0462796	0.0372927
s	0.00130096	0.00031507	0.000816814	0.00173859	0.000856352	0.0151269	0.0890832	0.510478	0.246142	0.0464604	0.0876815
í	0.00136277	0.00667242	0.000516057	0.00411575	0.00967165	0.0443343	0.0691546	0.43169	0.23967	0.0342263	0.158587
b	0.00195552	0.00777125	0.00141955	0.0026251	0.00387426	0.0177554	0.0853037	0.304841	0.374571	0.115521	0.0843629
o	0.00892642	0.00718866	0.00473047	0.00142845	0.000258239	0.00380874	0.00375567	0.130988	0.195503	0.625225	0.0181872
ó	9.71822e-05	0.000445126	3.13659e-05	0.000142041	0.000156415	0.00104567	0.0164327	0.057612	0.0676685	0.791332	0.0650368
</S>	0.00743635	0.000529378	0.00293598	0.00305969	0.000991521	0.0146499	0.0102614	0.177931	0.31073	0.1386	0.332875
