 	ces	feuillles	sont	larges	</S>
k	0.393306	0.58772	0.0173819	0.00121119	0.000380935
á	0.0235785	0.96561	0.00482487	0.00475344	0.00123282
s	0.0663639	0.585543	0.0834303	0.0293419	0.235321
i	0.125046	0.708225	0.0451004	0.0140832	0.107545
y	0.329694	0.263534	0.334708	0.00449855	0.0675652
é	0.31112	0.23384	0.372689	0.00977711	0.0725737
é	0.23183	0.100506	0.511056	0.0612681	0.0953396
d	0.0552802	0.0207946	0.647761	0.161389	0.114775
í	0.0216534	0.00776025	0.234988	0.249004	0.486594
n	0.0396114	0.00174953	0.15769	0.216146	0.584803
d	0.032901	0.0220962	0.124491	0.709083	0.111429
a	0.00394563	0.00588253	0.0217032	0.910476	0.0579932
á	0.0214729	0.00945017	0.140469	0.310585	0.518023
n	0.0230768	0.00463856	0.21789	0.366326	0.388069
d	0.0156753	0.0071033	0.0819797	0.494284	0.400957
a	0.00178364	0.016369	0.0375368	0.783439	0.160871
á	0.00191205	0.00294562	0.0535138	0.117894	0.823735
</S>	0.0304125	0.00994026	0.135536	0.19081	0.633301
