 	les	gens	se	sont	rassemblés	autour	du	malade	</S>
b	0.308174	0.666359	0.0228644	0.00135172	5.04163e-05	9.30242e-05	0.00025352	0.000796827	5.65315e-05
a	0.0318342	0.959121	0.00597963	0.00171295	0.000133288	0.000138818	0.000526664	0.000325895	0.000227769
r	0.00708043	0.983691	0.00638699	0.00250263	0.00019215	5.04518e-05	4.36086e-06	8.23319e-06	8.37942e-05
e	0.413439	0.55197	0.0123068	0.00185794	0.00246088	0.00129931	0.000218062	0.000160726	0.0162879
á	0.0175145	0.0137671	0.559774	0.392119	0.00705921	0.00174496	0.000519791	1.88629e-05	0.0074824
m	0.00402559	0.00131286	0.111193	0.480135	0.222558	0.150805	0.019329	0.0014282	0.00921356
i	0.0115955	0.00694958	0.067211	0.564913	0.202009	0.105862	0.0267866	0.00106117	0.0136129
b	0.000405651	0.000163514	0.00347159	0.0998804	0.762393	0.122661	0.00527618	0.00174097	0.00400767
h	0.000938373	0.000174768	0.00152109	0.00540434	0.978327	0.00973585	0.000481353	0.000608936	0.00280814
í	2.87903e-05	1.29144e-05	3.01338e-05	0.000154109	0.995592	0.00365504	0.000132415	0.000222433	0.000171663
n	0.00108026	0.00697251	0.015581	0.0164449	0.771828	0.112432	0.0405789	0.0137498	0.0213324
g	0.0168123	0.00484901	0.0224999	0.0225441	0.518269	0.228677	0.0996344	0.0208183	0.0658954
á	0.0829889	0.0352867	0.0709237	0.0226658	0.376663	0.165433	0.0368322	0.0134569	0.19575
o	0.00397502	0.00183767	0.0112765	0.00885169	0.00222023	0.117451	0.789745	0.0505127	0.0141297
k	0.00577713	0.000652411	0.000595524	0.00223453	0.0591353	0.0427452	0.0544415	0.817769	0.0166499
ω	0.000165521	5.28828e-05	2.38101e-05	2.60711e-05	0.00550767	0.00247716	0.0154359	0.967877	0.00843366
n	1.87835e-05	0.000252837	0.000154587	0.000123914	0.00421562	0.00468936	0.00821534	0.977039	0.00529057
í	0.00443084	0.00431179	0.00341412	0.000758297	0.00770458	0.0735877	0.148851	0.561079	0.195863
</S>	0.00700144	0.00125527	0.00692069	0.00266381	0.00281585	0.0171232	0.0885339	0.161053	0.712632
