 	il	est	agréable	de	se	reposer	à	l'	ombre	</S>
i	0.307896	0.0804014	0.0585987	0.0799454	0.1627	0.0350036	0.181536	0.0750137	0.0118439	0.00706068
y	0.0408381	0.135475	0.0294027	0.0406778	0.0643179	0.185682	0.239857	0.0651469	0.173661	0.0249413
w	0.00692757	0.0180766	0.00351555	0.0120344	0.0208007	0.681405	0.027096	0.0304915	0.152567	0.0470855
ω	0.00581409	0.029387	0.0166219	0.0120489	0.0115437	0.209136	0.049171	0.0471093	0.380956	0.238212
ω	0.0978207	0.0894283	0.0892942	0.108612	0.120018	0.268152	0.0295678	0.076495	0.0816116	0.0389999
s	0.0205893	0.0621995	0.172135	0.24237	0.144004	0.166776	0.0876941	0.0650388	0.00833148	0.0308622
á	0.0150163	0.0315855	0.00908026	0.0255682	0.0310273	0.159529	0.091259	0.0827931	0.088433	0.465708
ε	0.122594	0.0247084	0.0206317	0.0877119	0.120847	0.110379	0.0458699	0.185528	0.181999	0.0997318
y	0.00429312	0.0248968	0.0330221	0.0463007	0.0471435	0.139983	0.145818	0.0901807	0.376221	0.0921405
w	0.000675813	0.00236722	0.00201779	0.0063199	0.00997038	0.140531	0.0150182	0.0454635	0.723531	0.0541055
ω	0.00147021	0.00258098	0.00455014	0.0118659	0.0121374	0.0762352	0.0215917	0.0987632	0.745322	0.0254829
ω	0.00195556	0.00909282	0.0234022	0.04249	0.0574374	0.10683	0.186447	0.204693	0.199851	0.167801
m	0.00106557	0.00707837	0.0482654	0.0538063	0.0557672	0.0474562	0.207805	0.241579	0.105063	0.232115
í	0.00733925	0.00921376	0.0124119	0.0496279	0.0328118	0.0366605	0.156349	0.232028	0.0366018	0.426955
é	0.00196672	0.00523646	0.0136751	0.0359959	0.0484009	0.0257628	0.144277	0.275149	0.0832788	0.366257
d	0.00206796	0.0135338	0.0232038	0.0251739	0.0242028	0.0123577	0.147808	0.31212	0.0556661	0.383867
í	0.000634691	0.00437163	0.00554362	0.0155033	0.00814761	0.0104648	0.107117	0.132674	0.0266026	0.688941
o	0.00116354	0.00373916	0.0211368	0.0408385	0.0314129	0.0236867	0.160015	0.188989	0.0120338	0.516985
b	0.00110333	0.00956664	0.0235274	0.0235719	0.0189331	0.0167076	0.0665655	0.262679	0.134172	0.443173
v	0.00912703	0.0464615	0.0813609	0.0623785	0.0358659	0.00682308	0.263815	0.206187	0.109308	0.178672
έ	0.00359849	0.0267124	0.139016	0.0690739	0.0275444	0.00446546	0.250448	0.261084	0.139692	0.0783653
</S>	7.46915e-05	0.000748764	0.00206472	0.00224136	0.00115235	0.00196429	0.0307823	0.0164115	0.00939502	0.935165
