 	il	s'	est	levé	et	j'	en	ai	fait	autant	</S>
w	0.790978	0.112089	0.0493696	0.0159546	0.0172236	0.00524858	0.0028568	0.00234633	0.00276145	0.000926091	0.000246686
a	0.689355	0.183234	0.0390467	0.0361014	0.0305772	0.00352118	0.00597124	0.00587473	0.00403093	0.00190548	0.000381755
a	0.0748441	0.423736	0.334512	0.0466272	0.0656646	0.0114036	0.0197078	0.00881204	0.0106404	0.00114806	0.00290418
n	0.0299327	0.20704	0.257744	0.112824	0.0748579	0.0894747	0.102077	0.0445968	0.0453028	0.00586804	0.0302822
y	0.00242536	0.0403491	0.0285343	0.0565781	0.0217329	0.734722	0.0181444	0.027374	0.00696672	0.00602291	0.0571499
á	0.0161365	0.0405669	0.0338367	0.0385956	0.0328492	0.752143	0.0266464	0.0255526	0.00615651	0.00586635	0.0216499
l	0.00883774	0.0648398	0.13801	0.160316	0.0666161	0.264521	0.0386686	0.0236759	0.0143244	0.0129453	0.207245
í	0.064429	0.0303297	0.103063	0.139955	0.391881	0.125676	0.0803396	0.0237818	0.0144534	0.00248097	0.0236109
í	0.0196006	0.0452083	0.101556	0.165272	0.262318	0.0895315	0.180452	0.0796905	0.0422702	0.00474128	0.00935959
n	0.00101613	0.0125553	0.0258367	0.0210567	0.10874	0.0591556	0.442987	0.204757	0.10507	0.0128166	0.00600849
g	0.000449085	0.00640157	0.00293578	0.0197979	0.0122792	0.826639	0.0367733	0.0669175	0.00806753	0.00636234	0.0133771
á	0.00504727	0.0415567	0.0200637	0.0760809	0.0293763	0.501273	0.0749136	0.180696	0.0185682	0.029028	0.0233959
b	0.00601059	0.00901383	0.0300252	0.0103451	0.132922	0.0204686	0.216181	0.233135	0.244076	0.0514867	0.0463355
h	0.0226648	0.0126972	0.0289672	0.121451	0.225504	0.0154574	0.267895	0.143511	0.0811127	0.0427958	0.0379433
í	0.000834208	0.00157909	0.00708126	0.079452	0.0630339	0.0172636	0.14817	0.285661	0.130545	0.137326	0.129054
i	0.00109724	0.00176695	0.00547718	0.0178481	0.0560393	0.0126008	0.0840543	0.207688	0.349893	0.200271	0.063265
n	0.000699001	0.0019088	0.00356846	0.00218143	0.0137157	0.00309421	0.0342298	0.111797	0.322416	0.315442	0.190947
y	0.00093157	0.00683625	0.00182498	0.00566377	0.00514753	0.0920443	0.0155729	0.189002	0.14147	0.41032	0.131188
á	0.00020003	0.00192568	0.000687739	0.00300721	0.00218964	0.128787	0.00729262	0.0935702	0.067983	0.578917	0.11544
l	2.42716e-05	0.000282029	0.00060505	0.00132382	0.00290771	0.00305532	0.01713	0.0965835	0.136891	0.413654	0.327543
í	0.000398976	0.00146733	0.00173128	0.000542218	0.00489987	0.00238568	0.0195226	0.0843551	0.149337	0.459701	0.275659
í	0.000572748	0.00409601	0.00870023	0.00393894	0.0118807	0.0069313	0.032074	0.10161	0.24179	0.174154	0.414252
</S>	0.000593111	0.00581254	0.0109367	0.00259267	0.0137661	0.00303671	0.0433019	0.0708795	0.246761	0.369642	0.232678
