 	cette	nourriture	est	agréable	</S>
b	0.225344	0.743782	0.0201255	0.00846013	0.00228853
e	0.0815637	0.879827	0.0223141	0.01508	0.00121528
a	0.0354745	0.893653	0.0121407	0.00245412	0.0562776
b	0.17312	0.302118	0.252098	0.030127	0.242538
í	0.0717164	0.207803	0.384912	0.0517718	0.283797
í	0.0976317	0.371118	0.291159	0.0243755	0.215716
d	0.0206902	0.0228592	0.713243	0.0884304	0.154777
i	0.0075467	0.00250875	0.22091	0.00508124	0.763954
i	0.0498978	0.0188443	0.422688	0.204088	0.304482
b	0.0107278	0.0119661	0.205975	0.329202	0.44213
v	0.00579496	0.0436582	0.0638042	0.770312	0.116431
έ	0.00726276	0.019585	0.0747807	0.819314	0.0790576
</S>	0.00471372	0.00304944	0.0971936	0.0990146	0.796029
