 	il	se	vante	des	biens	de	son	père	</S>
w	0.680269	0.199288	0.0219025	0.0385869	0.0233034	0.0147608	0.0201182	0.00118875	0.000582409
a	0.655574	0.155652	0.00614888	0.0531471	0.0404852	0.0131965	0.0749085	0.000749262	0.000138261
l	0.323846	0.371938	0.149312	0.0301082	0.0107374	0.0260509	0.0519879	0.00880122	0.0272186
á	0.0902251	0.123794	0.065045	0.0598986	0.0387478	0.0284906	0.0536565	0.0252377	0.514905
a	0.317209	0.167464	0.073225	0.089339	0.0344088	0.0278533	0.109256	0.0059238	0.17532
d	0.0297943	0.358278	0.513021	0.0287698	0.0141019	0.0192291	0.00422596	0.00569442	0.0268856
z	0.0155888	0.383779	0.389261	0.0435631	0.0433117	0.0706077	0.00517001	0.000443012	0.0482754
ω	0.0596461	0.178343	0.475453	0.0954348	0.0513679	0.0955587	0.00814707	0.000845651	0.0352038
ώ	0.00845427	0.118992	0.439933	0.230318	0.0799643	0.0780772	0.0127436	7.51804e-05	0.0314421
m	0.0115006	0.0524268	0.195567	0.417192	0.17908	0.0886679	0.0441292	0.00104176	0.0103944
ó	0.0175424	0.0181611	0.0278293	0.302367	0.383621	0.107203	0.112412	0.000921063	0.0299421
b	0.0206496	0.0274084	0.02948	0.262026	0.461868	0.138299	0.0331088	0.0192876	0.00787177
e	0.00255295	0.00357102	0.0031457	0.0991481	0.748298	0.130767	0.00515074	0.00201492	0.00535231
a	0.00210592	0.00733218	0.00760673	0.0828185	0.741434	0.136653	0.00967019	0.00333009	0.00905008
b	0.00487516	0.0120383	0.0160107	0.201941	0.24988	0.295602	0.198449	0.00290535	0.0182979
á	0.100034	0.0310522	0.0341332	0.102166	0.287673	0.179311	0.0775575	0.117039	0.0710336
t	0.0102715	0.00468104	0.00457362	0.032489	0.0707579	0.0866939	0.1158	0.628508	0.0462251
á	0.000611786	0.000592381	0.00356075	0.00444067	0.00635263	0.0242456	0.0245488	0.929924	0.00572338
á	5.56759e-05	7.54585e-05	0.00038495	0.000568473	0.00174902	0.00664107	0.00781697	0.974447	0.0082617
y	0.00595986	0.00715696	0.00510413	0.0187558	0.0271962	0.0620777	0.175218	0.152254	0.546277
a	0.00753776	0.0196923	0.0112889	0.0193383	0.0166968	0.0633168	0.307495	0.37008	0.184553
w	0.00262017	0.00496908	0.00454424	0.0259837	0.0200721	0.0390278	0.639435	0.0442593	0.219088
a	0.0056333	0.00520283	0.0132336	0.0287036	0.0499908	0.114706	0.564213	0.0794056	0.138912
</S>	0.00428184	0.00278211	0.00698173	0.0316177	0.0184298	0.0555689	0.327533	0.123691	0.429114
