 	j'	ai	vu	un	troupeau	de	boeufs	sauvages	</S>
n	0.846331	0.0928027	0.0124635	0.00569902	0.0292004	0.0103407	0.00204916	0.00106238	5.11946e-05
g	0.916212	0.0537843	0.00265605	0.00231257	0.0187442	0.000978796	0.00511178	0.000169043	3.10108e-05
á	0.648732	0.280464	0.0257966	0.00708028	0.0136327	0.00171904	0.0218193	0.000690865	6.52765e-05
í	0.0648454	0.243547	0.174106	0.078415	0.0531693	0.065914	0.0419717	0.0303812	0.247651
t	0.00857804	0.104551	0.797935	0.0586949	0.00621104	0.0088169	0.00280897	0.00250123	0.00990294
έ	0.000121481	0.0065814	0.761851	0.178426	0.0132932	0.0150603	0.0050215	0.00590582	0.0137393
ε	0.00648022	0.0443017	0.369986	0.466302	0.0550393	0.0178738	0.00621389	0.00512844	0.0286743
e	0.0115483	0.171203	0.1829	0.460591	0.108009	0.0274569	0.00695855	0.00639209	0.0249414
k	0.000151643	0.00745299	0.0292625	0.641672	0.199015	0.0480106	0.0182934	0.00940118	0.0467404
u	1.75468e-05	0.000822467	0.0208194	0.727784	0.146689	0.053369	0.0214367	0.0116152	0.0174466
n	0.000291493	0.00366437	0.0379814	0.570242	0.279005	0.0371959	0.0162103	0.00777166	0.0476376
g	0.00441676	0.011829	0.0476329	0.482095	0.383808	0.0173405	0.036512	0.00590319	0.0104622
a	0.00492574	0.00348542	0.00674253	0.144963	0.606095	0.073279	0.11808	0.0265679	0.0158608
y	0.000446272	0.00614317	0.0178854	0.15916	0.460515	0.2902	0.018465	0.0143774	0.0328078
á	0.00127628	0.00436261	0.0103748	0.0908637	0.551861	0.173875	0.0534478	0.0546109	0.0593282
a	0.00117681	0.00725946	0.00468525	0.0382847	0.572511	0.296663	0.0482456	0.0261936	0.00498007
n	0.000128774	0.00143263	0.00452151	0.0657529	0.364014	0.441948	0.0753755	0.0343903	0.0124358
g	0.00258274	0.0197916	0.0048734	0.041009	0.377351	0.196588	0.282927	0.0263288	0.0485491
w	0.000162745	0.00206934	0.00495004	0.0307123	0.434387	0.0814085	0.422609	0.0137447	0.00995665
έ	0.000642314	0.00082678	0.000812905	0.0128524	0.275787	0.0746287	0.486378	0.0459223	0.102149
m	5.48525e-05	0.000625426	0.00686384	0.0685267	0.235999	0.186615	0.177096	0.108172	0.216047
b	0.000339046	5.84872e-05	0.00032967	0.00487408	0.0850379	0.277261	0.273701	0.209509	0.14889
ε	4.90866e-05	4.72121e-05	0.000184665	0.00511531	0.031539	0.196186	0.657392	0.0698591	0.0396278
b	7.88823e-05	0.000489668	0.00080425	0.0111411	0.0584732	0.329193	0.212366	0.243773	0.143681
á	0.00027377	0.000686071	0.000621743	0.0100996	0.0166707	0.374667	0.226882	0.217928	0.15217
k	0.00508234	0.0103653	0.00155032	0.0055508	0.0313667	0.295505	0.202042	0.266837	0.181701
y	0.000187153	0.000179938	0.000721695	0.00581147	0.0230554	0.121507	0.173941	0.569745	0.104851
έ	1.11142e-05	5.73493e-06	0.000140386	0.00245188	0.0167459	0.0897529	0.285492	0.590042	0.0153582
r	7.14049e-06	1.21998e-05	0.00028956	0.00411016	0.0222418	0.184957	0.159378	0.531151	0.0978524
ε	4.4753e-05	3.60845e-05	0.000332972	0.00623564	0.0386203	0.0920272	0.655552	0.171706	0.0354451
</S>	0.000100596	0.000301315	0.000280542	0.00323524	0.0146693	0.0793505	0.0663953	0.205327	0.630341
