 	la	pluie	commence	à	tomber	</S>
a	0.565165	0.409268	0.0195046	0.00269916	0.00273039	0.000632335
t	0.221882	0.722054	0.0204382	0.0102087	0.0198454	0.00557154
a	0.334526	0.538538	0.045508	0.0232458	0.0289968	0.0291858
n	0.525366	0.27749	0.0831356	0.038847	0.0257397	0.0494215
g	0.555435	0.38569	0.00917536	0.00282172	0.00418994	0.0426882
í	0.608754	0.327976	0.0277983	0.0090621	0.00616042	0.0202487
m	0.386207	0.109506	0.430159	0.0413114	0.00335267	0.0294639
á	0.579162	0.173592	0.167068	0.0341953	0.00410344	0.0418791
m	0.63983	0.0819469	0.17617	0.0575853	0.0103665	0.0341011
b	0.242001	0.523745	0.131501	0.0631169	0.00935049	0.0302862
v	0.0663784	0.765849	0.0944631	0.0363448	0.0133749	0.0235902
ú	0.0553923	0.556908	0.0759067	0.0274987	0.0521854	0.232109
á	0.423143	0.118153	0.193372	0.192383	0.0327379	0.0402117
á	0.0406926	0.00716201	0.410021	0.447379	0.041282	0.0534627
b	0.00566131	0.0028144	0.15101	0.637029	0.102906	0.100579
h	0.00247348	0.00343825	0.345156	0.328632	0.230234	0.0900659
i	0.0222394	0.0034559	0.255946	0.370553	0.161936	0.185869
m	0.00704498	0.00478783	0.0781663	0.215781	0.336656	0.357564
á	0.0505418	0.104584	0.0332197	0.123122	0.452239	0.236293
a	0.0327565	0.0106857	0.0182261	0.15918	0.515111	0.264041
b	0.00683067	0.00395289	0.0189656	0.0640346	0.614182	0.292034
v	0.00291586	0.00594885	0.0334517	0.0610262	0.875238	0.0214193
a	0.00299884	0.00230372	0.0136528	0.0563672	0.896208	0.0284695
m	0.00367483	0.00303482	0.00427341	0.033524	0.270381	0.685112
i	0.055361	0.0512039	0.0139569	0.114385	0.501361	0.263732
n	0.0463303	0.00836112	0.0188875	0.124133	0.252827	0.549461
a	0.0478929	0.0625787	0.0492113	0.0803373	0.381791	0.378189
</S>	0.0182527	0.00536693	0.0175998	0.0559344	0.19591	0.706936
