 	le	féticheur	a	neutralisé	l'	amulette	de	cette	femme	</S>
n	0.382951	0.517747	0.0389743	0.0271679	0.0230018	0.00460082	0.00210503	0.00335698	7.33995e-06	8.76862e-05
g	0.0142154	0.983795	0.000639923	0.00103732	0.000183846	1.08452e-05	2.6494e-05	8.48826e-05	5.53435e-06	4.90388e-07
a	0.00798877	0.98656	0.00110286	0.00274795	0.000301081	5.12022e-05	0.00013825	0.000246731	0.000860193	3.0837e-06
n	0.0669275	0.77027	0.0154727	0.121883	0.00406575	0.00158665	0.00111871	0.00323976	0.0133461	0.00209027
g	0.15339	0.584677	0.0534984	0.087502	0.0333622	0.0103453	0.0188307	0.00348048	0.00472638	0.0501874
a	0.147616	0.648923	0.0238247	0.153029	0.00615194	0.00106634	0.00360718	0.0019956	0.00417534	0.00961099
á	0.0977762	0.0141537	0.7478	0.0466006	0.0444325	0.0103039	0.0077618	0.00252542	0.00347923	0.0251668
b	0.0261647	0.0131899	0.403409	0.396972	0.0436046	0.0593772	0.0148686	0.0032574	0.0113235	0.0278329
ω	0.0178535	0.00153392	0.395389	0.311862	0.119442	0.108305	0.0222284	0.00269772	0.00276283	0.0179252
n	0.0280982	0.0146761	0.295778	0.32455	0.170232	0.0931853	0.0340322	0.00372989	0.00603338	0.0296851
d	0.099634	0.0108881	0.319541	0.304511	0.192899	0.0352128	0.0137989	0.00332101	0.00155992	0.0186334
z	0.0669101	0.0102791	0.187579	0.55344	0.0914282	0.0245759	0.0193991	0.00992856	0.0070762	0.029384
i	0.0469867	0.00118367	0.178297	0.422541	0.117865	0.11475	0.0485306	0.0105119	0.00178914	0.057545
e	0.0374281	0.000769855	0.302071	0.147849	0.421641	0.0400447	0.0183274	0.00913233	0.00106941	0.0216667
k	0.00533172	0.000284954	0.128599	0.128227	0.515522	0.149866	0.0387023	0.00231394	0.0017122	0.0294405
ó	0.00138256	2.55929e-05	0.0289832	0.0873089	0.231082	0.606858	0.0357521	0.00050859	0.000455653	0.00764288
r	0.000915882	0.000136861	0.0481369	0.177238	0.194707	0.540721	0.0160198	0.0008502	0.000641041	0.0206338
ó	0.00408408	0.000477721	0.0236726	0.663394	0.0657133	0.171802	0.00991078	0.00039628	0.000309514	0.06024
y	0.0117078	0.000543747	0.0978552	0.0803749	0.58723	0.177387	0.033785	0.00244909	0.00113146	0.00753609
é	0.04351	0.00320739	0.0421824	0.0866786	0.382584	0.244147	0.0966395	0.0447285	0.0246616	0.0316612
é	0.0115985	0.000617419	0.0251588	0.0293217	0.238219	0.176054	0.273985	0.147715	0.0485778	0.0487524
d	0.000114885	6.15072e-05	0.013022	0.00997714	0.0574701	0.709478	0.157395	0.0046791	0.026536	0.0212666
z	8.93175e-05	1.16843e-05	0.011241	0.00348631	0.0667574	0.437025	0.261769	0.00427263	0.0571514	0.158196
é	0.000974488	0.000564999	0.0123992	0.0232857	0.0933931	0.074942	0.327877	0.01098	0.31116	0.144423
l	0.00961284	0.000103952	0.0153239	0.0104058	0.129829	0.187114	0.217001	0.030886	0.045838	0.353887
o	0.00128779	8.67619e-05	0.0090819	0.0128917	0.0873155	0.199978	0.342851	0.0182198	0.00854615	0.319741
y	0.000249712	7.54744e-05	0.00210005	0.00217886	0.0202243	0.185849	0.422386	0.0435565	0.0745333	0.248847
ú	0.000267128	0.000204735	0.00573124	0.038522	0.0360003	0.070145	0.327736	0.197413	0.150428	0.173553
r	0.0045583	0.000154141	0.00132572	0.00655914	0.0194501	0.0455397	0.222535	0.0452717	0.0501286	0.604478
u	0.00700787	0.000152854	0.00144284	0.0259413	0.0376358	0.154918	0.174708	0.0486217	0.0164717	0.5331
w	0.00205711	2.03328e-05	0.00274713	0.00143582	0.0299795	0.0144746	0.23742	0.12295	0.0202056	0.56871
ó	0.0113925	0.000192669	0.0104477	0.017875	0.0413319	0.0901284	0.256204	0.321159	0.0204042	0.230864
</S>	0.000184239	9.99472e-06	0.000759348	0.000301722	0.00717153	0.00936499	0.128329	0.0261482	0.0313032	0.796428
