 	je	n'	ai	plus	envie	d'	aller	au	travail	car	je	ne	suis	pas	bien	rémunéré	</S>
o	0.210523	0.0426361	0.0376049	0.122719	0.0791299	0.380381	0.0612964	0.0433435	0.00422065	0.00463201	0.00239504	0.00240747	0.00189395	0.00177363	0.00336539	0.00120799	0.000470196
l	0.0151111	0.144883	0.0489314	0.110716	0.322635	0.0498838	0.139509	0.0288873	0.0597152	0.0256021	0.00814186	0.00503424	0.00708062	0.00547611	0.013972	0.011431	0.00298978
ó	0.00131353	0.0447837	0.0193078	0.0306423	0.443644	0.0254572	0.103044	0.0665482	0.130849	0.0299262	0.0265505	0.0108595	0.0132552	0.00431315	0.00142329	0.00198594	0.0460966
n	0.000235636	0.0663346	0.0193853	0.0325754	0.335609	0.061385	0.107293	0.105797	0.147708	0.0286301	0.0124744	0.00635642	0.0119541	0.00403551	0.00508287	0.012624	0.0425189
g	0.00450118	0.0407636	0.0495595	0.0897767	0.208572	0.170357	0.125274	0.0895292	0.032009	0.041805	0.0185879	0.0185318	0.0236149	0.0253457	0.0224249	0.0081161	0.0312306
ó	0.024844	0.0198665	0.0641188	0.108175	0.217687	0.181755	0.0386474	0.0603813	0.0121653	0.0428717	0.0450159	0.020178	0.0270361	0.0173034	0.0256608	0.0126311	0.0816621
m	0.0407716	0.0734679	0.0652361	0.107383	0.162593	0.176644	0.122976	0.0936805	0.0328891	0.0291291	0.0104435	0.0146697	0.0102452	0.0118334	0.00882475	0.00424749	0.0349658
í	0.0921737	0.0651124	0.0731696	0.0776412	0.0198474	0.119321	0.142523	0.148481	0.0399542	0.0574214	0.0400273	0.0266566	0.0141175	0.0236265	0.00706022	0.00148515	0.0513815
d	0.129757	0.0344904	0.14136	0.14271	0.0378632	0.185809	0.0973567	0.0484354	0.0341102	0.0260498	0.0214711	0.0163813	0.0156335	0.0188414	0.0133353	0.00713617	0.0292596
z	0.0269406	0.0278486	0.111317	0.154738	0.140951	0.136735	0.152945	0.0407071	0.0609132	0.0116868	0.0628333	0.00992993	0.00693269	0.00448085	0.00191742	0.00189591	0.0472278
w	0.0609248	0.0204434	0.0685882	0.0828462	0.0981251	0.154316	0.390465	0.0288055	0.0397248	0.00765517	0.0275762	0.00547165	0.00309763	0.00263494	0.00114968	0.000395768	0.00778045
a	0.00399084	0.0547749	0.108696	0.0758791	0.089541	0.0564201	0.125662	0.0810464	0.0687509	0.0400543	0.0715737	0.0424978	0.039753	0.0195329	0.00884336	0.00309596	0.109887
l	0.000422416	0.0301691	0.0493292	0.079821	0.0955893	0.203612	0.228801	0.112137	0.0309487	0.0174919	0.0101035	0.0155165	0.011606	0.0157861	0.00919911	0.0030567	0.0864111
i	0.0149488	0.0283927	0.11225	0.049749	0.0222376	0.0590157	0.0900309	0.0872729	0.112291	0.0395498	0.041694	0.0371745	0.0227432	0.0268402	0.0120111	0.00413841	0.239661
s	0.0065481	0.01525	0.0911365	0.0808115	0.0560898	0.147107	0.22743	0.14713	0.0574925	0.033425	0.0241894	0.0209317	0.0164576	0.013763	0.00923353	0.00283105	0.0501722
á	0.0514165	0.0182415	0.294386	0.120193	0.0350966	0.0390473	0.0509736	0.104062	0.0823011	0.0227899	0.0749969	0.00959037	0.00933735	0.00579694	0.00545258	0.00308967	0.0732287
l	0.00467779	0.00938951	0.15076	0.102544	0.0184337	0.0834201	0.0582211	0.171862	0.103057	0.0513239	0.095741	0.0352102	0.0216512	0.014272	0.00878024	0.00179732	0.0688594
a	0.00864408	0.00773568	0.0685194	0.0746876	0.0323456	0.0991804	0.08372	0.149206	0.0949432	0.0677221	0.060503	0.032975	0.029339	0.0195159	0.0108708	0.00369106	0.156402
k	0.000659543	0.00285571	0.0208557	0.0350909	0.0223468	0.119789	0.148021	0.257706	0.124986	0.0955412	0.0326626	0.0317824	0.0267893	0.0193165	0.0134963	0.00486445	0.0432375
a	0.000366883	0.00214089	0.0243954	0.0481797	0.0327589	0.116476	0.0551259	0.15861	0.251755	0.265799	0.00274393	0.011132	0.00717212	0.00650836	0.00230179	0.00572276	0.00881086
á	0.000519431	0.00111744	0.0126258	0.0227418	0.0222312	0.111522	0.0562216	0.162031	0.183308	0.217268	0.00759748	0.0134479	0.00898037	0.0122165	0.00618849	0.00919819	0.152785
t	0.00142941	0.0051501	0.01391	0.0110597	0.00212854	0.0248701	0.0221936	0.236275	0.394623	0.134338	0.0679579	0.0213035	0.0113798	0.0114806	0.0106703	0.00286248	0.0283678
s	0.0026031	0.00162833	0.0122067	0.0134659	0.00756016	0.0464621	0.0176051	0.062154	0.135633	0.430881	0.0416914	0.0952857	0.0401753	0.0338506	0.0159029	0.0096635	0.0332316
í	0.000142352	0.000814465	0.0082529	0.0138326	0.0100876	0.0394334	0.015423	0.0941424	0.118998	0.496276	0.0228735	0.0515797	0.0277492	0.0247207	0.0152676	0.00582356	0.0545836
n	0.00347274	0.00194233	0.0327424	0.0258621	0.00644637	0.02288	0.00999884	0.131269	0.369222	0.271936	0.0334691	0.0158908	0.0104218	0.00694868	0.00531271	0.00365425	0.0485301
a	0.0144942	0.00163877	0.0297138	0.0187493	0.00419305	0.0452609	0.021525	0.143576	0.0986019	0.314148	0.131632	0.0188722	0.013167	0.0125652	0.00701549	0.00145268	0.123395
á	0.000311976	0.00192032	0.00503394	0.00458517	0.00173132	0.016259	0.0148572	0.094756	0.336501	0.221174	0.132842	0.0750687	0.0336642	0.023046	0.0156054	0.00418253	0.0184616
d	0.00204388	0.0165838	0.0236501	0.0139529	0.00497367	0.00702276	0.00617228	0.0600697	0.390768	0.106	0.157534	0.0730844	0.0526114	0.0251282	0.0242846	0.0161639	0.0199566
i	0.000293311	0.00926038	0.010713	0.00476594	0.000769728	0.00164378	0.00623678	0.038223	0.429136	0.0991186	0.0770613	0.0745937	0.0614084	0.0248479	0.0165797	0.00809827	0.137251
n	7.49959e-05	0.00402432	0.0112524	0.0100137	0.00146895	0.00509126	0.00685458	0.0455459	0.151309	0.131977	0.0812702	0.140166	0.153641	0.0860078	0.0818619	0.0431706	0.04627
g	0.000464776	0.000946881	0.00605229	0.00315095	0.000788157	0.00189861	0.00395734	0.0279871	0.0678228	0.0854644	0.684047	0.0433997	0.033537	0.0123913	0.00530079	0.0014304	0.0213602
á	0.000124067	0.000133527	0.0016017	0.000769364	0.000764014	0.00221386	0.00437225	0.0275436	0.0438132	0.0656855	0.764828	0.0393965	0.0299217	0.0075451	0.00217017	0.00120503	0.0079128
o	2.90879e-05	9.81536e-05	0.000250463	0.000893841	0.00203816	0.00610293	0.00439727	0.019832	0.036891	0.113877	0.191714	0.276627	0.164151	0.0939426	0.0348593	0.0257618	0.0285348
f	4.75242e-05	0.00142378	0.0019277	0.00267385	0.00415785	0.00207596	0.00377579	0.0110085	0.0757739	0.0355019	0.0812881	0.11633	0.2042	0.100522	0.0510158	0.279164	0.0291123
u	7.46576e-06	0.000644952	0.00161101	0.00257492	0.00613079	0.00606441	0.00955713	0.0226805	0.125601	0.116035	0.0072432	0.0777455	0.141104	0.0731398	0.0380064	0.31834	0.053514
r	8.6121e-05	0.000470291	0.00112386	0.00427393	0.0173501	0.0117269	0.0178292	0.0305665	0.0280992	0.0597697	0.00662682	0.0973928	0.184191	0.107693	0.0454888	0.189311	0.198001
