 	le	guérisseur	est	en	train	de	masser	le	malade	</S>
n	0.142546	0.713799	0.0773332	0.0306177	0.00667515	0.0181955	0.00706063	0.0025315	0.00075059	0.000489995
g	0.0932445	0.903264	0.00262374	0.000350661	6.13589e-06	0.000159617	9.28187e-05	0.00020252	5.16591e-05	4.56338e-06
a	0.00868683	0.989673	0.00124053	0.000128599	0.000129383	2.40054e-05	9.38369e-05	1.27983e-05	1.04459e-05	4.44416e-07
n	0.342318	0.411677	0.135623	0.0652218	0.00793051	0.00236809	0.0130967	0.00260333	0.00153178	0.0176298
g	0.50682	0.334419	0.10237	0.0143164	0.00185797	0.00180515	0.00117607	0.0019925	0.000353569	0.0348895
a	0.108898	0.655448	0.159473	0.0464288	0.0144903	0.00122458	0.0109111	0.000482805	0.000510756	0.00213319
b	0.0394731	0.0143442	0.456123	0.282424	0.0564114	0.107049	0.0213991	0.0102129	0.000260405	0.0123025
ó	0.121823	0.0289231	0.202417	0.271186	0.146616	0.116913	0.0054301	0.0400931	0.00725251	0.0593469
l	0.0506656	0.0172953	0.148551	0.293071	0.176617	0.223461	0.0354994	0.0412632	0.000990359	0.0125865
á	0.349907	0.0811895	0.238322	0.0172352	0.0100241	0.0889652	0.0867316	0.0451904	0.00356953	0.0788658
a	0.235975	0.030059	0.253441	0.0533748	0.0553928	0.210018	0.0322149	0.0601167	0.0238024	0.0456059
k	0.00822017	0.00120601	0.0165029	0.00464223	0.000833221	0.123456	0.792728	0.0353276	0.00653552	0.0105478
ώ	0.00201827	6.86591e-05	0.0109271	0.00159287	0.000538912	0.102693	0.724924	0.028083	0.0711816	0.0579723
ώ	0.0012161	0.000362726	0.029011	0.0149484	0.00706319	0.0543263	0.686593	0.0485213	0.116747	0.041211
o	0.00264265	0.000155502	0.00250093	0.00317732	0.000228665	0.0512079	0.0191453	0.822077	0.0451144	0.0537499
k	0.00424371	0.000633066	0.0037212	0.00255819	0.000458287	0.00850934	0.0148885	0.261094	0.642907	0.0609871
ω	0.000295959	3.89785e-05	0.001535	0.0005183	0.000486674	0.00241834	0.00350323	0.00620229	0.962872	0.0221298
n	2.14192e-05	5.58012e-06	0.00160199	0.00134582	0.00224818	0.00470926	0.00272759	0.00267883	0.970975	0.0136866
í	0.0042049	0.000715713	0.00627513	0.00324753	0.00172333	0.0243448	0.048136	0.0477853	0.71332	0.150248
</S>	0.047467	0.000479047	0.00294422	0.00342296	0.000209362	0.014662	0.00197597	0.438513	0.0967558	0.393571
