 	il	fume	trop	de	chanvre	voilà	pourquoi	ses	yeux	sont	devenus	ternes	</S>
w	0.901902	0.0228225	0.00767675	0.00771366	0.00279542	0.0115263	0.0130485	0.0276348	0.00165505	0.00158534	0.000820722	0.000602779	0.000215942
a	0.932146	0.0189836	0.0108806	0.0250018	0.00074617	0.000384494	0.00209602	0.00564788	0.0024372	0.000883595	0.000448053	0.000336781	8.19259e-06
l	0.344264	0.380554	0.0464136	0.0583532	0.0121717	0.00296244	0.0183678	0.0180745	0.0362372	0.0690457	0.00458795	0.00271661	0.00625213
á	0.0947068	0.147538	0.0699611	0.0879314	0.0418391	0.0158309	0.0843961	0.0420028	0.0224379	0.158851	0.00618833	0.00544639	0.22287
a	0.181668	0.397425	0.0713947	0.0445838	0.0252992	0.0154771	0.0606826	0.0139117	0.0494313	0.0473218	0.00366639	0.00434836	0.0847899
p	0.010478	0.818193	0.110399	0.00983447	0.0106827	0.00199201	0.000863714	0.000144592	0.00367515	0.00950375	0.00504806	0.0096731	0.0095124
é	0.00588149	0.490608	0.427766	0.0202817	0.00711227	0.00558422	0.00103326	0.000133159	0.000221184	0.00218734	0.00503	0.0103187	0.0238432
n	0.0121546	0.358018	0.466176	0.0806447	0.0165146	0.0135284	0.00605276	0.00106446	0.000798219	0.00389392	0.00990906	0.0188539	0.0123909
d	0.0260063	0.526498	0.351202	0.0523997	0.00859306	0.00562416	0.00674045	0.00201262	0.0005479	0.00513375	0.00213797	0.00275901	0.0103452
á	0.0581343	0.447932	0.309825	0.0635678	0.0134274	0.021164	0.0261358	0.00513049	0.00277258	0.0118896	0.000350856	0.00113774	0.0385324
o	0.0446692	0.0648655	0.463794	0.307409	0.0359903	0.0325139	0.022684	0.0144304	0.0044433	0.00460572	0.00087084	0.0018105	0.00191343
n	0.00359799	0.0753436	0.346921	0.367697	0.136297	0.038086	0.00632038	0.00340215	0.00666664	0.0026659	0.00638024	0.00354741	0.00307394
y	0.00124792	0.186647	0.164827	0.284538	0.0915152	0.0102059	0.141611	0.00685927	0.0320072	0.00649504	0.0104431	0.00202706	0.0615768
w	0.000619802	0.11195	0.116889	0.185311	0.123801	0.0400778	0.296049	0.00840162	0.0200888	0.00665916	0.00674324	0.00411906	0.0792904
á	0.00146771	0.0504159	0.0798881	0.119891	0.184728	0.0785819	0.127779	0.00153147	0.00291059	0.0138501	0.00168035	0.0166341	0.320642
d	0.00241855	0.0153934	0.0818772	0.356128	0.311115	0.110974	0.0255954	0.0106627	0.00264374	0.0124972	0.00106045	0.00353983	0.0660949
z	0.000325774	0.00227516	0.00764784	0.0348656	0.433755	0.429769	0.0647036	0.00447492	0.00176281	0.000785435	0.0016057	0.00614607	0.0118835
w	0.000813409	0.00296977	0.011841	0.0584775	0.720767	0.173129	0.016486	0.00287997	0.00474772	0.00106998	0.000485101	0.00224148	0.00409194
a	0.000178395	0.00181407	0.0166584	0.0982849	0.384462	0.293586	0.109329	0.00982731	0.00181943	0.00622838	0.00627832	0.0131341	0.0583996
m	0.000628146	0.00180597	0.0110596	0.156836	0.3539	0.183298	0.134859	0.0484799	0.00738187	0.0364091	0.00875947	0.0033462	0.0532358
a	0.00112791	0.000612554	0.00404938	0.104042	0.183101	0.107861	0.175299	0.179152	0.0368959	0.110151	0.00339046	0.00102441	0.0932929
d	0.000394297	0.000863856	0.00745785	0.0366305	0.0651833	0.351386	0.25513	0.0468404	0.0452932	0.0695063	0.0737646	0.0156724	0.0318773
i	0.000327848	0.00147667	0.00135579	0.0111703	0.367783	0.239072	0.207409	0.0163702	0.0104172	0.0104714	0.00599413	0.0125241	0.115628
a	0.000235484	0.00032157	0.00241224	0.0149564	0.103816	0.365394	0.194803	0.0302884	0.0286726	0.0548666	0.0959322	0.0533724	0.0549288
b	0.000401131	0.002032	0.00502633	0.0174228	0.0247029	0.0360824	0.131032	0.0460474	0.0604063	0.308217	0.310436	0.00907584	0.049119
v	0.00154595	0.00203586	0.011798	0.0231555	0.00684953	0.0332086	0.0749667	0.0334175	0.00650181	0.0656548	0.633263	0.0104831	0.0971201
ú	0.00110101	0.000872056	0.0063551	0.0107373	0.008203	0.0419286	0.13453	0.0787684	0.0100964	0.0545458	0.561485	0.0106154	0.0807622
u	0.00100057	0.000524543	0.00324917	0.0189671	0.0506854	0.0900562	0.234073	0.0783731	0.00819689	0.057703	0.104036	0.197469	0.155666
m	0.000631024	0.000864187	0.00339153	0.0151796	0.026392	0.0714791	0.148714	0.0445973	0.0685516	0.217414	0.264395	0.0570055	0.0813858
í	0.00062273	0.000694711	0.00260039	0.0302908	0.0570334	0.00942384	0.0382564	0.138356	0.190419	0.23966	0.0391211	0.0195125	0.234008
s	0.000109774	0.000502731	0.00163119	0.0117622	0.0123416	0.00948112	0.176012	0.102834	0.1298	0.276944	0.205524	0.0213328	0.0517255
