 	l'	enfant	s'	est	accroupi	pour	faire	des	selles	</S>
m	0.779857	0.210081	0.00690396	0.0012116	0.00010352	0.000329575	0.000522773	0.000896603	7.88834e-05	1.42767e-05
w	0.00847379	0.988745	0.00212709	0.000274425	9.47575e-06	5.87088e-05	9.16015e-05	5.08164e-05	4.93601e-05	0.000119974
á	0.0110346	0.988319	0.000276876	5.99588e-05	7.15374e-05	1.82311e-05	2.52871e-05	2.95849e-06	0.000186705	4.94767e-06
n	0.43752	0.548279	0.0102206	0.000782447	0.000200976	6.30303e-05	0.000212848	0.000153509	0.00049359	0.00207409
a	0.114774	0.4475	0.161661	0.0856141	0.00184319	0.00822616	0.0129034	0.00575358	0.0291891	0.132534
n	0.625198	0.0685135	0.195244	0.0682676	0.00796515	0.00322327	0.00274658	0.0127741	0.00242939	0.0136385
d	0.315532	0.128191	0.131738	0.0705994	0.00560852	0.0122859	0.0145837	0.0117508	0.0114035	0.298308
z	0.158049	0.469206	0.107593	0.101454	0.0534263	0.00841205	0.0119233	0.00284066	0.0197677	0.0673273
é	0.549663	0.379319	0.00665333	0.00474507	0.0107537	0.00336971	0.00663114	0.00178478	0.0196805	0.0173998
s	0.168498	0.0515006	0.0898607	0.052334	0.0247725	0.0360496	0.0376352	0.0249066	0.220949	0.293495
i	0.680541	0.219453	0.0205692	0.0188496	0.0107325	0.00280941	0.00322655	0.00296297	0.0108154	0.0300404
á	0.0354562	0.0121775	0.506518	0.327051	0.0557899	0.0255827	0.00675777	0.00931309	0.00580889	0.0155453
p	0.0029978	0.000476442	0.0602629	0.45791	0.360282	0.0635167	0.0118673	0.00375261	0.00487836	0.0340558
ε	0.000194613	4.19421e-05	0.0298078	0.271899	0.610393	0.0586115	0.0190263	0.00297506	0.000814816	0.00623521
r	0.000914	2.68917e-05	0.00651736	0.0507631	0.780972	0.127389	0.0240082	0.00459334	0.000299869	0.00451636
i	0.00909533	0.000395106	0.0786121	0.229537	0.268783	0.232377	0.0773625	0.0767976	0.00522115	0.0218192
i	0.00408846	0.000215319	0.0500732	0.0587285	0.0388965	0.326281	0.145244	0.290068	0.0311278	0.0552774
m	0.00263508	0.00132854	0.00340513	0.00530863	0.00349387	0.153245	0.34202	0.0644019	0.323479	0.100682
í	0.000368056	0.00169824	0.00035437	7.77598e-05	0.000386477	0.0111078	0.0343585	0.018121	0.916925	0.0166024
n	0.000425599	0.000168624	0.00162963	0.000786991	0.000182305	0.00982083	0.0554285	0.0409561	0.869715	0.0208861
y	0.00412553	0.00287638	0.00721588	0.00834617	0.00149993	0.034127	0.182441	0.24883	0.379328	0.13121
a	0.00645644	0.00137098	0.0022276	0.0084044	0.00419511	0.044966	0.388408	0.176624	0.199105	0.168242
a	0.000129154	9.00116e-05	0.000528014	0.00199746	0.0234026	0.069346	0.30129	0.154967	0.154814	0.293437
l	0.000345165	1.97653e-05	0.00111642	0.0010816	0.000385813	0.0298095	0.109437	0.27968	0.143699	0.434425
á	0.00628614	4.23014e-05	0.00264265	0.00830582	0.00239216	0.0333801	0.145221	0.0905334	0.356958	0.354239
m	0.0076922	0.000127936	0.0105191	0.00825591	0.001745	0.0113099	0.0411675	0.460003	0.310581	0.148599
b	0.000813619	0.00116928	0.000610584	0.000102645	3.35606e-05	0.00254042	0.00916353	0.0513173	0.876712	0.0575372
í	0.000209835	0.000121458	5.627e-05	1.29154e-05	4.53153e-06	0.000546439	0.01171	0.00821561	0.948485	0.0306378
</S>	0.0185665	0.00176352	0.00295012	0.000475569	4.93917e-05	0.0053687	0.0449436	0.120733	0.413937	0.391212
