 	le	gaz	qui	s'	exhale	de	l'	huile	de	palme	chauffée	fait	tousser	le	cuisinier	</S>
k	0.324422	0.48402	0.104658	0.01414	0.00168486	0.00934642	0.0118023	0.0187109	0.0107821	0.00449537	0.000865645	0.000659757	0.00406718	0.00960505	0.00041299	0.000327347
á	0.013393	0.972492	0.00741288	0.000462272	0.00065761	0.000133511	0.000110034	3.76805e-05	0.000127801	6.98428e-05	7.30316e-05	0.000107012	0.00419939	0.000146048	0.000494554	8.36442e-05
k	0.00937934	0.971818	0.00364924	0.0036785	0.00180682	0.000718461	0.00127099	0.0012157	0.00160264	0.000217563	0.000283112	0.000353167	0.00128284	0.000166832	0.000378779	0.00217756
a	0.0116857	0.932222	0.0100203	0.00222644	0.00846771	0.00159251	0.000894375	0.00014658	0.000355585	0.000121294	9.45859e-05	0.000304676	0.00537767	0.000247032	0.0020648	0.0241789
l	0.026372	0.76485	0.105855	0.0279561	0.0376645	0.00867564	0.0033133	0.000717839	0.000819839	0.000518102	0.000358896	0.000582893	0.000584726	0.00185476	0.00182835	0.0180482
a	0.199907	0.599925	0.0538308	0.013207	0.0321921	0.00988975	0.00757925	0.00218744	0.00401986	0.00570378	0.000514659	0.00329573	0.00301336	0.00537292	0.00418036	0.0551811
l	0.160206	0.0159837	0.267128	0.22412	0.0903839	0.0543317	0.0288995	0.0158135	0.0177969	0.0302406	0.00440141	0.014792	0.000920384	0.0488	0.00163132	0.0245503
í	0.098713	0.0171786	0.0802332	0.0964589	0.0599111	0.0677645	0.0331503	0.013325	0.0152117	0.0325665	0.00473956	0.0237508	0.00168936	0.0148046	0.00590079	0.434602
i	0.113466	0.0126661	0.160059	0.135787	0.10202	0.128073	0.0979192	0.0443622	0.0519137	0.0414634	0.00728969	0.0196793	0.00122791	0.0371839	0.00607441	0.0408161
k	0.00254895	0.00608566	0.00965115	0.134633	0.630397	0.0363994	0.0125771	0.00263094	0.00320537	0.00273181	0.0111756	0.0193544	0.0193492	0.00336733	0.0869061	0.018987
ω	0.00122851	0.010526	0.00345959	0.0375093	0.609138	0.0311137	0.0142442	0.000955264	0.00148395	0.000571189	0.0048647	0.0138593	0.0297114	0.00317312	0.19733	0.0408322
r	0.0020442	0.00622188	0.026384	0.0339701	0.751635	0.0480553	0.0271827	0.00123259	0.0038139	0.00170382	0.00776443	0.0119831	0.0246042	0.00993486	0.0337249	0.00974549
ó	0.042363	0.069908	0.0401418	0.0647638	0.35925	0.0535356	0.0323256	0.0103636	0.0189103	0.00842986	0.00255955	0.0192705	0.0524228	0.0353373	0.0305058	0.159912
s	0.00338	0.000616574	0.0229189	0.0394719	0.0306619	0.164127	0.223747	0.114606	0.145986	0.0881036	0.0106425	0.026472	0.00228062	0.105212	0.008531	0.0132432
ώ	0.0264074	0.0170586	0.0188262	0.0213758	0.0391792	0.0474428	0.117461	0.0795106	0.308784	0.151976	0.0159567	0.0174947	0.00748088	0.0262668	0.035206	0.0695738
o	0.00243774	0.00107072	0.00485774	0.0099546	0.00224592	0.0163971	0.101165	0.147293	0.282423	0.266174	0.0360975	0.0235004	0.00324244	0.0761621	0.0143332	0.0126452
l	0.00108562	0.00339079	0.00110591	0.00410525	0.00915975	0.00471567	0.00945268	0.00608609	0.0130741	0.0159108	0.113297	0.0436035	0.0670657	0.0117743	0.679335	0.0168375
á	0.000817946	0.00137862	0.000570131	0.00284649	0.0077721	0.00233793	0.00163096	0.000408723	0.00246091	0.00472721	0.0425477	0.0248276	0.019479	0.00795509	0.862198	0.0180413
m	0.00287846	0.00493107	0.000545247	0.00171026	0.00317631	0.00178891	0.00327469	0.00270017	0.0101598	0.00907379	0.0193925	0.144212	0.0605051	0.233971	0.448269	0.0534126
b	0.00145585	0.00314935	0.000654108	0.00184628	0.00538692	0.0027207	0.00555518	0.00262924	0.00768851	0.0131768	0.00729757	0.025002	0.207116	0.0297055	0.360638	0.325978
i	0.0164512	0.0149733	0.00687877	0.0122114	0.0238211	0.0107919	0.0319512	0.0798146	0.182923	0.108216	0.00466126	0.0210548	0.0657441	0.0532152	0.0929723	0.27432
a	0.00321817	0.000590325	0.0028059	0.00659958	0.00338832	0.00975438	0.0248642	0.0353353	0.067199	0.129461	0.0210164	0.0655376	0.0279951	0.218819	0.0431015	0.340314
t	0.0237806	0.00926777	0.0137163	0.0474588	0.0320667	0.0336888	0.0215784	0.00755814	0.0111738	0.0257411	0.0385871	0.0487848	0.032508	0.109093	0.161993	0.383004
u	0.00227057	0.0255875	0.00692359	0.0122761	0.0416637	0.0176946	0.0126466	0.00317312	0.00885384	0.00766326	0.00633762	0.0434016	0.236835	0.104443	0.285453	0.184777
n	0.00221934	0.000761096	0.0007658	0.00348086	0.00365967	0.00514668	0.0118366	0.01845	0.0209871	0.0133543	0.00384648	0.029637	0.0970147	0.0757339	0.0825303	0.630576
g	0.0149607	0.00221399	0.00258201	0.0146216	0.0156451	0.00912927	0.0182256	0.0188976	0.0570625	0.0932675	0.00247496	0.0553546	0.238502	0.117741	0.0947272	0.244594
u	0.0140869	0.0150447	0.00520405	0.0123658	0.0148986	0.0102084	0.0261442	0.0561462	0.102547	0.112713	0.00690661	0.0578193	0.263395	0.0447074	0.0708873	0.186925
</S>	0.052209	0.00367021	0.015109	0.0258999	0.0163433	0.0163017	0.0210659	0.0182265	0.0250745	0.068655	0.00703214	0.0344454	0.0319663	0.148902	0.0389838	0.476116
