 	je	lis	un	livre	intéressant	</S>
n	0.752506	0.192993	0.0199255	0.0148597	0.0186009	0.00111508
g	0.972669	0.0268887	0.000273155	0.000123133	2.74959e-05	1.84247e-05
á	0.752624	0.245857	0.000746934	0.000424617	0.000313762	3.41494e-05
l	0.311911	0.343955	0.096421	0.0398834	0.0593164	0.148513
í	0.633385	0.214508	0.0450002	0.0228538	0.000993929	0.083259
i	0.147768	0.304676	0.182973	0.149068	0.00383353	0.211682
t	0.0381906	0.310752	0.306036	0.174112	0.017316	0.153594
á	0.00178193	0.380542	0.227893	0.357102	0.0078242	0.024856
n	0.016128	0.226272	0.513778	0.194274	0.00287643	0.0466707
g	0.100893	0.428516	0.354866	0.0821087	0.00757997	0.0260364
á	0.642869	0.15702	0.0770594	0.0731114	0.00597404	0.0439658
b	0.0128626	0.0119218	0.309728	0.198669	0.367081	0.0997375
v	0.0040435	0.00167304	0.0130486	0.00920271	0.955577	0.0164556
ú	0.000192249	6.01248e-05	0.00499278	0.0250533	0.965826	0.00387537
k	0.000318101	0.00141002	0.237962	0.688666	0.042595	0.0290486
u	0.00134833	0.00155855	0.511081	0.0836671	0.142915	0.25943
b	0.000745656	0.000296728	0.158234	0.20768	0.264314	0.368731
o	0.00767577	0.0125919	0.383829	0.13216	0.394258	0.0694852
b	0.00131831	0.000599148	0.159907	0.157666	0.284476	0.396033
v	0.00570163	0.0106833	0.608443	0.1703	0.116669	0.0882037
έ	0.00330313	0.00355883	0.192159	0.348002	0.270762	0.182215
</S>	0.000247869	0.000178124	0.19162	0.13406	0.0812562	0.592638
