 	il	est	brave	au	combat	</S>
w	0.954888	0.0335086	0.000806655	0.0104081	0.000338005	5.0642e-05
a	0.887012	0.0266347	0.00151665	0.0719329	0.0117958	0.00110747
a	0.372626	0.582767	0.00578247	0.0283662	0.00120308	0.00925579
d	0.144818	0.54578	0.0407258	0.0322696	0.00721191	0.229195
í	0.043908	0.769113	0.0448316	0.00963197	0.000232575	0.132283
l	0.0391015	0.189117	0.198824	0.0757446	0.0190483	0.478165
o	0.115035	0.134486	0.295273	0.153702	0.0134077	0.288096
n	0.0456927	0.0477179	0.842002	0.0325717	0.00863179	0.0233836
d	0.00242169	0.00792031	0.954921	0.0245451	0.00326074	0.00693151
z	0.00527355	0.0136855	0.90136	0.0477889	0.00634242	0.02555
a	0.0122157	0.0183696	0.799006	0.138632	0.00231956	0.0294564
n	0.00432096	0.00440916	0.784162	0.132798	0.00408168	0.0702282
g	0.0122279	0.028859	0.34938	0.526671	0.0126301	0.0702323
á	0.0430692	0.0149955	0.51694	0.237639	0.0421817	0.145174
s	0.0213134	0.0306413	0.0972463	0.451246	0.309123	0.0904299
á	0.0193733	0.0289946	0.0292391	0.498957	0.156199	0.267237
b	0.0068804	0.00290444	0.0110991	0.159501	0.801755	0.0178599
i	0.000613062	0.000240622	8.393e-05	0.00270058	0.995973	0.000388847
r	0.000377607	0.000188768	0.000154944	0.00772589	0.981675	0.00987746
á	0.00320096	0.00236878	0.00965296	0.0423404	0.833718	0.108719
</S>	0.0097685	0.0132263	0.0150767	0.28029	0.0882113	0.593427
