 	quel	âge	as-tu	</S>
n	0.948538	0.0443527	0.00550872	0.00160016
ω	0.977133	0.00371839	0.0163335	0.00281471
o	0.81966	0.0387044	0.0996519	0.041984
d	0.0444375	0.63483	0.089969	0.230764
í	0.00820503	0.0902479	0.0230456	0.878501
l	0.014507	0.190435	0.0870859	0.707972
a	0.0862639	0.113978	0.265181	0.534577
a	0.0315944	0.13814	0.549952	0.280313
m	0.00369155	0.247728	0.481176	0.267405
b	0.00671575	0.073591	0.197627	0.722067
v	0.0148115	0.219364	0.20106	0.564765
ú	0.03384	0.189552	0.119579	0.657029
l	0.0377224	0.0252352	0.112433	0.824609
á	0.0456182	0.0456245	0.297881	0.610877
k	0.0424529	0.119538	0.337184	0.500825
w	0.017993	0.0615428	0.605463	0.315001
έ	0.0317194	0.125439	0.620053	0.222789
ε	0.0026212	0.0371762	0.232142	0.728061
</S>	0.00775726	0.064896	0.288325	0.639021
