 	le	vent	s'	apaise	</S>
ω	0.97146	0.0124775	0.0126946	0.00303511	0.000332815
p	0.0445665	0.934717	0.00565389	0.0129839	0.00207842
ε	0.00151058	0.949429	0.000253459	0.0479306	0.000876519
p	0.0391446	0.858049	0.00533811	0.0839527	0.0135155
ε	0.375653	0.498417	0.0437843	0.0509901	0.0311561
m	0.426014	0.0459457	0.356522	0.0210171	0.150502
ώ	0.583149	0.123823	0.0771797	0.0185863	0.197262
ω	0.676496	0.0179191	0.149093	0.0450441	0.111448
k	0.00917728	0.0272133	0.0699135	0.815058	0.0786375
ω	0.00345941	0.0462252	0.0234429	0.807284	0.119589
ω	0.03344	0.218758	0.080245	0.557665	0.109892
</S>	0.0464643	0.00241408	0.63599	0.0742203	0.240911
