 	le	chasseur	a	tué	la	civette	</S>
o	0.966316	0.0236489	0.0071959	0.000443611	0.00156965	0.000203882	0.000622405
b	0.0263463	0.967722	0.00194348	0.000654873	0.000165221	0.00284327	0.000324914
e	0.150945	0.843829	0.000870077	0.00238256	0.00019004	0.00165263	0.000130434
n	0.0472982	0.946244	0.000948344	0.00141543	0.000547454	0.00137268	0.00217436
g	0.691735	0.257968	0.0282132	0.00206364	0.0034342	0.00125872	0.0153275
i	0.491856	0.389619	0.0524653	0.047016	0.00645169	0.00163944	0.0109526
á	0.0532114	0.00804909	0.80594	0.0893072	0.0245487	0.00116958	0.0177744
b	0.0354173	0.0124115	0.174475	0.669114	0.0650591	0.0141981	0.0293251
o	0.000440784	0.00226629	0.0207213	0.950199	0.0129115	0.00799511	0.00546599
m	0.00703626	0.00359686	0.0250887	0.808792	0.0560837	0.0657098	0.0336929
i	0.0381244	0.00320096	0.0725275	0.45158	0.231367	0.0508221	0.152378
d	0.0168688	0.000974308	0.0851634	0.100947	0.63156	0.0708442	0.0936425
z	0.000935247	0.000187065	0.00114973	0.009354	0.1274	0.513008	0.347966
i	0.00232703	6.19607e-05	0.00461935	0.0211272	0.274945	0.510122	0.186797
a	0.000605792	1.84952e-05	0.0026421	0.00865297	0.179213	0.536105	0.272762
</S>	0.00179499	8.71632e-05	0.00313171	0.00157055	0.522982	0.133566	0.336867
