 	la	réunion	est	à	sa	fin	</S>
e	0.733805	0.194811	0.0336043	0.0176521	0.0157409	0.00206854	0.00231784
y	0.0679013	0.907201	0.0147211	0.00264566	0.00117455	0.00536552	0.00099049
ú	0.0846078	0.877134	0.0165342	0.00793342	0.00189244	0.00356756	0.00833064
m	0.0842975	0.839361	0.0111986	0.00883423	0.00478803	0.0177811	0.0337391
b	0.576242	0.354865	0.0543488	0.00451662	0.00242569	0.00113337	0.00646915
u	0.501004	0.345392	0.0456513	0.0434105	0.00717995	0.0127176	0.0446449
é	0.0898952	0.03285	0.764031	0.0385157	0.0413232	0.0119869	0.0213983
b	0.0661827	0.0250264	0.376019	0.244879	0.17097	0.0663077	0.0506146
h	0.00808028	0.0142387	0.159543	0.466503	0.242203	0.0709905	0.0384425
i	0.0317253	0.0109591	0.0906803	0.51158	0.263995	0.0496159	0.0414445
m	0.0206051	0.00534426	0.0697237	0.289193	0.274003	0.145302	0.195828
ó	0.0129919	0.00300819	0.046629	0.349024	0.199525	0.121151	0.26767
t	0.0216562	0.00509534	0.065769	0.162373	0.326365	0.239212	0.179529
i	0.0113602	0.0051456	0.0459515	0.263177	0.314343	0.259285	0.100738
n	0.00121288	0.000543389	0.0343511	0.207992	0.134763	0.201891	0.419247
g	0.00494619	0.00540106	0.0127149	0.152164	0.193252	0.454643	0.176879
i	0.0253016	0.0244196	0.0151583	0.0719064	0.115357	0.40072	0.347138
l	0.00737562	0.00112539	0.0143781	0.0391713	0.234681	0.173527	0.529742
i	0.0115122	0.00264353	0.00708435	0.0345367	0.061756	0.354054	0.528414
</S>	0.016337	0.00110643	0.0198668	0.026038	0.261625	0.18732	0.487707
