 	dans	ce	champ	de	chasse	on	ne	trouve	plus	de	gibier	</S>
l	0.603253	0.169725	0.0312821	0.119598	0.0149852	0.00687662	0.00593007	0.00652065	0.0263757	0.0143078	0.000397303	0.000748447
a	0.268782	0.229537	0.0915872	0.141632	0.0298048	0.019622	0.017319	0.0142087	0.0500093	0.0626353	0.0596876	0.0151749
á	0.272468	0.217677	0.334958	0.0740894	0.00514591	0.0052532	0.00263749	0.00320537	0.00772581	0.0116859	0.0468617	0.0182918
d	0.143877	0.235215	0.309363	0.106778	0.0233719	0.0165464	0.00711507	0.00460145	0.0144948	0.0144094	0.0103116	0.113916
í	0.0897246	0.256194	0.033882	0.190378	0.0287421	0.0167949	0.00384327	0.00264184	0.00677898	0.0111383	0.0147547	0.345127
á	0.0333608	0.110365	0.0760532	0.331565	0.0310422	0.0311094	0.0175995	0.0197838	0.0251118	0.0370569	0.022446	0.264506
b	0.0646807	0.164083	0.258621	0.35595	0.0702563	0.030124	0.0102146	0.00611275	0.00890312	0.0108281	0.00653559	0.0136901
h	0.0642831	0.106546	0.00857897	0.0912593	0.488439	0.0567838	0.0395115	0.0214021	0.057208	0.0207682	0.00916106	0.0360597
i	0.127608	0.0646875	0.00467712	0.106965	0.399465	0.0710054	0.0624032	0.026098	0.0650455	0.0230923	0.00396111	0.0449921
á	0.040094	0.103781	0.00707302	0.508333	0.145214	0.0743545	0.036754	0.0255909	0.0156558	0.0129433	0.00181687	0.0283892
a	0.0240554	0.0519404	0.0152103	0.331568	0.200017	0.206117	0.0645251	0.0251898	0.012879	0.0181865	0.00376614	0.0465451
n	0.00958335	0.00720555	0.00694234	0.0773878	0.393953	0.222013	0.15327	0.0415512	0.0245922	0.0179413	0.0162383	0.0293223
y	0.0193235	0.113208	0.131697	0.183857	0.0901009	0.138072	0.0419951	0.0179675	0.036123	0.0318738	0.0703741	0.125407
a	0.00212046	0.0299956	0.45389	0.125449	0.0696051	0.0444836	0.0333223	0.0234766	0.0613527	0.0271895	0.0768678	0.0522473
m	0.00148022	0.00885491	0.0206617	0.235323	0.146896	0.125371	0.0913911	0.0227986	0.0920785	0.0463879	0.0288908	0.179866
a	0.0198545	0.0496842	0.00265187	0.199602	0.0783166	0.21989	0.191459	0.0945208	0.0405587	0.0455947	0.00944409	0.0484234
o	0.00756116	0.013091	0.00300509	0.0957994	0.032848	0.210896	0.242831	0.17615	0.081886	0.0743999	0.00857338	0.0529588
b	0.0136877	0.00583765	0.00484891	0.0310617	0.169978	0.186459	0.331483	0.103568	0.0557396	0.0338895	0.0212541	0.0421932
v	0.00090374	0.000862746	6.92497e-05	0.0120809	0.244762	0.0851356	0.22654	0.107441	0.126636	0.0730493	0.0217091	0.100811
a	0.00336253	0.00164758	2.2234e-05	0.00868965	0.164067	0.108145	0.286989	0.140294	0.146837	0.0571359	0.0195025	0.0633083
k	0.0026434	0.00184626	3.66458e-05	0.00367213	0.0100297	0.0438848	0.169711	0.21851	0.132384	0.0780706	0.0162488	0.322963
a	0.000994371	0.000770051	0.000445398	0.00475642	0.00739842	0.0277781	0.145461	0.223939	0.353498	0.118237	0.0236203	0.0931007
á	0.000922521	0.000504193	0.000104056	0.00345757	0.010037	0.0201291	0.0994951	0.180878	0.308448	0.0650374	0.0453874	0.2656
</S>	0.0026265	0.00557587	0.000883682	0.0201868	0.0089285	0.0515578	0.040611	0.0768774	0.120705	0.228454	0.10116	0.342433
