 	le	sel	que	j'	ai	mis	dans	la	nourriture	a	suffi	</S>
o	0.376608	0.599234	0.0144054	0.00223472	0.00197554	0.000436455	0.00190273	0.000722578	0.00186894	0.000343163	0.00019418	7.48937e-05
k	0.00917058	0.96997	0.00569073	0.0019257	0.00200832	0.00821688	0.000379775	0.000133032	5.80239e-05	0.000400822	0.0011981	0.00084803
w	0.00928292	0.958986	0.00408293	5.44058e-05	8.74239e-05	0.01866	0.00148052	0.000770696	0.000169821	0.000283883	0.0021665	0.0039746
á	0.00536768	0.91756	0.0314173	0.0047682	0.00216152	0.0160626	0.00953723	0.00364852	0.00432915	0.00202054	0.00131912	0.00180799
m	0.110158	0.0228469	0.69132	0.0783908	0.037217	0.00671793	0.013609	0.0076037	0.0112641	0.00337473	0.000875296	0.0166228
ó	0.152942	0.00894745	0.384983	0.128187	0.227089	0.0174787	0.0355626	0.0304457	0.00743518	0.00228972	0.000569735	0.00407053
ó	0.139848	0.00988215	0.261368	0.259205	0.167761	0.0626565	0.0293944	0.0148678	0.00561484	0.0105893	0.00311069	0.0357021
k	0.00280037	0.00287429	0.00952522	0.0385925	0.0705371	0.698605	0.0581326	0.0107881	0.00316511	0.0136578	0.0772165	0.0141059
a	0.00104791	0.00175938	0.0027669	0.00138404	0.00654447	0.900173	0.040113	0.00937889	0.00383006	0.00165057	0.0216473	0.00970389
n	0.00157629	0.00666713	0.0105587	0.00338252	0.00900265	0.867444	0.0595815	0.0114544	0.00670462	0.00196914	0.0149951	0.00666432
í	0.01658	0.0167937	0.0335852	0.0556002	0.114862	0.517626	0.118324	0.0391531	0.0283248	0.00664625	0.00467442	0.0478309
n	0.0110853	0.000386233	0.0372127	0.263007	0.117856	0.013133	0.186364	0.176712	0.152437	0.0337922	0.00220415	0.00581022
g	0.0119905	0.00647684	0.0235925	0.407927	0.181597	0.0177329	0.0803758	0.168695	0.0455864	0.0148499	0.00240253	0.0387736
á	0.00386467	0.00153277	0.0151656	0.686529	0.118371	0.0160759	0.0334472	0.0832921	0.0172042	0.0107398	0.00179397	0.0119831
s	0.0027723	0.000475554	0.00929795	0.0128067	0.0277954	0.0106044	0.16254	0.448499	0.190024	0.112454	0.00782884	0.0149017
á	0.0110787	0.000199181	0.00367353	0.0142599	0.0378189	0.0111666	0.119697	0.416422	0.0683793	0.188455	0.0132851	0.115564
b	0.0225128	0.00276095	0.0110904	0.0132446	0.0105811	0.00206141	0.0318687	0.318787	0.301681	0.235118	0.0144261	0.0358676
e	0.0170574	0.00223186	0.00582754	0.0412812	0.0263088	0.00399803	0.0236501	0.121976	0.617852	0.0792472	0.0455568	0.0150125
a	0.00153462	0.000898388	0.00316161	0.0131748	0.00885419	0.0114913	0.0258389	0.0898344	0.520919	0.0595124	0.171593	0.0931871
ó	0.000756534	4.95733e-05	0.00308858	0.00143074	0.003876	0.00394277	0.0181938	0.063885	0.141656	0.362514	0.156514	0.244094
b	0.00645153	0.000177674	0.00211727	0.00122927	0.00727174	0.0216643	0.0216941	0.0118239	0.0116315	0.188426	0.535758	0.191754
h	0.00342532	0.000919578	0.00183357	0.000839059	0.00481678	0.0160248	0.0213699	0.0123021	0.0500174	0.0448568	0.812462	0.0311333
ó	0.00326065	0.000269916	0.000732667	0.000259515	0.00179008	0.00755085	0.0143275	0.0121343	0.0711072	0.0105004	0.839107	0.03896
l	0.0014326	0.000252273	0.00109998	0.0013207	0.00254256	0.0140167	0.0359301	0.0692203	0.129902	0.0342496	0.342246	0.367788
i	0.00204983	0.000658521	0.00169081	0.00147156	0.00322145	0.0274704	0.0240942	0.0265996	0.0398561	0.0634511	0.20387	0.605567
</S>	0.00237483	8.03349e-05	0.00135632	0.000927541	0.00143155	0.00345145	0.00533913	0.00530049	0.00432119	0.0348187	0.060767	0.879831
