 	le	vrombissement	du	bateau	réveille	les	gens	</S>
b	0.500789	0.415863	0.0691408	0.00708196	0.00129076	0.00535867	0.000368932	0.000106781
v	0.263733	0.651663	0.0533407	0.00432066	0.00149498	0.0101128	0.0149663	0.000368751
ú	0.0780199	0.785411	0.023085	0.103374	0.00514582	0.00329421	0.00130557	0.000363769
n	0.0756169	0.83375	0.0451827	0.0315848	0.00717206	0.00197217	0.00142645	0.00329495
d	0.337439	0.543513	0.0744017	0.0202066	0.00214929	0.00377931	0.000752622	0.0177581
u	0.169218	0.589654	0.0480765	0.15185	0.00436735	0.00324956	0.000394177	0.0331909
b	0.145401	0.0918159	0.644355	0.040677	0.0163075	0.0235998	0.00395835	0.0338854
á	0.281125	0.132488	0.399348	0.0117249	0.018014	0.0783145	0.00917418	0.0698117
s	0.130476	0.0605636	0.377807	0.344328	0.0268109	0.0238047	0.0205047	0.0157047
ú	0.0472391	0.0349866	0.134611	0.757057	0.0111826	0.00254419	0.000627864	0.0117517
a	0.0313708	0.0316461	0.182755	0.714368	0.0151621	0.00288921	0.000203229	0.0216051
b	0.0289666	0.015385	0.274478	0.222775	0.353576	0.0592208	0.00429573	0.0413019
ó	0.0662339	0.047388	0.209335	0.129706	0.13943	0.216847	0.0692594	0.121801
o	0.0209933	0.0115918	0.342031	0.0808156	0.221896	0.153963	0.0556911	0.113019
l	0.00332475	0.00354643	0.0353021	0.0483993	0.791315	0.0591565	0.00727137	0.0516849
a	0.00559179	0.00801444	0.0189083	0.0796244	0.778294	0.0230006	0.00310046	0.0834665
n	0.0107617	0.0112245	0.0794147	0.0668785	0.734791	0.0327616	0.00446022	0.0597076
g	0.00731193	0.00627251	0.0767375	0.043775	0.6923	0.105992	0.0165343	0.0510772
á	0.0124529	0.011254	0.112449	0.0429104	0.544412	0.144586	0.0717135	0.0602222
s	0.00279578	0.00349397	0.0228051	0.0157016	0.0149091	0.427419	0.464097	0.0487785
á	0.0194312	0.0228225	0.0717173	0.160661	0.164362	0.118084	0.192961	0.249961
b	0.0261859	0.0100747	0.0396354	0.0320774	0.0176924	0.0787954	0.768021	0.0275176
a	0.00166916	0.00176916	0.00207492	0.000606657	0.00124706	0.00971702	0.980132	0.00278415
r	0.000302205	0.000361466	0.00127141	0.00078555	0.00481029	0.0414458	0.91947	0.031553
e	0.00992973	0.0165077	0.020502	0.00664409	0.0328148	0.261349	0.387422	0.264831
m	0.00176135	0.00129055	0.0155369	0.00411256	0.0384883	0.332414	0.206674	0.399723
á	0.0482001	0.0217975	0.133193	0.012843	0.00654092	0.289913	0.151021	0.336492
f	0.00688652	0.00412526	0.0307086	0.0020759	0.0187644	0.118163	0.50664	0.312636
u	0.00480787	0.00873743	0.0153622	0.00361506	0.021046	0.0381348	0.79823	0.110067
l	0.0770782	0.0379024	0.029769	0.103898	0.0363816	0.114267	0.259013	0.341692
ú	0.0191625	0.00444122	0.0162587	0.0226804	0.0176095	0.204397	0.107945	0.607506
</S>	0.00366775	0.000743571	0.0138532	0.0054485	0.0156289	0.258844	0.0346242	0.66719
