 	le	hibou	a	des	gros	yeux	</S>
e	0.748609	0.236472	0.00854474	0.00234569	0.00348396	0.000328645	0.000216014
s	0.0561832	0.909277	0.0181958	0.013284	0.000853451	0.000761606	0.00144463
u	0.00537453	0.983571	0.00445735	0.0039415	0.000262922	0.00137268	0.00101988
r	0.0570962	0.8624	0.011883	0.0314286	0.0155189	0.011183	0.0104903
ú	0.38657	0.432121	0.0204733	0.0503745	0.0781322	0.0106776	0.0216514
u	0.15851	0.157912	0.444976	0.0951362	0.0581327	0.00412349	0.0812095
é	0.0995616	0.189576	0.354936	0.166519	0.0250539	0.00645857	0.157896
d	0.0522503	0.104832	0.362487	0.174734	0.0425145	0.0905617	0.17262
í	0.00514655	0.0637594	0.211515	0.277865	0.0186471	0.049374	0.373693
l	0.0192703	0.0309233	0.166673	0.189886	0.0879074	0.0700621	0.435278
a	0.0143975	0.0491839	0.249052	0.407896	0.107688	0.0711994	0.100583
m	0.00779123	0.00492017	0.075443	0.153046	0.202601	0.36162	0.194578
í	0.00175736	0.00027923	0.00198794	0.0166834	0.0344676	0.878311	0.0665135
s	0.0107125	0.00225958	0.0570718	0.201408	0.208107	0.253176	0.267265
i	0.00292901	0.0100725	0.0889969	0.265399	0.0694941	0.0416132	0.521495
a	0.00356124	0.0038491	0.102156	0.185361	0.148923	0.0441084	0.512042
n	0.0110452	0.0423255	0.113086	0.26237	0.184195	0.0924836	0.294495
έ	0.00780652	0.0119397	0.0205885	0.0661802	0.1263	0.446781	0.320405
a	0.00125996	0.00261776	0.0647426	0.184139	0.109975	0.0634619	0.573804
n	0.0136375	0.0295718	0.0755279	0.236959	0.232381	0.0635133	0.348409
έ	0.00528914	0.00730775	0.0133206	0.0456138	0.125844	0.407401	0.395224
</S>	0.000522045	0.00163073	0.0392356	0.148938	0.0580945	0.0321074	0.719471
