 	j'	ai	acheté	du	poisson	à	la	femme	du	chef	</S>
n	0.924249	0.0366448	0.000899342	0.0139549	0.00171076	0.00575204	0.0142713	0.000135651	0.00113388	0.00121272	3.60477e-05
g	0.968858	0.0240854	0.000567681	0.00136934	0.00039849	0.000952829	0.0031093	0.000330194	9.60155e-05	0.000214262	1.82818e-05
á	0.84571	0.121844	0.0188226	0.00261175	0.00129726	0.0013349	0.00321269	0.00492353	0.000131243	8.58008e-05	2.63761e-05
í	0.0641605	0.202276	0.0627889	0.138109	0.0295036	0.0444848	0.0220437	0.00891715	0.0695936	0.00950972	0.348613
s	0.0010928	0.00347102	0.98107	0.00493703	0.00247372	0.000968766	0.000270857	0.000427575	0.00145922	0.00068646	0.00314264
ó	0.00142263	0.027371	0.956458	0.00320977	0.00750143	0.00107469	0.000404003	0.000358675	0.00032886	0.000137815	0.00173338
m	0.0182041	0.0437257	0.685803	0.131156	0.0501059	0.0239365	0.0128782	0.00402105	0.00476144	0.00744612	0.0179628
b	0.00295519	0.0397029	0.204543	0.287922	0.343051	0.0389941	0.0129085	0.0517632	0.00270504	0.00128657	0.014168
i	0.00115258	0.0129577	0.0896519	0.436661	0.141962	0.156262	0.0618853	0.00164098	0.0149601	0.00424077	0.0786256
a	0.0194355	0.0434934	0.00194032	0.524172	0.153009	0.0999518	0.110351	0.013952	0.0228327	0.000713568	0.0101497
s	0.00157527	0.00640824	0.0304185	0.350334	0.391846	0.131701	0.0239014	0.0194774	0.0215633	0.01159	0.0111854
w	0.00143336	0.013511	0.102903	0.105462	0.610093	0.0713379	0.0448714	0.0259148	0.0070805	0.00172749	0.0156657
é	0.00359319	0.0269995	0.047116	0.139463	0.517053	0.080846	0.0596556	0.110868	0.00401037	0.00144029	0.00895483
l	4.74977e-05	0.00110706	0.011431	0.137904	0.368441	0.260748	0.0814344	0.00801399	0.0665737	0.0141065	0.0501925
a	0.000476561	0.00463424	0.0160085	0.156232	0.338635	0.196867	0.0746574	0.0118888	0.0323389	0.017844	0.150418
m	0.00156894	0.0017663	0.00267483	0.0822921	0.0919499	0.225171	0.309553	0.051757	0.208018	0.00381522	0.0214335
w	3.55316e-05	0.000591862	0.000557617	0.0191156	0.0385763	0.0521208	0.0981888	0.74149	0.0190169	0.000495011	0.029812
á	1.55792e-05	0.000374227	0.00032754	0.0143136	0.0656674	0.0854616	0.0512108	0.750434	0.00766283	0.0046014	0.0199311
s	0.000240368	0.00210227	0.000301743	0.0188608	0.0183008	0.108159	0.386955	0.3909	0.0307695	0.000963083	0.0424465
í	0.00219186	0.00325796	0.00895855	0.0273441	0.117794	0.153433	0.24893	0.25134	0.0157393	0.0151853	0.155827
y	0.00112387	0.000931812	0.000402556	0.0193799	0.0242302	0.136767	0.192108	0.0318682	0.537223	0.0167954	0.03917
a	0.000227163	0.00268529	0.00342318	0.0362238	0.148124	0.152683	0.374154	0.0654963	0.132786	0.0273983	0.0567994
o	0.0001691	0.00129133	0.000752851	0.0144242	0.0804193	0.115664	0.604894	0.0210978	0.0938722	0.0470863	0.0203284
k	2.44899e-05	0.000382103	0.00108888	0.00493558	0.00857468	0.0279631	0.02543	0.00956096	0.246089	0.629391	0.0465595
o	1.3554e-07	4.48505e-06	0.000144508	0.00155973	0.00125687	0.0125246	0.0025516	0.000253283	0.0496398	0.89368	0.0383849
n	2.1674e-07	4.11878e-06	0.00013323	0.000615111	0.00127995	0.00306024	0.000909865	0.000225539	0.0222461	0.961136	0.0103897
d	2.86683e-05	3.86566e-05	0.00033146	0.000914223	0.000431268	0.00277518	0.00119312	0.000432584	0.00984873	0.931662	0.052344
z	2.34295e-05	3.26842e-05	8.17506e-05	0.0023393	0.00147606	0.0107094	0.00268946	0.00106857	0.0113458	0.881098	0.0891355
i	2.09414e-05	6.46885e-06	3.12883e-05	0.00115994	0.000950197	0.0135967	0.00363107	0.000555227	0.0101022	0.905645	0.0643013
</S>	0.000138978	0.000282456	9.8573e-05	0.00413232	0.00253201	0.0186954	0.0132469	0.00126798	0.119587	0.120024	0.719995
