 	la	femme	prépare	la	bouillie	</S>
o	0.950035	0.0478643	2.1689e-05	0.00069962	0.00108558	0.00029365
y	0.0947618	0.902266	0.00177982	0.000708674	9.22911e-05	0.000391134
ú	0.826603	0.172581	0.000491359	0.000250282	3.27598e-05	4.16528e-05
r	0.993086	0.00352643	0.000378362	0.00113229	0.000555913	0.0013213
u	0.876395	0.0193163	0.00936601	0.030018	0.00883771	0.0560673
l	0.342756	0.109424	0.205493	0.0955901	0.0079372	0.2388
á	0.350238	0.0275773	0.0749496	0.148	0.0023331	0.396902
a	0.832577	0.0133177	0.0526349	0.0741741	0.00730605	0.0199905
l	0.0260395	0.0150586	0.946042	0.00791053	0.00199433	0.00295482
á	0.0120381	0.00171764	0.970909	0.00869441	0.000518588	0.00612183
m	0.51069	0.00107455	0.404717	0.0705826	0.0028761	0.0100595
b	0.264281	8.89726e-05	0.380385	0.239565	0.0127221	0.102958
á	0.0831091	9.89199e-05	0.0321452	0.22857	0.0904628	0.565614
p	0.065354	0.0013404	0.201982	0.601563	0.0972316	0.0325298
ω	0.00464416	5.05263e-06	0.0174203	0.0169943	0.950282	0.0106546
t	0.000184865	5.33108e-06	0.0126812	0.0701353	0.911256	0.00573712
ω	0.000655857	3.19272e-06	0.0186235	0.0282784	0.843996	0.108443
p	0.00350951	2.63761e-05	0.0240579	0.386738	0.419964	0.165704
ώ	0.0247693	8.89393e-06	0.00696049	0.0443997	0.748602	0.17526
t	0.00099952	8.30126e-07	0.00198436	0.0690569	0.859401	0.0685573
ω	0.00206528	2.19604e-06	0.00280478	0.0154665	0.924773	0.0548887
</S>	0.00255685	5.62591e-06	0.00450445	0.194497	0.473414	0.325022
