 	accroche	le	sac	sur	cette	pointe	</S>
b	0.761902	0.175369	0.0402039	0.00485908	0.00835834	0.00904421	0.000263529
h	0.916808	0.0156976	0.0436319	0.00641981	0.012886	0.00399986	0.000556735
á	0.945865	0.032497	0.00581527	0.00292887	0.00279266	0.00193567	0.0081651
r	0.505082	0.156502	0.0847289	0.0306628	0.020603	0.026404	0.176018
í	0.211007	0.518647	0.170745	0.0432476	0.00938217	0.00149977	0.0454713
s	0.0111594	0.732336	0.111401	0.108473	0.0109046	0.00283089	0.0228951
á	0.0208198	0.534695	0.107457	0.232985	0.0607887	0.00271436	0.0405402
p	0.0156713	0.438072	0.249768	0.172066	0.0543391	0.023393	0.0466909
ε	0.00995748	0.0831392	0.815984	0.0423651	0.00582632	0.0351936	0.00753466
n	0.0407259	0.103724	0.694168	0.0765261	0.0181631	0.032601	0.0340921
g	0.0143471	0.139264	0.683359	0.121261	0.0247269	0.00977646	0.00726577
ε	0.00595409	0.0448482	0.895859	0.031388	0.00881773	0.00671557	0.00641683
ó	0.000560991	0.0892713	0.0219645	0.496056	0.205662	0.0833102	0.103175
t	0.00173049	0.0329313	0.00476912	0.323446	0.35196	0.172258	0.112905
s	0.00155891	0.0290733	0.00894507	0.192314	0.322174	0.358518	0.0874159
έ	0.00744795	0.0414558	0.0110034	0.270967	0.193792	0.438331	0.0370028
l	0.000938811	0.0143578	0.00597698	0.152318	0.116192	0.134105	0.576112
έ	0.000301682	0.0137614	0.0151294	0.158157	0.248409	0.131858	0.432384
w	0.000463097	0.0186268	0.00896814	0.133788	0.278283	0.225048	0.334823
ú	0.00234934	0.0282586	0.0110522	0.0989617	0.418066	0.375877	0.0654348
u	0.000166665	0.00140184	0.00235947	0.0503793	0.163694	0.364943	0.417056
</S>	0.000584272	0.0113511	0.010357	0.0626859	0.314087	0.310233	0.290702
