 	celui	qui	nous	a	lancé	les	pierres	c'	est	le	fils	d'	ibara	</S>
o	0.551208	0.184558	0.015556	0.206797	0.0178305	0.0119538	0.00351677	0.00138147	0.0011603	0.00354939	0.000483432	0.000637488	0.00128311	8.51001e-05
m	0.0092644	0.0142179	0.00354327	0.0404366	0.665749	0.0834112	0.137616	0.00831755	0.0108477	0.0052389	0.00635055	0.00324813	0.00957105	0.00218829
a	0.0190586	0.00904252	0.00683029	0.0330099	0.692425	0.161441	0.0663158	0.00206903	0.00346653	0.00261163	0.0022518	0.000473685	0.000278583	0.000725562
a	0.0113109	0.0163262	0.00166662	0.0430928	0.75116	0.040663	0.0689148	0.00827398	0.00901714	0.00306884	0.0039096	0.00411897	0.00130989	0.0371673
g	0.00841605	0.0270709	0.0485856	0.27439	0.418675	0.139898	0.0408977	0.0103589	0.00737782	0.00316874	0.00299001	0.00289777	0.00142013	0.0138533
h	0.00316725	0.0147482	0.013022	0.0246378	0.13642	0.252999	0.328244	0.10027	0.057254	0.0167187	0.00912854	0.00774897	0.00312731	0.0325142
i	0.00762782	0.0188455	0.0277189	0.0317831	0.056705	0.388753	0.348575	0.0603072	0.020184	0.0170861	0.00353303	0.00487041	0.000838574	0.0131723
b	0.00768607	0.0369225	0.234204	0.105986	0.0221579	0.356464	0.120676	0.0629837	0.0123902	0.00852838	0.00954704	0.00428411	0.00174685	0.0164232
í	0.0016634	0.00759068	0.85357	0.00766874	0.0128098	0.0388483	0.0191991	0.015219	0.0130779	0.0082949	0.0142282	0.00246361	0.00153797	0.00382784
s	0.001572	0.00440615	0.962185	0.0054071	0.00271541	0.00482999	0.00288461	0.00185259	0.00208826	0.00179679	0.00427502	0.000981155	0.00057344	0.00443297
í	0.00469415	0.0174994	0.253571	0.041244	0.0682078	0.198283	0.0228589	0.0155187	0.0236771	0.0595448	0.211457	0.0154219	0.000592393	0.06743
a	0.00151302	0.00851229	0.0925609	0.0933286	0.0769552	0.196986	0.183258	0.19431	0.0392327	0.0228651	0.00630126	0.0208293	0.00393252	0.0594162
b	0.000294845	0.0015165	0.00234767	0.0122053	0.0375296	0.0959235	0.400344	0.340243	0.0807313	0.00934599	0.0041686	0.00443741	0.00117419	0.00973803
v	0.00138987	0.00149352	0.0104629	0.00266208	0.0144641	0.0830753	0.294397	0.239617	0.246028	0.0467703	0.0201061	0.00630217	0.0249257	0.00830572
e	0.00015157	0.00039229	0.00656826	0.00107109	0.0146877	0.0944114	0.420116	0.239358	0.153561	0.0357154	0.0144871	0.00618561	0.0037046	0.00958923
é	0.00011665	0.000573765	0.0543527	0.00221	0.00564599	0.0635236	0.17758	0.426407	0.136172	0.0259252	0.0128849	0.00737444	0.00460584	0.0826277
d	0.00044748	0.00202733	0.00337538	0.0126734	0.010245	0.035116	0.0679223	0.396607	0.295319	0.0891009	0.022573	0.024916	0.00640978	0.0332676
i	0.000251602	0.000273629	0.000448017	0.000621171	0.00194019	0.00920432	0.0212329	0.297216	0.331137	0.0454506	0.0216005	0.0280396	0.00108869	0.241496
m	0.000410427	0.000613422	0.00136242	0.00199517	0.00374677	0.0279369	0.0540238	0.297299	0.276818	0.152363	0.0326909	0.0531313	0.0593247	0.0382838
w	0.00231357	0.00129602	0.00215161	0.000518735	0.00106467	0.00690859	0.00186016	0.041954	0.199541	0.193575	0.213598	0.0934084	0.0151303	0.226679
á	0.000724919	0.000845782	0.00511537	0.000567961	0.00203847	0.00457996	0.00229588	0.010204	0.0611929	0.0428241	0.733279	0.0166339	0.00320743	0.11649
n	0.00274871	0.00291088	0.080651	0.0024536	0.00126119	0.0193203	0.00393887	0.0324164	0.106088	0.252905	0.333525	0.0556193	0.0219483	0.0842138
a	0.00322404	0.00978557	0.00674677	0.00220879	0.00205882	0.00703037	0.00251501	0.0320746	0.138426	0.19904	0.366732	0.035477	0.00261855	0.192063
y	0.00131151	0.00343756	0.0011523	0.00447546	0.00198831	0.00701669	0.00359086	0.0628127	0.0833919	0.220277	0.138114	0.276973	0.0859014	0.109557
a	0.0122888	0.0401534	0.00808801	0.0104652	0.00984791	0.0216682	0.00710363	0.118368	0.20417	0.162428	0.0922701	0.157308	0.0332881	0.122553
i	0.00519634	0.0108095	0.00662799	0.00432438	0.000420598	0.00211896	0.000246308	0.0202619	0.0585424	0.276008	0.137059	0.27592	0.0423232	0.160141
b	9.59864e-05	0.000331922	0.000621803	0.00018261	0.000235327	0.000629872	0.000862808	0.0112564	0.0449648	0.0629209	0.0348382	0.157627	0.438792	0.24664
a	0.000190197	0.000416995	0.0005065	9.8203e-05	6.98018e-05	0.00136405	0.000895573	0.00539411	0.0243533	0.0214119	0.00519886	0.0242745	0.906062	0.0097639
r	3.1481e-05	7.60513e-05	0.000973052	5.05434e-05	6.71833e-05	0.000761988	0.000972929	0.00898957	0.0326108	0.0546518	0.0412654	0.0586752	0.680747	0.120127
a	0.000503913	0.000405485	0.000219197	0.000118601	0.00083102	0.00481025	0.0111048	0.0275405	0.104004	0.162546	0.0365992	0.120782	0.129452	0.401083
</S>	0.00152935	0.00205757	0.0010028	0.00158316	0.000488966	0.00268488	0.00115675	0.0119542	0.0256642	0.105185	0.0387658	0.263944	0.15313	0.390853
