 	la	seule	personne	qui	m'	offre	des	choses	dans	ce	village	c'	est	ondongo	</S>
o	0.14272	0.36779	0.186218	0.0559398	0.021589	0.0344756	0.0403487	0.0379021	0.0089695	0.0115369	0.0562414	0.0168855	0.0052079	0.00399206	0.0101833
k	0.000424108	0.00494121	0.00185976	0.00350387	0.00334371	0.783668	0.110628	0.0372623	0.0123681	0.0016602	0.0296928	0.00315724	0.00122647	0.00460348	0.0016608
a	0.000109605	0.000488022	0.000361518	0.00123131	0.000510285	0.90273	0.0368296	0.0176039	0.0221262	0.00316294	0.00548211	0.00434334	0.00174961	0.00178276	0.00148912
b	0.000175424	0.00250937	0.00200834	0.00759485	0.00932421	0.922672	0.0377623	0.00661867	0.00465048	0.000636388	0.00278484	0.000769429	0.00051111	0.00170922	0.000272969
h	0.0027529	0.00311447	0.00219646	0.0127768	0.154783	0.223018	0.302662	0.0919285	0.134183	0.0364613	0.00234621	0.0126165	0.00219341	0.00172142	0.0172456
i	0.00420227	0.00428108	0.00640156	0.0487501	0.260343	0.561735	0.0311168	0.00887935	0.0147741	0.00688308	0.00635591	0.00343221	0.00334688	0.0117013	0.0277979
n	0.00180774	0.00173008	0.00553211	0.0585486	0.339732	0.0259504	0.149608	0.114601	0.191445	0.0753855	0.0163193	0.00769384	0.00217402	0.000372053	0.009101
g	0.0053357	0.000911739	0.00117478	0.0330938	0.196311	0.00199325	0.0853416	0.202088	0.209417	0.164322	0.0128431	0.0137687	0.0141121	0.0223699	0.0369175
á	0.00258579	0.00171239	0.0026051	0.0275894	0.156286	0.000488841	0.0250832	0.142417	0.214209	0.144491	0.00527524	0.0402222	0.0307997	0.167946	0.0382885
s	0.00229856	0.00203935	0.00351972	0.0165407	0.0288796	0.00445288	0.0208789	0.0857255	0.307878	0.364846	0.0308854	0.087161	0.0304593	0.00546279	0.0089715
á	0.00308088	0.000690144	0.000750467	0.00797589	0.0446538	0.000622867	0.00796387	0.0450584	0.341595	0.331988	0.00960062	0.0885385	0.0418553	0.014295	0.0613307
p	0.0297919	0.00315672	0.00265708	0.0110308	0.0948379	0.00120285	0.00405617	0.0224057	0.0750026	0.125122	0.474123	0.0902467	0.0420927	0.0177246	0.00654889
o	0.000580907	0.000713138	0.000410956	0.00238187	0.00790605	0.00198683	0.0037204	0.0262176	0.0274322	0.0268601	0.796716	0.0654139	0.0163019	0.0126773	0.010681
o	0.000566279	0.000883051	0.00198353	0.00397573	0.00271919	0.000258399	0.000993132	0.00780432	0.00476156	0.0111646	0.924421	0.0253185	0.00693431	0.00527458	0.00294176
y	0.00282392	0.00727159	0.0146334	0.0102407	0.005848	0.000329127	0.00719329	0.0147989	0.080116	0.237164	0.0101701	0.305265	0.234646	0.0348903	0.0346099
é	0.0266131	0.00948926	0.0109142	0.0330818	0.0198176	0.000316858	0.00451797	0.0281183	0.0784949	0.176824	0.0605321	0.214884	0.207393	0.0424504	0.086552
o	0.0406938	0.00479263	0.00779198	0.0167368	0.0179185	9.64502e-05	0.00209664	0.00580962	0.0266492	0.108041	0.0128344	0.134391	0.343339	0.157128	0.121681
n	0.000317338	0.00135581	0.00151591	0.00262725	0.0018231	0.00146297	0.00257779	0.00727113	0.0238759	0.0330277	0.0250032	0.14551	0.192294	0.44227	0.119068
d	0.00022319	0.000642072	0.00054885	0.00543635	0.00726164	0.00029494	0.00117492	0.00177186	0.0108005	0.0153254	0.000558978	0.0405142	0.0878926	0.744516	0.0830381
ó	1.65334e-05	7.13171e-05	0.000170712	0.000417238	0.000245848	6.62442e-05	0.00152903	0.0117704	0.00935439	0.0164937	0.0217654	0.0621809	0.0816945	0.665859	0.128364
n	9.44787e-05	0.000134387	0.000438458	0.00148881	0.00146056	4.16261e-05	0.00105588	0.00994961	0.00662106	0.00833012	0.00184983	0.0178015	0.0118513	0.905854	0.0330281
g	0.000482975	0.00131736	0.00420762	0.00769055	0.00227731	0.000906512	0.00394355	0.0573309	0.0161869	0.0407823	0.143653	0.100677	0.0352103	0.490816	0.0945182
o	0.0025186	0.000688631	0.00152823	0.00630151	0.0138777	0.000752298	0.00775487	0.0861227	0.0108447	0.0276647	0.0313266	0.0447574	0.0158121	0.675119	0.0749312
o	0.000885647	0.0024781	0.00410991	0.00566662	0.00643702	0.000126217	0.0038624	0.0196249	0.0253961	0.120715	0.011459	0.153011	0.187953	0.178998	0.279277
t	0.00520264	0.00974079	0.0178209	0.0165188	0.0012164	0.000282136	0.00402665	0.00786103	0.0162798	0.0454114	0.000990637	0.100176	0.250031	0.248433	0.276009
o	0.012739	0.018639	0.0245827	0.028683	0.00336651	0.000602762	0.00382732	0.0153223	0.010639	0.0413062	0.0240964	0.141454	0.201688	0.308255	0.164799
</S>	0.000317251	0.000394229	0.00121255	0.00381778	0.00115927	0.000205301	0.00115564	0.00343005	0.00495364	0.0236717	0.024325	0.0836528	0.162309	0.227432	0.461964
