 	voici	le	bâtiment	de	l'	école	</S>
t	0.709683	0.283582	0.00124692	0.00278639	0.00257332	0.000107859	2.06865e-05
a	0.852246	0.130612	0.00932597	0.00280572	0.00415263	0.00062738	0.000230187
á	0.527408	0.357555	0.066783	0.017765	0.00462033	0.00376456	0.0221043
n	0.101203	0.382217	0.253282	0.0486259	0.0091141	0.00625309	0.199304
d	0.0249298	0.219609	0.586508	0.029697	0.0159607	0.0174097	0.105885
é	0.00741158	0.04874	0.91295	0.0062855	0.00426372	0.00929795	0.0110514
e	0.0469184	0.109444	0.620195	0.0499189	0.0540472	0.0591382	0.0603385
y	0.0943852	0.121131	0.138282	0.411095	0.144818	0.0318791	0.0584098
á	0.0554842	0.198944	0.136367	0.249387	0.122018	0.109947	0.127853
l	0.0538004	0.166945	0.124063	0.133225	0.140613	0.355966	0.0253866
e	0.0169401	0.0415117	0.126806	0.222158	0.1602	0.289791	0.142594
k	0.0254894	0.0238819	0.0163154	0.118429	0.158574	0.557256	0.100054
ώ	0.0298462	0.0197994	0.0373806	0.119957	0.139061	0.565439	0.0885169
ώ	0.00490252	0.00948431	0.0229513	0.0574272	0.108004	0.720262	0.076968
l	0.00840903	0.0208202	0.0139418	0.286576	0.183956	0.222012	0.264285
i	0.00813692	0.00934637	0.0189754	0.178184	0.146407	0.264339	0.374611
</S>	0.00399707	0.0116213	0.00659193	0.128789	0.12816	0.257772	0.463069
