 	j'	ai	six	poules	</S>
n	0.77161	0.127791	0.0905935	0.00730209	0.00270357
g	0.494466	0.371301	0.0437384	0.0054053	0.0850898
á	0.619669	0.344144	0.0134059	0.0160582	0.00672304
i	0.363055	0.389816	0.181982	0.0310905	0.0340575
d	0.0110409	0.305766	0.316784	0.0295146	0.336894
í	0.0353819	0.565673	0.18187	0.0257419	0.191333
l	0.0225599	0.210739	0.404034	0.0623342	0.300332
a	0.0210188	0.262706	0.245225	0.0393443	0.431706
t	0.0352687	0.238597	0.127568	0.44531	0.153257
s	0.00383659	0.0385506	0.113016	0.802004	0.0425937
ó	0.00100646	0.0144141	0.0516879	0.916471	0.0164205
s	0.00112433	0.0195817	0.0842953	0.778943	0.116056
ó	0.000616038	0.0194951	0.0640976	0.743845	0.171946
o	0.00129971	0.0590762	0.0803815	0.194518	0.664725
t	0.000323406	0.00487426	0.0165482	0.744446	0.233808
ó	0.000693467	0.0120502	0.158083	0.638227	0.190945
b	9.38529e-05	0.00473363	0.037215	0.678257	0.279701
h	0.00141934	0.0126616	0.102532	0.345881	0.537507
á	0.000446798	0.00998614	0.0494751	0.173981	0.766111
</S>	0.00409459	0.0246317	0.0321888	0.0599788	0.879106
