 	l'	enseignant	a	classé	les	élèves	en	groupes	</S>
o	0.933134	0.0530559	0.00462669	0.00125147	0.00624739	0.00133903	0.000100646	0.000226653	1.85668e-05
y	0.0501704	0.934574	0.0124272	0.00233671	5.95827e-05	4.19032e-05	4.5235e-05	0.000277684	6.74187e-05
é	0.0633736	0.926781	0.00619458	0.00239808	0.000279221	0.000247567	0.000210111	0.000337018	0.000178469
s	0.0332682	0.930575	0.0114176	0.00843098	0.00202489	0.00181442	0.00152213	0.00239282	0.00855374
i	0.165679	0.694219	0.117245	0.00307277	0.00624602	0.00227478	0.00225569	0.00168105	0.00732678
i	0.107345	0.322098	0.48551	0.0309898	0.00659155	0.00153266	0.0127612	0.000811286	0.0323602
á	0.0419372	0.0536911	0.78337	0.0877328	0.00498214	0.00114489	0.00764605	0.000312058	0.0191832
b	0.00214579	0.016381	0.0812483	0.883924	0.00214584	0.00444846	0.003592	0.00168531	0.00442878
h	0.00123531	0.000857632	0.0085525	0.98053	0.00371817	0.00158045	0.00165821	8.63633e-05	0.00178168
i	0.0230827	0.0173215	0.0191398	0.935697	0.00308735	0.00103741	0.000285261	0.00019385	0.00015484
i	0.00553502	0.00512578	0.0206243	0.94036	0.0134252	0.00160365	0.00183739	0.00202426	0.00946471
b	0.00981719	0.0012856	0.0433327	0.259371	0.535142	0.0579549	0.0233875	0.00544016	0.0642679
á	0.0138571	0.00123733	0.00630462	0.0958549	0.299071	0.5285	0.0268762	0.00405867	0.024241
n	0.0039498	0.00026103	0.00428867	0.0176725	0.501944	0.421961	0.0192894	0.00238114	0.0282524
a	0.00606146	0.000527077	0.00218016	0.00685203	0.698691	0.257712	0.00551652	0.00151024	0.0209497
m	0.00557759	0.000755295	0.0389011	0.0225066	0.815001	0.0391706	0.0527136	0.0028333	0.0225407
í	0.0226009	0.00179877	0.00866155	0.00919063	0.45623	0.0139619	0.134248	0.00328616	0.350022
k	0.0172392	0.0123916	0.0140292	0.0205781	0.104983	0.411452	0.099544	0.217571	0.102211
u	0.00593457	0.00426919	0.000874543	0.0399736	0.00843653	0.189805	0.0738274	0.570648	0.10623
n	0.0280651	0.00857185	0.00110717	0.0186748	0.109165	0.0491897	0.0588869	0.675958	0.0503811
g	0.00280361	0.00193447	0.00133016	0.0152109	0.0953136	0.0208955	0.0764389	0.585006	0.201067
a	0.00075392	0.000113455	0.000453697	0.00498141	0.03256	0.104402	0.0465968	0.709301	0.100838
</S>	0.000628321	0.000158953	0.00230734	0.00132271	0.0174949	0.00604233	0.267177	0.121471	0.583397
