 	le	footballeur	tient	un	éventail	</S>
o	0.848633	0.139228	0.00464751	0.00712791	0.00026243	0.000100813
b	0.151166	0.775009	0.0460311	0.00998017	0.0110564	0.00675736
έ	0.0294266	0.873306	0.0281609	0.00839079	0.0573506	0.00336559
r	0.426455	0.294856	0.117842	0.0623685	0.0399999	0.0584784
i	0.518755	0.273986	0.108791	0.0184067	0.0267896	0.0532715
d	0.26879	0.11101	0.354696	0.0920523	0.0173314	0.156121
i	0.411404	0.190425	0.196635	0.0217529	0.00196514	0.177817
n	0.344613	0.0941597	0.264852	0.174167	0.0031439	0.119065
g	0.138091	0.595532	0.18938	0.0266555	0.000795722	0.0495457
a	0.0318962	0.715861	0.202014	0.0303127	0.00154542	0.018371
á	0.0659144	0.152035	0.456136	0.228134	0.00740019	0.0903802
m	0.0448947	0.0709569	0.399008	0.340602	0.0518764	0.0926613
i	0.0383987	0.0539511	0.0754961	0.438938	0.116097	0.277119
k	0.00734415	0.0154539	0.0926607	0.352823	0.44827	0.083449
á	0.00135962	0.00328795	0.0790221	0.0875762	0.784911	0.043843
r	0.00330313	0.0138642	0.136952	0.141068	0.655323	0.0494895
á	0.0256669	0.0335479	0.205311	0.17654	0.405672	0.153262
e	0.0135423	0.0104879	0.0717519	0.421529	0.276515	0.206173
p	0.0160589	0.00538827	0.0170424	0.111294	0.682186	0.168031
f	0.000488787	0.000799116	0.0141319	0.0185468	0.929683	0.0363503
u	0.00320981	0.00378347	0.0126506	0.0214518	0.82685	0.132055
m	0.00851107	0.0032164	0.0507326	0.059846	0.547795	0.329899
b	0.0318214	0.00630144	0.0276267	0.128158	0.285979	0.520114
u	0.0865079	0.0269187	0.0683115	0.214572	0.304814	0.298876
</S>	0.00855643	0.00135225	0.0167905	0.108634	0.0972369	0.76743
