 	réveillez-moi	cet	enfant	qui	dort	</S>
l	0.754064	0.218571	0.0104459	0.00959294	0.00439922	0.00292639
é	0.317971	0.0850914	0.016409	0.359472	0.159179	0.0618776
l	0.465652	0.39116	0.0167009	0.0315536	0.013912	0.0810213
a	0.317211	0.0943435	0.0573189	0.158657	0.0914481	0.281021
n	0.403576	0.329001	0.00860667	0.0530293	0.0880461	0.11774
g	0.696507	0.205896	0.0421092	0.0363817	0.00161441	0.0174913
í	0.689761	0.201455	0.0843134	0.0152365	0.00248917	0.0067447
s	0.0291178	0.685293	0.0154766	0.145061	0.0233303	0.101721
á	0.0601573	0.670424	0.0212931	0.0619852	0.00376878	0.182372
n	0.0288647	0.619347	0.23953	0.0849177	0.0137251	0.0136153
g	0.0528688	0.647324	0.233051	0.0603434	0.00174358	0.00466938
á	0.0355125	0.431667	0.402964	0.0837595	0.0143166	0.0317812
m	0.00236065	0.531204	0.0660518	0.244806	0.0956209	0.059957
w	0.000189498	0.135237	0.147198	0.415335	0.0447854	0.257256
á	0.000557981	0.017965	0.743393	0.0904888	0.090147	0.0574484
n	0.000971134	0.112087	0.627838	0.217428	0.0241879	0.0174888
a	0.00105385	0.0496076	0.893654	0.0312533	0.00877816	0.0156527
y	0.00401636	0.366249	0.0430001	0.428912	0.0785053	0.0793175
e	0.00829075	0.573945	0.0211087	0.264012	0.0792167	0.0534268
é	0.00218238	0.283412	0.015659	0.537446	0.0908344	0.0704666
d	0.013421	0.0252443	0.00160697	0.242729	0.41139	0.305609
i	0.00178286	0.0149208	0.00113422	0.313183	0.3298	0.339179
ó	0.000580161	0.0229027	0.00137271	0.435637	0.167787	0.371721
f	0.0410235	0.0381196	0.00629638	0.208973	0.34001	0.365578
u	0.0141157	0.0349702	0.0285651	0.292266	0.37636	0.253723
l	0.000755547	0.0046081	0.00176697	0.0307391	0.117859	0.844271
u	0.00314628	0.0099515	0.00131795	0.130476	0.197161	0.657948
w	0.00147268	0.0244374	0.00214726	0.178445	0.145729	0.647769
ú	0.00425053	0.0529753	0.00969791	0.219982	0.136116	0.576978
u	0.00261471	0.0251979	0.00301492	0.260119	0.153652	0.555401
</S>	0.00597611	0.0266706	0.00113498	0.256434	0.0399164	0.669868
