 	il	est	dans	l'	atelier	de	menuiserie	</S>
w	0.726002	0.0720037	0.0593269	0.109178	0.0236715	0.00757498	0.00185424	0.000389042
a	0.822619	0.0174897	0.0165277	0.110972	0.00326279	0.0172363	0.0117299	0.000162218
a	0.152175	0.636639	0.113556	0.0652753	0.00184646	0.0157694	0.00587434	0.00886529
d	0.0429295	0.482772	0.243358	0.0542007	0.0174617	0.0674404	0.0247139	0.0671235
i	0.00754535	0.647735	0.236181	0.0390231	0.00311125	0.00368887	0.0070695	0.0556457
s	0.00347021	0.143414	0.553147	0.224421	0.0218353	0.00861312	0.00493809	0.0401611
á	0.0111243	0.0722352	0.424132	0.395028	0.0212036	0.00734956	0.0162369	0.0526908
k	0.0928346	0.032893	0.066635	0.378466	0.389518	0.0135499	0.012426	0.0136772
á	0.0176824	0.0242308	0.0373576	0.0740176	0.83955	0.00118591	0.00268966	0.00328643
n	0.0168339	0.0889804	0.244072	0.127277	0.400861	0.00873175	0.04248	0.0707641
d	0.0162838	0.0144236	0.0587161	0.095138	0.695109	0.0119537	0.00665584	0.10172
z	0.0369214	0.010209	0.0219044	0.146217	0.640208	0.0157817	0.00860735	0.120151
á	0.0305924	0.00642824	0.00658744	0.0483334	0.809958	0.00414236	0.00302456	0.0909334
l	0.0390386	0.0320175	0.126991	0.162481	0.163318	0.309282	0.00479669	0.162074
á	0.0129549	0.016153	0.0824081	0.272564	0.0593762	0.187453	0.0823862	0.286705
ω	0.0227487	0.0132282	0.0652876	0.197595	0.0465379	0.429537	0.137644	0.0874208
s	0.000934794	0.0109901	0.0243144	0.00969776	0.0589057	0.0852596	0.796667	0.0132305
á	6.89806e-05	0.00889724	0.0237168	0.00807804	0.000979505	0.0216105	0.924423	0.0122256
l	0.000875604	0.00402356	0.0147045	0.00982373	0.0104583	0.0454578	0.716813	0.197844
i	0.000433864	0.00204351	0.018495	0.0216409	0.0130805	0.0967425	0.51118	0.336384
a	0.000694023	0.00287411	0.0119609	0.0201846	0.00049658	0.20884	0.212657	0.542293
b	0.00373395	0.00578578	0.0293651	0.0350057	0.00522635	0.233148	0.12388	0.563855
á	0.00503203	0.0140211	0.130904	0.10985	0.00292835	0.301961	0.308428	0.126875
y	0.00224081	0.00474238	0.031428	0.017976	0.000978582	0.0579268	0.348889	0.535818
á	0.00139553	0.00637532	0.0377754	0.0391599	0.00788974	0.0649765	0.33233	0.510098
</S>	0.0080277	0.00440067	0.0325173	0.0759902	0.014703	0.103692	0.111922	0.648747
