 	j'	ai	un	abcès	à	la	cuisse	</S>
i	0.796193	0.0634246	0.0350092	0.0736175	0.0205879	0.00984294	0.00119771	0.000127131
p	0.00348045	0.0178736	0.115467	0.856402	0.00231863	0.000587709	0.00340632	0.000464675
i	0.00124397	0.00421527	0.394989	0.548308	0.0133964	0.0052117	0.0210984	0.011538
a	0.000582432	0.0289142	0.632268	0.311819	0.010667	0.00648491	0.00554053	0.00372401
í	0.0260245	0.391034	0.314674	0.102153	0.0680802	0.0295017	0.00334799	0.0651847
m	0.0138994	0.483929	0.288208	0.0997458	0.0570084	0.0283676	0.00406551	0.0247764
i	0.00321805	0.170991	0.287669	0.16214	0.162198	0.138219	0.00616553	0.0693982
p	0.000212361	0.0371196	0.348432	0.435542	0.0652616	0.0384689	0.0174506	0.0575122
f	2.32209e-05	0.00936597	0.416208	0.337726	0.0760728	0.0314341	0.0519255	0.0772435
e	2.11364e-05	0.0130978	0.339114	0.379301	0.107506	0.0342482	0.0305688	0.0961429
e	0.000142032	0.00510602	0.0658641	0.210293	0.440397	0.192358	0.0655878	0.0202516
n	0.000180608	0.00803952	0.0234615	0.0772453	0.518886	0.233266	0.0666487	0.0722722
á	0.0111418	0.0188146	0.0337685	0.0214293	0.465665	0.166541	0.104899	0.17774
n	0.00301954	0.0212945	0.0118589	0.0146599	0.399253	0.365417	0.0701555	0.114342
g	0.124432	0.0976143	0.0327212	0.00508404	0.170454	0.180054	0.104026	0.285615
á	0.0554447	0.0766169	0.0245849	0.0141497	0.226905	0.291444	0.223123	0.0877321
m	0.000117506	0.00449916	0.0116561	0.0129126	0.23633	0.436611	0.125505	0.172369
é	0.000112984	0.00672135	0.0130719	0.00540218	0.0651595	0.274687	0.121964	0.51288
b	9.14253e-05	0.00634063	0.0104904	0.0415447	0.0699613	0.194819	0.428587	0.248166
ε	6.899e-05	0.000547379	0.00180946	0.0386581	0.00707844	0.025615	0.907243	0.0189796
l	1.18371e-05	0.000364395	0.00267929	0.00636604	0.0187181	0.0432337	0.667975	0.260652
ε	8.44478e-05	0.000968237	0.00684712	0.0214452	0.0507213	0.0813907	0.25097	0.587573
</S>	0.000167329	0.00542261	0.00682016	0.00178609	0.0309166	0.0919276	0.0324542	0.830505
