 	ils	ont	tué	opepenga	c'	est-à-dire	le	petit	du	buffle	</S>
b	0.739429	0.191265	0.0286712	0.00344442	0.0139992	0.0130655	0.00678847	0.00103567	0.00223655	5.23719e-05	1.1997e-05
á	0.832616	0.0982315	0.0390484	0.000112216	0.00191359	0.0228815	0.00231405	0.00112167	0.00124142	0.000438084	8.19926e-05
a	0.815425	0.099297	0.0136203	0.000414157	0.00151468	0.0540671	0.00517217	0.00295752	0.00110544	0.00549577	0.000931376
á	0.131244	0.683996	0.0610718	0.00507212	0.0314599	0.00401223	0.0235034	0.0118974	0.00791438	0.002255	0.0375735
b	0.00413102	0.371066	0.535324	0.0519919	0.00890788	0.00158257	0.00339089	0.00754318	0.00468693	0.00180148	0.00957473
o	0.0127307	0.292549	0.544648	0.0612827	0.0248846	0.00584946	0.0116519	0.0150723	0.00453321	0.00564515	0.0211527
m	0.00113276	0.198411	0.621458	0.121596	0.018039	0.00206558	0.00541366	0.0133804	0.00258286	0.00387167	0.0120497
i	0.0142516	0.0655488	0.146302	0.0386657	0.451961	0.103085	0.0818153	0.0327024	0.0246582	0.015479	0.0255302
o	0.0521652	0.0920213	0.0676832	0.292573	0.324596	0.06399	0.0313049	0.0105483	0.0115535	0.0108612	0.042703
p	0.000199121	0.0084386	0.0920477	0.735485	0.0826596	0.0367506	0.00576599	0.0107479	0.00338022	0.0119689	0.0125566
é	7.3131e-06	0.000968499	0.015879	0.969025	0.00419268	0.000803552	0.000772594	0.00173295	0.000445063	0.000876862	0.00529626
p	0.000229312	0.0119773	0.035999	0.921233	0.00766325	0.00178289	0.00329467	0.00385906	0.00197592	0.00125471	0.0107308
e	0.000169486	0.00138014	0.00196878	0.973202	0.00412466	0.000626073	0.00207651	0.00200606	0.000927927	0.000541931	0.012976
n	0.00516467	0.0154745	0.0164245	0.617402	0.0313709	0.0190566	0.0189649	0.0107538	0.007143	0.00955104	0.248694
g	0.00575901	0.0162798	0.009121	0.571708	0.10131	0.0933134	0.0410608	0.0234724	0.0137995	0.0110945	0.113081
á	0.00161815	0.0209312	0.0055702	0.137521	0.242322	0.102853	0.0850544	0.077344	0.0226287	0.104198	0.19996
m	0.00103061	0.0053488	0.00300471	0.032472	0.477896	0.16415	0.243589	0.026203	0.0267085	0.00544946	0.0141474
b	0.00269438	0.00170817	0.00137763	0.000916669	0.0293718	0.856811	0.0427418	0.017008	0.00662289	0.0179176	0.02283
í	0.00344952	0.00029073	0.00039223	0.000593859	0.012219	0.923792	0.0151963	0.00620345	0.0018518	0.0318862	0.0041246
m	0.00154758	0.000942594	0.000841945	0.00041213	0.0129195	0.929736	0.0289679	0.00472707	0.00242734	0.00439966	0.0130785
w	0.000156868	6.60998e-05	9.80111e-05	5.49832e-05	0.00603226	0.956987	0.0164143	0.00764164	0.00283571	0.00357763	0.00613566
á	0.000546766	0.000159931	0.000458381	0.000431881	0.00574664	0.927813	0.0135326	0.0151113	0.00315489	0.0171677	0.0158767
n	0.000302241	0.000308124	0.000405309	0.000256515	0.030469	0.768025	0.0791971	0.0461555	0.0239317	0.0181771	0.0327721
a	0.00401257	0.00631893	0.00148084	0.00026777	0.0737446	0.491211	0.140823	0.120277	0.025	0.0389917	0.0978726
y	0.000441872	0.00233014	0.00080504	0.00408126	0.128387	0.021972	0.470017	0.162951	0.147893	0.00458887	0.056533
a	9.64607e-05	0.00122992	0.000504804	0.00440678	0.133514	0.0191851	0.200926	0.302652	0.166946	0.082535	0.0880036
n	4.76723e-05	0.000584374	0.000282857	0.000525298	0.0774174	0.00592249	0.239404	0.310977	0.242432	0.0774478	0.0449603
d	0.000132304	0.000471501	0.00013571	0.000190578	0.022565	0.00967341	0.136679	0.417973	0.1958	0.157657	0.0587218
z	4.57139e-05	0.000265878	0.000204838	0.000648848	0.00542941	0.00420122	0.0538281	0.366744	0.135229	0.335087	0.0983158
á	8.03038e-06	2.67086e-05	3.92883e-05	0.000404378	0.00631711	0.0585428	0.039312	0.366129	0.0857326	0.374338	0.0691501
a	6.29462e-06	5.29507e-05	0.000138987	0.00145874	0.0130133	0.0169174	0.0599892	0.181823	0.0913939	0.105271	0.529935
</S>	5.42881e-05	0.000415964	0.000143557	0.000258796	0.00819608	0.00211183	0.104024	0.149	0.294547	0.0365057	0.404743
