 	n'	as-tu	pas	trouvé	un	emploi	depuis	que	tu	es	parti	en	ville	</S>
e	0.420887	0.216982	0.0710348	0.0243301	0.0773003	0.0229174	0.0349944	0.0344515	0.0509187	0.0359372	0.00193997	0.00766963	0.000277522	0.000360006
t	0.151951	0.150162	0.100367	0.130209	0.037816	0.012436	0.0400858	0.0349048	0.1175	0.0960133	0.0919513	0.0263553	0.00607318	0.00417492
ε	0.0280596	0.0626532	0.0523597	0.129104	0.0990152	0.00812043	0.0998601	0.0996243	0.0601842	0.198249	0.0997587	0.0206025	0.0228609	0.0195478
r	0.035573	0.0482637	0.0716902	0.0994863	0.0887925	0.00783667	0.0825798	0.0304576	0.0496322	0.34852	0.0327427	0.0317601	0.0349803	0.0376848
ε	0.0931875	0.173974	0.0498643	0.0317619	0.0678442	0.0874031	0.123484	0.0462873	0.10628	0.16799	0.0165594	0.00928353	0.0142014	0.0118779
y	0.163478	0.0851696	0.394774	0.0762009	0.0664489	0.0330759	0.0647055	0.0394396	0.0226497	0.0100312	0.00886657	0.0146486	0.000933194	0.0195777
á	0.173798	0.0857167	0.106777	0.0262327	0.0342593	0.184607	0.0648164	0.0477643	0.0405196	0.0670172	0.0359123	0.0248827	0.0433896	0.0643072
á	0.13727	0.132166	0.078542	0.0466083	0.05065	0.160881	0.0970433	0.114087	0.0474786	0.0379093	0.0197391	0.0142197	0.0561725	0.00723259
d	0.081628	0.141764	0.175652	0.204026	0.0878525	0.0527812	0.0416228	0.0417002	0.0539929	0.0307321	0.0218893	0.020381	0.0139155	0.0320619
z	0.0084552	0.00572465	0.0535724	0.186826	0.0754474	0.137369	0.0672499	0.0705291	0.0882124	0.0280339	0.0463854	0.0338928	0.0277744	0.170527
w	0.0353591	0.0069509	0.0965953	0.254217	0.0669684	0.107367	0.0879778	0.0206154	0.0246179	0.0542351	0.193562	0.0149093	0.0228094	0.0138163
a	0.0161816	0.00683315	0.0752059	0.134846	0.0803279	0.10395	0.173217	0.0340925	0.0234576	0.0830347	0.125635	0.0384107	0.0414204	0.0633876
n	0.0113158	0.0122117	0.13278	0.122822	0.1715	0.163244	0.168478	0.0662194	0.0221151	0.0171399	0.0150884	0.0208898	0.00232431	0.0738718
ώ	0.00861635	0.140647	0.0581306	0.0209479	0.0354972	0.162836	0.0685138	0.0838393	0.0900799	0.0373829	0.00581208	0.0110686	0.0786701	0.197958
n	0.00475689	0.0130791	0.130479	0.105956	0.148356	0.0769747	0.194935	0.129896	0.0582823	0.0598374	0.0181125	0.0229488	0.00649884	0.0298872
g	0.0100858	0.057074	0.0450865	0.0318506	0.0591687	0.290535	0.0938819	0.0693342	0.0717388	0.0684799	0.00336129	0.0080385	0.0579066	0.133458
y	0.00373721	0.0780244	0.0334578	0.0168542	0.0493405	0.273657	0.0904936	0.0780238	0.0937822	0.131709	0.00356177	0.00679041	0.0931401	0.0474274
e	0.00431641	0.00857906	0.060896	0.137537	0.160767	0.0956461	0.118523	0.0254577	0.0410236	0.174737	0.0300927	0.0157614	0.0258799	0.100784
l	0.00230786	0.00926162	0.0945139	0.104163	0.138724	0.0400806	0.098948	0.0847524	0.107392	0.0896642	0.0615675	0.0362655	0.00208488	0.130275
ε	0.00433161	0.0264999	0.0478658	0.0680377	0.186831	0.135138	0.151328	0.119349	0.107275	0.0475507	0.0060116	0.0205695	0.00567993	0.0735308
y	0.00265314	0.00249869	0.0211523	0.0396623	0.0742651	0.0930854	0.14018	0.114589	0.12481	0.161125	0.0738828	0.0308161	0.00669876	0.114581
é	0.0176227	0.00681463	0.0562426	0.0984392	0.150412	0.179029	0.179943	0.0995793	0.0349752	0.0753195	0.0685597	0.0138168	0.00906161	0.0101847
n	0.00305395	0.00218995	0.0129366	0.0169374	0.0569224	0.24147	0.118559	0.191247	0.0927749	0.106382	0.0678774	0.0403827	0.0119962	0.0372704
ω	0.00150087	0.00727579	0.00358138	0.00357855	0.00842849	0.307535	0.0268392	0.080836	0.209196	0.184544	0.0104152	0.01191	0.085191	0.0591686
o	0.000102816	0.000485963	0.00352477	0.00531967	0.00956145	0.0287016	0.034588	0.0818213	0.102755	0.364114	0.181858	0.0681687	0.0239672	0.0950305
s	0.00512756	0.00482339	0.0389011	0.12323	0.0811079	0.0348782	0.0190056	0.0212012	0.0657271	0.160173	0.288609	0.119498	0.00805625	0.0296619
á	0.00196347	0.00109272	0.00647513	0.0319137	0.027514	0.101902	0.010261	0.0245122	0.0495025	0.13881	0.360693	0.080702	0.0383758	0.126282
a	0.000427902	0.000498798	0.00226114	0.00459396	0.0164263	0.340849	0.0123196	0.137211	0.101841	0.0419083	0.0996487	0.0789578	0.0202254	0.142831
i	0.000793396	0.000300822	0.00162679	0.00333543	0.00725865	0.109131	0.0346697	0.0897277	0.0970812	0.0913311	0.11351	0.198605	0.113623	0.139005
s	0.00264154	0.00150182	0.00724596	0.0214509	0.0137525	0.0168162	0.0122096	0.0199161	0.0495504	0.0796591	0.143252	0.204942	0.11613	0.310932
á	0.000894304	0.000467305	0.00325795	0.00926652	0.00415363	0.0303347	0.00294236	0.00994854	0.0275269	0.07189	0.400213	0.141021	0.12128	0.176804
l	0.000269165	0.000166651	0.00115859	0.00238749	0.00645792	0.076326	0.00679157	0.0300407	0.0446143	0.0402161	0.0924807	0.175821	0.0811759	0.442093
a	0.000200752	0.00032905	0.000840292	0.00273157	0.00528692	0.0447144	0.00946486	0.0677511	0.0975167	0.0873546	0.060728	0.164106	0.178866	0.28011
o	0.000152031	0.000104306	0.000729631	0.000934412	0.00336003	0.0334628	0.0106963	0.0418125	0.0471788	0.0974551	0.0830226	0.232555	0.191707	0.25683
d	0.000367933	0.000655565	0.00747734	0.0264143	0.0124973	0.0164679	0.00455779	0.00846667	0.0249526	0.0748102	0.130319	0.181287	0.196724	0.315003
i	0.00052745	0.000229721	0.00437806	0.0361388	0.0158181	0.0127503	0.0018339	0.00529723	0.0137756	0.0289863	0.20895	0.182576	0.0340718	0.454667
