 	elle	aime	le	riz	elle	ne	mange	rien	d'	autre	</S>
w	0.910598	0.00319111	0.0500415	0.0085467	0.00522497	0.00355111	0.000511846	0.00359268	0.0122367	0.00234442	0.00016146
a	0.894883	0.00151246	0.049691	0.00640613	0.0106699	0.00787642	0.00233429	0.00237789	0.0175353	0.00652601	0.000187815
l	0.359656	0.261213	0.169719	0.0298612	0.0375383	0.0279806	0.0210599	0.0199234	0.0275836	0.00416849	0.0412964
á	0.130118	0.121533	0.133179	0.0673202	0.120879	0.0992865	0.0481396	0.0233655	0.0327818	0.0186131	0.204784
a	0.362931	0.0638746	0.0780824	0.0171807	0.0608473	0.037588	0.0357384	0.0571336	0.0552418	0.0413978	0.189984
d	0.00937715	0.971306	0.0026299	0.00187964	0.00208713	0.00296553	0.00449973	0.000326503	0.000464097	0.000350129	0.00411389
i	0.000355614	0.989114	0.00140879	0.000360753	0.00035403	0.00167713	0.00385214	9.47762e-05	0.000115359	0.000109107	0.00255854
n	0.0276267	0.769716	0.0605596	0.00693791	0.00456157	0.0161246	0.030217	0.00731276	0.00464333	0.00341363	0.0688869
g	0.035087	0.2308	0.465901	0.0500621	0.0479552	0.0264003	0.0154003	0.0339502	0.0169293	0.00916699	0.0683478
á	0.0919054	0.103609	0.423484	0.267009	0.0267083	0.0119413	0.00696889	0.0142397	0.00564519	0.00329703	0.0451925
l	0.0453343	0.031711	0.655415	0.166359	0.0362771	0.0292326	0.00355605	0.0083434	0.0113037	0.00680587	0.00566261
ώ	0.0226714	0.0447527	0.235857	0.207244	0.10758	0.0671483	0.0224643	0.0329075	0.0214159	0.00858746	0.229372
s	0.00695549	0.0482628	0.101836	0.511609	0.0617217	0.0314879	0.0293016	0.0111264	0.00842211	0.0412146	0.148062
ω	0.00170779	0.0335824	0.0690891	0.622371	0.0589626	0.035594	0.0268567	0.0385595	0.00714309	0.0571226	0.0490114
w	0.000786506	0.0299831	0.072625	0.363096	0.16742	0.0739248	0.0540703	0.032228	0.0269607	0.0320769	0.146828
a	0.0114135	0.0279056	0.294285	0.147319	0.33883	0.0497598	0.0141487	0.0159682	0.0302221	0.00827726	0.0618715
a	0.00318016	0.0127111	0.111111	0.0783522	0.492419	0.132542	0.0317032	0.0283078	0.0401375	0.00962773	0.0599083
d	0.00348326	0.0623321	0.0142099	0.0104289	0.11654	0.30409	0.200643	0.0922012	0.0646267	0.017579	0.113866
i	0.000390759	0.0124086	0.00363043	0.00135391	0.0358595	0.16586	0.240918	0.142108	0.0365988	0.0266919	0.334179
b	0.000178616	0.00358456	0.0132634	0.00147591	0.0374689	0.251043	0.266108	0.155179	0.147817	0.0548674	0.0690146
e	0.00392984	0.0169808	0.013541	0.0157855	0.0655326	0.284043	0.0776251	0.0439595	0.206773	0.0640654	0.207764
a	0.000885634	0.00705684	0.0157997	0.00937151	0.0897884	0.201025	0.0922428	0.0383688	0.176651	0.0284763	0.340334
i	0.000414924	0.00343189	0.00439849	0.00119886	0.0252477	0.0642023	0.0952892	0.198982	0.264363	0.0993629	0.243108
s	0.00106145	0.0451324	0.013799	0.0021297	0.00845863	0.0632889	0.110118	0.129833	0.277246	0.17976	0.169173
ú	0.000150864	0.00579167	0.00250075	0.00244089	0.00159004	0.0155316	0.0955645	0.35289	0.0436494	0.399076	0.0808145
s	8.9372e-05	0.000399312	0.00150468	0.000695184	0.00470401	0.0158548	0.0592168	0.217748	0.117707	0.418442	0.163639
u	9.50562e-05	0.000486134	0.00137171	0.000261929	0.00402411	0.016835	0.0437342	0.253175	0.115177	0.522817	0.0420222
ω	8.61121e-05	0.00186638	0.0069492	0.00245377	0.0321221	0.0547194	0.048967	0.127177	0.223575	0.126118	0.375967
d	9.28386e-05	0.00539836	0.00375353	0.000291557	0.0036253	0.0194062	0.036916	0.164576	0.303947	0.236298	0.225696
z	2.91546e-05	0.00401226	0.00104999	0.000331714	0.002177	0.0116808	0.0775581	0.214267	0.0717791	0.413851	0.203265
á	0.000359444	0.00736582	0.0031779	0.000311654	0.0116362	0.0350484	0.155681	0.101261	0.128443	0.402066	0.15465
a	0.000129639	0.00100698	0.00335718	0.000961834	0.00599519	0.0188042	0.0280736	0.0699488	0.133748	0.0885066	0.649468
k	0.000208217	0.00683065	0.0033237	0.00168369	0.0107978	0.0212059	0.0388926	0.0808941	0.135593	0.289836	0.410734
a	0.000176552	0.0112579	0.00334761	0.00174021	0.00515382	0.0328965	0.0172886	0.0509434	0.31132	0.152846	0.41303
á	0.000128088	0.00224031	0.00100749	0.000584278	0.00145429	0.00546775	0.00531855	0.00706496	0.0530296	0.08054	0.843165
</S>	0.00146148	0.00552512	0.00855382	0.00326105	0.0565124	0.0380422	0.0435681	0.0866084	0.110969	0.100598	0.544901
