 	le	chasseur	a	flétri	des	feuilles	du	bananier	pour	emballer	la	viande	</S>
o	0.926228	0.0605294	0.00157979	0.00735965	0.00150597	0.000828022	0.000666709	0.00068753	0.00032232	7.36434e-05	0.000196089	4.13301e-06	1.9137e-05
b	0.144833	0.783069	0.00991748	0.0351861	0.00362353	0.00301229	0.00315699	0.00525953	0.00146098	0.00464623	0.00116904	0.00124996	0.00341512
e	0.216935	0.505267	0.00412225	0.233533	0.00465224	0.00721722	0.00366736	0.00576617	0.00435943	0.00286665	0.00327775	0.00683831	0.00149802
n	0.106879	0.795788	0.0107083	0.0238473	0.00801639	0.0152371	0.00473311	0.00754894	0.00553677	0.00517075	0.00176031	0.00310039	0.0116742
g	0.874467	0.0855472	0.0167675	0.00291963	0.00342429	0.00284489	0.00227582	0.0017277	0.00222551	0.00124653	0.00104771	0.000942427	0.00456334
i	0.675405	0.281172	0.0207913	0.00906224	0.00270584	0.00258103	0.00146645	0.00110396	0.00110237	0.000662985	0.00104635	0.000654882	0.00224612
á	0.109788	0.00697884	0.789277	0.0287899	0.0258135	0.0118697	0.00594433	0.00207634	0.00668874	0.00120648	0.00282823	0.000110298	0.00862842
b	0.00459306	0.00835622	0.283143	0.479641	0.0956499	0.0790039	0.0136481	0.00858525	0.00565401	0.00832694	0.00203401	0.000414269	0.01095
ω	0.00076609	0.0152217	0.0802465	0.566541	0.135168	0.126555	0.0211519	0.00870562	0.0108301	0.0190299	0.00436161	9.55294e-05	0.0113277
b	0.00262619	0.00453943	0.149697	0.372307	0.211026	0.137204	0.0454638	0.0177736	0.0228008	0.0139907	0.00479066	0.000255085	0.0175262
h	0.0020408	0.00102339	0.107746	0.388811	0.103734	0.199445	0.117165	0.0422879	0.0161348	0.00436618	0.00526458	0.000485451	0.0114959
i	0.00365755	0.00407939	0.0563017	0.520442	0.140412	0.114861	0.0735136	0.0287012	0.0169628	0.00734493	0.0112178	0.00334959	0.0191568
i	0.00438329	0.000901002	0.0765155	0.0425704	0.43655	0.177153	0.131296	0.0463334	0.0264261	0.0107032	0.0110036	0.00104342	0.0351213
k	0.000291312	0.000415538	0.00643317	0.0141942	0.261627	0.368665	0.19326	0.100859	0.0270987	0.0126158	0.00329439	0.000574571	0.0106719
á	0.000108123	0.000124709	0.00142663	0.0169861	0.118651	0.515702	0.174583	0.121906	0.0121596	0.0306053	0.00115904	0.0001834	0.00640537
s	9.99966e-05	0.000163378	0.006838	0.03501	0.113947	0.537859	0.175332	0.0720921	0.0165699	0.015153	0.00369422	0.000290256	0.022951
i	4.3463e-05	6.75005e-06	0.0034916	0.0101295	0.159226	0.441874	0.19593	0.140049	0.012532	0.0110701	0.00729903	0.00107327	0.0172753
y	9.28192e-05	6.04097e-06	0.00479151	0.00130061	0.0983769	0.280722	0.381887	0.154923	0.0457632	0.00733858	0.0101637	0.000185421	0.0144494
