 	le	vent	éteint	le	feu	</S>
o	0.884322	0.0994228	0.00919542	0.00474914	0.00163932	0.000671034
p	0.0140596	0.983819	0.000862687	0.000330867	0.000271629	0.000656116
ε	0.00344716	0.994723	0.000646926	0.000437662	0.000209963	0.000535567
p	0.00419867	0.982406	0.00473474	0.00301736	0.00174236	0.00390033
ε	0.427586	0.548011	0.00316497	0.00308933	0.000367661	0.017781
m	0.374506	0.438576	0.0266006	0.0943064	0.00349155	0.0625201
ó	0.767091	0.0544157	0.035543	0.0714509	0.00551802	0.0659816
o	0.811759	0.0513064	0.0259531	0.0829459	0.0124786	0.0155569
d	0.0331512	0.0806356	0.632192	0.0901079	0.131695	0.0322183
í	0.00123028	0.00302291	0.762236	0.0869568	0.0739568	0.0725976
m	0.0090812	0.00347788	0.451533	0.265098	0.0911294	0.17968
í	0.00217326	0.00136412	0.521919	0.140658	0.26165	0.072236
s	0.0047377	0.000929029	0.107707	0.223321	0.466953	0.196352
á	0.000607366	0.000593116	0.0534935	0.114375	0.589282	0.241649
m	0.00194155	0.00120282	0.024138	0.110402	0.728492	0.133823
í	0.000504368	0.00119939	0.15547	0.0776569	0.576583	0.188586
á	0.00367171	0.00143354	0.06118	0.14318	0.620638	0.169896
</S>	0.00494659	0.00231871	0.0344498	0.106457	0.373412	0.478415
