 	je	connais	des	champignonnières	naturelles	</S>
n	0.973769	0.00566826	0.0194419	0.000352124	0.000690293	7.88476e-05
g	0.998801	0.000277231	0.000887336	3.03411e-06	7.85413e-06	2.34188e-05
á	0.992712	0.00335118	0.00360686	0.00017509	0.000133098	2.13585e-05
l	0.389472	0.173574	0.376947	0.0102944	0.0103061	0.0394059
í	0.489148	0.282531	0.0605353	0.0178375	0.0088452	0.141104
i	0.0768195	0.266402	0.260345	0.0858917	0.00893414	0.301607
y	0.00207478	0.885826	0.0578173	0.0376744	0.0107894	0.0058182
é	0.000427871	0.916047	0.074748	0.00782879	0.000409469	0.00053941
b	0.00354737	0.511376	0.374553	0.0908422	0.00145279	0.018229
h	0.00767314	0.381471	0.487233	0.105281	0.00724164	0.0111004
á	0.0135586	0.0381843	0.149831	0.246273	0.0850306	0.467123
i	0.0205063	0.0928819	0.625603	0.122189	0.102405	0.0364143
k	0.00579707	0.0164178	0.0896646	0.364763	0.41889	0.104468
i	0.000131508	0.00144847	0.0248709	0.303024	0.651156	0.019369
l	2.65903e-05	0.00555023	0.0429171	0.345084	0.518046	0.0883764
í	0.000410644	0.00959232	0.0631714	0.201315	0.202041	0.523469
b	0.00119252	0.0119407	0.0692503	0.0675269	0.295538	0.554552
á	0.0209423	0.0145661	0.0695677	0.0173961	0.489172	0.388356
a	0.0273416	0.0118552	0.14563	0.00485489	0.321176	0.489142
k	0.000427924	0.0120972	0.0119344	0.198088	0.399173	0.37828
o	3.28905e-05	0.00317236	0.00949614	0.0944397	0.865565	0.0272936
m	5.47841e-05	0.00149537	0.00941964	0.032984	0.930596	0.0254503
b	0.00147981	0.012837	0.0478862	0.0599548	0.260498	0.617344
ó	0.00973635	0.000932588	0.0273615	0.00896984	0.2245	0.7285
</S>	0.00346397	0.00992196	0.0430521	0.0543916	0.0274319	0.861739
