 	il	m'	a	appelé	pour	juger	l'	affaire	qui	l'	opposait	à	sa	femme	</S>
w	0.923976	0.0271937	0.0168376	0.00880193	0.00461045	0.00115913	0.00751136	0.00216735	0.00218615	0.00229618	0.000315872	0.000312851	0.00260613	4.02892e-06	2.1079e-05
a	0.877629	0.0651319	0.0153327	0.0166157	0.0139994	0.000789166	0.00379881	0.000495013	0.00158261	0.00171712	0.000249399	0.000155995	0.00189414	0.000602425	6.39947e-06
á	0.107535	0.132377	0.624391	0.0625288	0.030304	0.0126584	0.00662145	0.00124651	0.00201624	0.00416149	0.00159014	0.00247331	0.00228822	0.00727508	0.00253408
b	0.0386866	0.0412326	0.545015	0.265048	0.0262233	0.0142145	0.00581797	0.00252026	0.00550821	0.00306248	0.00504943	0.0132463	0.00878695	0.00237517	0.0232138
é	0.0253044	0.0310437	0.102212	0.685917	0.0539048	0.0206597	0.0103205	0.00825187	0.0096885	0.00954529	0.0123349	0.0133768	0.00284757	0.00253906	0.0120537
i	0.00240293	0.0244751	0.279759	0.586708	0.0479592	0.0250948	0.00370009	0.00238861	0.00164645	0.00237612	0.00244562	0.00414927	0.000222917	0.00100292	0.0156684
n	0.0591601	0.472093	0.120151	0.141119	0.132259	0.0235202	0.0156174	0.00462427	0.0031303	0.00415734	0.00708748	0.00339402	0.00260508	0.000855952	0.0102261
g	0.10594	0.64457	0.0586926	0.0622664	0.0882191	0.003803	0.00809703	0.000746918	0.00550682	0.0046724	0.00111929	0.00306751	0.00886837	0.0024047	0.00202577
á	0.0359508	0.879958	0.0202166	0.0131896	0.0195166	0.00125119	0.00298035	0.000753748	0.00224184	0.00324549	0.000929008	0.00167212	0.00102074	0.0126026	0.004471
m	0.0256045	0.0796488	0.0831915	0.144692	0.4338	0.0954448	0.0525196	0.0145625	0.0111016	0.0179823	0.0165237	0.00911669	0.00836034	0.00200574	0.00544584
í	0.00333104	0.0394238	0.00990863	0.0725762	0.248827	0.324245	0.0548584	0.0101352	0.0351893	0.0175957	0.0100178	0.0069171	0.00160875	0.143294	0.0220714
p	0.00167147	0.0123722	0.0172766	0.114441	0.264654	0.350861	0.0344245	0.0361651	0.0198883	0.0203495	0.043971	0.0172645	0.00152666	0.0450247	0.0201094
á	0.00129112	0.00144586	0.0228206	0.104296	0.253785	0.48155	0.0304096	0.0399822	0.00647095	0.00927485	0.0163535	0.0137044	0.00105727	0.00452656	0.0130326
m	0.000587834	0.00527231	0.0266068	0.053191	0.052676	0.545003	0.0174495	0.0196752	0.0060337	0.0116805	0.0543406	0.0477525	0.00525059	0.0163055	0.138175
a	0.00200497	0.00556358	0.00383686	0.0281504	0.177853	0.530367	0.132965	0.0326038	0.0359391	0.017195	0.00834183	0.00740255	0.00232854	0.0130483	0.00240039
l	0.00181028	0.00806861	0.0189991	0.0099173	0.0928469	0.263502	0.36292	0.110009	0.0338136	0.0230817	0.0244368	0.0206226	0.00498304	0.00313752	0.021852
í	0.00212087	0.00427603	0.00827849	0.0079936	0.0561648	0.124079	0.239549	0.0885267	0.123019	0.0734262	0.0373359	0.0916861	0.0176011	0.00748555	0.118458
b	0.00183967	0.0113957	0.00564729	0.00461813	0.0418613	0.115687	0.30092	0.124761	0.0982217	0.0677022	0.0836036	0.0551149	0.0283996	0.0182893	0.0419386
h	0.00396807	0.00594552	0.00597426	0.0261858	0.0390818	0.269631	0.102241	0.406191	0.0399068	0.0410221	0.0336746	0.0150627	0.000999823	0.00471927	0.00539683
ώ	0.000109859	0.000166655	0.0014296	0.0120543	0.0447543	0.29497	0.108356	0.416272	0.0221906	0.0458362	0.0186734	0.0132471	0.000645917	0.00334986	0.0179436
ω	6.06377e-05	0.000451615	0.00330441	0.00354067	0.049887	0.118143	0.315595	0.297904	0.0773221	0.0587315	0.0173485	0.0187627	0.00545956	0.00139078	0.032098
l	0.000122625	0.000243253	0.00277301	0.00154997	0.0242946	0.0164944	0.20475	0.298377	0.244503	0.124863	0.0224043	0.0286363	0.00336036	0.00121893	0.0264098
í	0.00076782	0.00171827	0.00903084	0.00712058	0.037781	0.0387188	0.098686	0.0663093	0.177923	0.139986	0.0591532	0.119524	0.0194156	0.0151172	0.208748
í	0.00220272	0.0316716	0.00489893	0.00213892	0.00791516	0.0163714	0.101316	0.0846589	0.185286	0.226123	0.183562	0.0482743	0.0387704	0.00909767	0.0577131
d	0.00126216	0.00686406	0.0121197	0.00990686	0.0206663	0.0318202	0.0511821	0.0625552	0.224178	0.213792	0.144641	0.125411	0.0317508	0.0171607	0.0466907
z	0.000180115	0.000939596	0.00188356	0.00352391	0.00660471	0.0325294	0.0201527	0.0333884	0.216908	0.160044	0.114287	0.184101	0.0142505	0.0217342	0.189472
é	0.000995198	0.00124775	0.00175695	0.00340984	0.00881384	0.061218	0.03722	0.0477992	0.334118	0.183987	0.0817659	0.0865744	0.00934859	0.110101	0.0316452
l	0.000240758	0.00119315	0.000935114	0.000614484	0.00314967	0.026574	0.0493	0.163675	0.114425	0.221713	0.152362	0.11329	0.0424666	0.00530273	0.104758
a	0.000554355	0.00135231	0.00232239	0.00156305	0.00523517	0.0155627	0.025932	0.0280303	0.0790888	0.166575	0.200834	0.15683	0.0159087	0.00808222	0.29213
b	0.000349202	0.00158977	0.000420306	0.000222263	0.00176486	0.00241895	0.0112874	0.0171485	0.0726915	0.207156	0.418823	0.131436	0.0222858	0.0427875	0.0696185
