 	on	a	blanchi	la	maison	</S>
w	0.891063	0.106394	0.000629536	0.00152357	0.000327309	6.27752e-05
a	0.838534	0.0964602	0.00374826	0.0551597	0.00526498	0.00083293
á	0.503359	0.473489	0.0085439	0.00936496	0.00161714	0.0036265
m	0.150487	0.678363	0.0941878	0.0247241	0.00817687	0.044062
i	0.0706685	0.426054	0.187442	0.0289652	0.00479803	0.282072
p	0.0376485	0.226914	0.666159	0.014628	0.00583558	0.0488142
f	0.0177714	0.0875557	0.796073	0.0259868	0.00171375	0.0708989
ú	0.014369	0.0750469	0.89854	0.00783745	0.000626713	0.00357954
m	0.0914203	0.177713	0.674156	0.030892	0.0132744	0.0125449
b	0.191593	0.119627	0.247607	0.189569	0.206806	0.0447987
ú	0.084017	0.0444448	0.639763	0.152772	0.0534727	0.0255301
s	0.00675884	0.026903	0.249594	0.642606	0.0572599	0.0168777
á	0.0180114	0.0123718	0.0389972	0.565089	0.22068	0.14485
n	0.0165367	0.00655139	0.0142406	0.156179	0.776974	0.0295178
d	0.000550927	0.00115069	0.00236681	0.0156951	0.976005	0.00423142
é	0.000668928	0.000973633	0.00569073	0.0118508	0.966953	0.013863
e	0.000839779	0.00583708	0.149352	0.128258	0.497375	0.218339
</S>	0.00562804	0.0145445	0.0438438	0.246727	0.0627796	0.626477
