 	il	y	a	des	nappes	de	brume	sur	le	fleuve	</S>
l	0.187826	0.374695	0.180209	0.0752795	0.132071	0.0393526	0.00567196	0.00122203	0.00348671	0.000155827	3.01335e-05
e	0.15466	0.251751	0.149464	0.116207	0.247186	0.0331068	0.00424348	0.0111256	0.0272726	0.00378248	0.0012013
b	0.0401148	0.169097	0.0802665	0.110807	0.511065	0.0344782	0.00379964	0.0146174	0.00831333	0.0153653	0.0120759
o	0.0104373	0.0352192	0.0413548	0.106153	0.7174	0.060678	0.00650794	0.00251873	0.00226611	0.00721178	0.010253
n	0.0109223	0.0613753	0.0441772	0.117947	0.672844	0.0355218	0.00174498	0.00928549	0.00498717	0.00344059	0.0377549
g	0.0664251	0.0771181	0.0642372	0.119785	0.578218	0.0548405	0.0018442	0.00772181	0.00802977	0.00469636	0.0170846
i	0.023681	0.039016	0.0469265	0.0922467	0.713994	0.0659331	0.00746996	0.00249155	0.00135357	0.00137271	0.00551502
í	0.10768	0.0619715	0.196542	0.0871865	0.0255653	0.480456	0.0136893	0.0158771	0.00350109	0.000215907	0.00731524
s	0.0450871	0.0250803	0.122961	0.0670018	0.00621906	0.156073	0.157034	0.332787	0.0681111	0.00274706	0.0168981
á	0.001116	0.00180597	0.00864977	0.0127683	0.00126607	0.0220373	0.690758	0.237534	0.0128029	0.00235341	0.00890887
a	0.00706756	0.00280291	0.0146735	0.0282509	0.00374868	0.0271231	0.560668	0.28413	0.0301452	0.0035893	0.037801
s	0.00576472	0.00272658	0.015695	0.0176405	0.00632477	0.137256	0.592282	0.125763	0.0704291	0.0118806	0.0142381
á	0.000587157	0.000680401	0.00324434	0.0108659	0.00500519	0.0372604	0.309833	0.274175	0.108995	0.136694	0.11266
n	0.00421843	0.00212725	0.00961079	0.016653	0.0267822	0.0570948	0.0871475	0.0405638	0.108414	0.618891	0.0284971
d	0.000700122	0.00110755	0.00388238	0.0205504	0.0594292	0.030387	0.410908	0.0332446	0.0564639	0.323865	0.0594623
z	0.00189254	0.00122616	0.00808006	0.0207025	0.0210909	0.040957	0.263964	0.073129	0.117894	0.37599	0.0750741
á	0.000175275	0.000470757	0.00209064	0.019921	0.068808	0.0374606	0.0255708	0.0384544	0.084866	0.640489	0.0816939
l	0.000195518	0.00139723	0.00227455	0.00846971	0.0112343	0.00899178	0.00450775	0.0512648	0.121536	0.207926	0.582203
é	0.00134202	0.00336879	0.00603995	0.0263895	0.0159203	0.0235297	0.0183045	0.0800309	0.310879	0.345571	0.168625
</S>	0.00189461	0.0021955	0.0075313	0.00757271	0.0016941	0.0316948	0.0276666	0.145029	0.14935	0.143326	0.482046
