 	la	cigarette	cause	les	maladies	pulmonaires	</S>
i	0.645096	0.311341	0.0200822	0.00806541	0.0115928	0.00337345	0.000448868
n	0.121609	0.85908	0.00582774	0.00340164	0.00361221	0.00426244	0.00220745
y	0.187974	0.492465	0.0476422	0.0630541	0.0190517	0.0121713	0.177642
w	0.478487	0.260013	0.0212759	0.0343758	0.0275595	0.0660821	0.112207
á	0.119317	0.111674	0.0294968	0.0511026	0.0187788	0.0699827	0.599648
a	0.206602	0.164958	0.204586	0.0510951	0.00728724	0.0221145	0.343357
l	0.350611	0.198108	0.324336	0.0668397	0.0144199	0.0155375	0.0301474
á	0.101857	0.0945499	0.139262	0.0806177	0.0179012	0.0179656	0.547847
k	0.52888	0.0358553	0.187833	0.12765	0.0369492	0.0380545	0.0447775
έ	0.0450395	0.0906967	0.334578	0.267018	0.230185	0.0129462	0.0195378
έ	0.00888895	0.0690129	0.274969	0.262563	0.234621	0.0778178	0.072127
l	0.0197798	0.0271899	0.410143	0.371015	0.0924794	0.0131276	0.0662657
í	0.0183922	0.0627495	0.251747	0.306324	0.114242	0.0196014	0.226943
i	0.0371539	0.0258498	0.224086	0.288717	0.239568	0.0911008	0.0935236
p	0.0122615	0.024552	0.104266	0.218255	0.374072	0.0380709	0.228523
έ	0.00172611	0.0105189	0.0674837	0.188922	0.556604	0.00797637	0.166769
έ	0.027258	0.033317	0.192007	0.254766	0.249739	0.0274663	0.215447
i	0.0103168	0.00644908	0.0390515	0.188048	0.356688	0.260932	0.138515
k	0.0122342	0.0112983	0.054989	0.130492	0.181355	0.379865	0.229766
ω	0.00588517	0.0134892	0.0623164	0.144722	0.400914	0.271988	0.100685
n	0.0015071	0.00345168	0.0322461	0.126854	0.250778	0.220808	0.364355
í	0.0111621	0.0244081	0.0396907	0.169121	0.424709	0.0742132	0.256696
s	0.011498	0.00585256	0.0366478	0.0847546	0.0698613	0.211653	0.579733
á	0.0233194	0.0117707	0.027717	0.0607452	0.0245071	0.443662	0.408278
b	0.0147021	0.00376924	0.00965006	0.0185855	0.0238805	0.86248	0.0669327
h	0.00201561	0.0025208	0.00560817	0.0103908	0.00959632	0.964484	0.0053845
ó	0.00121301	0.00220393	0.00849486	0.0153788	0.0278267	0.806779	0.138103
b	0.000512436	0.00203711	0.0145262	0.0379095	0.0567421	0.332492	0.555781
h	0.00686407	0.0199783	0.0708553	0.0836917	0.139287	0.375291	0.304033
á	0.0140742	0.0109441	0.0249157	0.0651024	0.0992759	0.491381	0.294306
</S>	0.0194949	0.0156795	0.042204	0.0519711	0.0497538	0.178838	0.642058
