 	cet	homme	est	un	sorcier	c'	est	pourquoi	on	l'	a	chassé	du	village	</S>
m	0.914748	0.0493283	0.00748817	0.00557937	0.00133049	0.00456967	0.00221694	0.00743401	0.00427982	0.00141142	0.000296127	0.000101408	0.00103744	0.000124328	5.46831e-05
o	0.973177	0.0189431	0.00179097	0.00189485	0.000374032	0.000553687	0.000231164	0.000716148	0.000280754	0.000665237	0.00023552	5.48494e-05	0.000440967	2.30157e-06	0.000639666
r	0.575985	0.278082	0.0317228	0.0320092	0.0305154	0.00608173	0.00728314	0.00528123	0.00264721	0.00883863	0.00649313	0.00100849	0.000512072	0.00037882	0.0131609
o	0.779124	0.0183734	0.00685685	0.0136926	0.0514608	0.0256853	0.0119636	0.0271772	0.00800022	0.0152973	0.00186802	0.00318083	0.0152137	0.00550104	0.0166051
w	0.957578	0.0204996	0.00663652	0.00225457	0.00116213	0.00225263	0.000733196	0.000915133	0.000703302	0.000747906	0.000566451	3.79476e-05	0.000912972	4.96058e-05	0.00495013
ó	0.116548	0.00790584	0.0674838	0.0662486	0.0245213	0.0841647	0.0494917	0.0999107	0.108748	0.128752	0.0465491	0.0106265	0.0592318	0.02108	0.108737
a	0.110791	0.0321021	0.19618	0.0379683	0.0273941	0.0565455	0.0203809	0.0281524	0.0933872	0.0667934	0.0483502	0.00488432	0.0496089	0.00467465	0.222787
d	0.0125538	0.0192401	0.391608	0.214486	0.130729	0.0162292	0.0162063	0.0110259	0.0173722	0.0268996	0.0768227	0.0142702	0.0111025	0.00234027	0.0391147
í	0.013812	0.0111015	0.260329	0.370086	0.166727	0.0229873	0.0288292	0.0196432	0.0127919	0.0260004	0.0187709	0.00106079	0.00345893	0.000377429	0.044024
l	0.00449559	0.010931	0.282094	0.405221	0.0927572	0.0480991	0.0351939	0.0116982	0.0133783	0.0138169	0.0196436	0.00881605	0.00619693	0.000867174	0.0467909
i	0.00221711	0.0040642	0.179967	0.297633	0.173453	0.0929414	0.0446925	0.0351908	0.0441758	0.0183839	0.0198695	0.00361892	0.015085	0.00157928	0.0671282
k	0.0052115	0.0184908	0.0743326	0.174352	0.501392	0.0462226	0.0562933	0.0347697	0.02453	0.0190239	0.00962012	0.00766485	0.0048843	0.0021032	0.0211084
u	0.000606084	0.016793	0.0439055	0.134156	0.597353	0.0124704	0.0443791	0.0204255	0.0117031	0.00767951	0.00715002	0.0882836	0.00136878	0.00363415	0.0100918
n	0.00688219	0.0153318	0.103531	0.184787	0.281066	0.0416517	0.105525	0.0367292	0.0392847	0.0182618	0.0135321	0.0945909	0.00841327	0.00864121	0.0417733
d	0.0141274	0.00143503	0.0443403	0.282678	0.145592	0.0756892	0.0424694	0.0878288	0.0353074	0.0191039	0.0113019	0.100715	0.0307945	0.00142298	0.107194
ú	0.0103548	0.00104694	0.0521421	0.245251	0.191874	0.0920364	0.0554641	0.148704	0.027375	0.0353943	0.010345	0.0198925	0.0417555	0.000332619	0.0680315
d	0.00210705	0.00025901	0.036173	0.10173	0.108923	0.270704	0.100913	0.123203	0.102648	0.0875336	0.0335669	0.0029385	0.0149031	0.000232141	0.0141652
i	0.00780126	0.000274725	0.0365047	0.17964	0.0404981	0.132321	0.133173	0.159003	0.105896	0.0709709	0.0271574	0.00294622	0.0294386	0.00178886	0.0725866
a	0.00110025	0.0002297	0.015847	0.0259447	0.0101527	0.0996296	0.108508	0.199557	0.276877	0.185969	0.047555	0.00589572	0.0134302	0.00329296	0.00601091
b	0.000844007	0.00268119	0.0277737	0.0352936	0.0276193	0.0258049	0.0760209	0.0672201	0.138154	0.213324	0.298001	0.0523046	0.0120805	0.00982168	0.0130565
v	0.00357516	0.00845724	0.0222169	0.0332024	0.0102057	0.0122364	0.124284	0.0764351	0.171263	0.131664	0.188043	0.0985139	0.0184419	0.068383	0.0330786
ú	0.000473882	0.00187035	0.00872187	0.0167755	0.0029563	0.0101519	0.0680273	0.220563	0.254337	0.158521	0.125407	0.0515383	0.0378418	0.00566162	0.0371536
u	0.00396348	0.000238972	0.0064953	0.035271	0.00229152	0.0483142	0.0844118	0.122306	0.127198	0.138835	0.0941213	0.293438	0.0202027	0.00210633	0.0208068
