 	l'	écorce	de	bananier	flétrie	est	utilisée	comme	bretelles	de	hotte	</S>
e	0.785505	0.200416	0.00456624	0.00202676	0.00248766	0.00258507	0.0016159	0.000317637	0.000152914	0.000249963	7.18324e-05	5.15679e-06
p	0.0276398	0.921708	0.0146038	0.0260531	0.00264134	0.000589559	0.00363301	0.000337652	0.00163253	0.000386308	9.24979e-05	0.000682674
ó	0.0030201	0.744352	0.00330818	0.24111	0.00158493	0.000806894	0.00251052	0.000452578	0.00197859	0.000352863	0.000143445	0.000379331
b	0.0260208	0.896534	0.0165165	0.048154	0.0039037	0.00175567	0.00243586	0.00090917	0.00163529	0.000565785	6.99169e-05	0.00149943
h	0.0760289	0.209251	0.123838	0.3273	0.0430385	0.0225838	0.0625096	0.0199224	0.0135832	0.0242116	0.00301429	0.0747184
ó	0.328972	0.146388	0.096322	0.237642	0.0306708	0.016409	0.0215702	0.0263086	0.0085273	0.0183895	0.00285182	0.06595
y	0.0585924	0.0516405	0.73663	0.11474	0.0155398	0.00526187	0.000956199	0.00402816	0.00183639	0.00459525	0.00025093	0.0059283
é	0.184054	0.0540227	0.324848	0.338465	0.0258409	0.00578134	0.000589396	0.0151558	0.00650368	0.00455534	0.00640793	0.0337763
n	0.283985	0.0160136	0.285176	0.183327	0.122633	0.0197302	0.00222891	0.0203744	0.00511005	0.0107541	0.00504391	0.0456232
y	0.114182	0.011582	0.526043	0.063461	0.203415	0.021208	0.00228657	0.0121521	0.00409837	0.00543372	0.00391452	0.0322238
i	0.0149824	0.00332829	0.273582	0.151294	0.420748	0.0811898	0.023016	0.0112681	0.00898528	0.00297462	0.00282058	0.00580998
r	0.00396755	0.0188212	0.334147	0.228068	0.366911	0.0105098	0.0251863	0.00314361	0.00122215	0.00119572	0.000280734	0.00654741
á	0.00349342	0.00457434	0.161271	0.468241	0.270795	0.031702	0.00238194	0.00488312	0.00336626	0.00200303	0.00162445	0.0456636
n	0.0124862	0.00127379	0.304433	0.071923	0.426636	0.14638	0.0103471	0.00888647	0.00188213	0.00654408	0.00106688	0.00814238
y	0.0345766	0.00467602	0.212159	0.0726653	0.46103	0.0551418	0.00364378	0.0197317	0.00777662	0.00525292	0.00685329	0.116493
i	0.00531512	0.000781834	0.121578	0.0354971	0.624092	0.122312	0.0275484	0.0215077	0.00648783	0.00591009	0.00846073	0.0205085
r	0.000136278	0.000485168	0.0996502	0.136943	0.531526	0.140589	0.0628927	0.0103943	0.00385381	0.00629634	0.000598951	0.00663467
a	0.00431861	0.00380004	0.0832511	0.112829	0.497406	0.10273	0.0187463	0.0323624	0.0107056	0.00598935	0.0114392	0.116422
b	0.00363154	0.0013319	0.184281	0.0342566	0.373619	0.303525	0.0333632	0.0419365	0.0034156	0.00951387	0.000592802	0.0105334
á	0.0127259	0.00246499	0.0269379	0.0383659	0.37829	0.34324	0.0592806	0.0795193	0.0151179	0.0182432	0.00222692	0.0235873
